date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Ho,6.6,0.47,3.05,3.05
2019-09-15,2019,9,15,Ho,6.6,0.47,3.05,3.05
2019-09-15,2019,9,15,Hohoe,7.15,0.47,283.04,3.04
2019-09-15,2019,9,15,Hohoe,7.15,0.47,3.53,3.53
2019-11-15,2019,11,15,Ho,6.6,0.47,3.05,3.05
2019-11-15,2019,11,15,Hohoe,7.15,0.47,269.31,2.9
2019-11-15,2019,11,15,Hohoe,7.15,0.47,3.74,3.74
2019-12-15,2019,12,15,Ho,6.6,0.47,2.97,2.97
2019-12-15,2019,12,15,Hohoe,7.15,0.47,293.94,3.16
2019-12-15,2019,12,15,Hohoe,7.15,0.47,3.74,3.74
2020-01-15,2020,1,15,Ho,6.6,0.47,2.35,2.35
2020-01-15,2020,1,15,Hohoe,7.15,0.47,306.25,3.29
2020-02-15,2020,2,15,Ho,6.6,0.47,2.86,2.86
2020-02-15,2020,2,15,Hohoe,7.15,0.47,278.39,2.99
2020-02-15,2020,2,15,Hohoe,7.15,0.47,3.64,3.64
2020-03-15,2020,3,15,Ho,6.6,0.47,2.47,2.47
2020-04-15,2020,4,15,Ho,6.6,0.47,2.64,2.64
2020-04-15,2020,4,15,Hohoe,7.15,0.47,306.25,3.29
2020-04-15,2020,4,15,Hohoe,7.15,0.47,3.51,3.51
2020-05-15,2020,5,15,Ho,6.6,0.47,2.85,2.85
2020-05-15,2020,5,15,Hohoe,7.15,0.47,306.25,3.29
2020-05-15,2020,5,15,Hohoe,7.15,0.47,3.63,3.63
2020-06-15,2020,6,15,Hohoe,7.15,0.47,3.57,3.57
2020-07-15,2020,7,15,Ho,6.6,0.47,2.86,2.86
2020-07-15,2020,7,15,Hohoe,7.15,0.47,278.39,2.99
2020-07-15,2020,7,15,Hohoe,7.15,0.47,3.74,3.74
2020-08-15,2020,8,15,Ho,6.6,0.47,2.85,2.85
2020-08-15,2020,8,15,Hohoe,7.15,0.47,282.78,3.04
2020-08-15,2020,8,15,Hohoe,7.15,0.47,3.91,3.91
2020-09-15,2020,9,15,Ho,6.6,0.47,2.83,2.83
2020-09-15,2020,9,15,Hohoe,7.15,0.47,283.5,3.05
2020-09-15,2020,9,15,Hohoe,7.15,0.47,3.94,3.94
2020-10-15,2020,10,15,Ho,6.6,0.47,3.53,3.53
2020-11-15,2020,11,15,Ho,6.6,0.47,3.53,3.53
2021-01-15,2021,1,15,Ho,6.6,0.47,3.56,3.56
2021-01-15,2021,1,15,Hohoe,7.15,0.47,373.26,4.01
2021-01-15,2021,1,15,Hohoe,7.15,0.47,4.21,4.21
2021-02-15,2021,2,15,Ho,6.6,0.47,3.58,3.58
2021-02-15,2021,2,15,Hohoe,7.15,0.47,328.33,3.53
2021-02-15,2021,2,15,Hohoe,7.15,0.47,4.23,4.23
2021-03-15,2021,3,15,Ho,6.6,0.47,3.46,3.46
2021-04-15,2021,4,15,Ho,6.6,0.47,3.94,3.94
2021-05-15,2021,5,15,Ho,6.6,0.47,4.15,4.15
2021-06-15,2021,6,15,Ho,6.6,0.47,4.62,4.62
2021-07-15,2021,7,15,Ho,6.6,0.47,3.94,3.94
2021-07-15,2021,7,15,Hohoe,7.15,0.47,320.69,3.45
2021-07-15,2021,7,15,Hohoe,7.15,0.47,4.79,4.79
2021-08-15,2021,8,15,Ho,6.6,0.47,3.93,3.93
2021-09-15,2021,9,15,Ho,6.6,0.47,4.22,4.22
2021-10-15,2021,10,15,Ho,6.6,0.47,4.15,4.15
2021-11-15,2021,11,15,Ho,6.6,0.47,4.07,4.07
2021-12-15,2021,12,15,Ho,6.6,0.47,4.8,4.8
2022-01-15,2022,1,15,Ho,6.6,0.47,4.76,4.76
2022-02-15,2022,2,15,Hohoe,7.15,0.47,366.07,3.94
2022-02-15,2022,2,15,Hohoe,7.15,0.47,3.94,3.94
2022-03-15,2022,3,15,Ho,6.6,0.47,6.25,6.25
2022-03-15,2022,3,15,Hohoe,7.15,0.47,348.06,3.74
2022-03-15,2022,3,15,Hohoe,7.15,0.47,6.65,6.65
2022-04-15,2022,4,15,Ho,6.6,0.47,6.25,6.25
2022-04-15,2022,4,15,Hohoe,7.15,0.47,319.73,3.44
2022-04-15,2022,4,15,Hohoe,7.15,0.47,6.65,6.65
2022-06-15,2022,6,15,Ho,6.6,0.47,6.01,6.01
2022-07-15,2022,7,15,Ho,6.6,0.47,7.33,7.33
2022-07-15,2022,7,15,Hohoe,7.15,0.47,453.85,4.88
2022-07-15,2022,7,15,Hohoe,7.15,0.47,7.9,7.9
2022-08-15,2022,8,15,Ho,6.6,0.47,5.74,5.74
2022-08-15,2022,8,15,Hohoe,7.15,0.47,577.0,6.2
2022-08-15,2022,8,15,Hohoe,7.15,0.47,8.69,8.69
2022-08-15,2022,8,15,Nkwanta,8.26,0.52,459.27,4.94
2022-08-15,2022,8,15,Nkwanta,8.26,0.52,5.74,5.74
2022-09-15,2022,9,15,Ho,6.6,0.47,7.33,7.33
2022-09-15,2022,9,15,Hohoe,7.15,0.47,577.0,6.2
2022-09-15,2022,9,15,Hohoe,7.15,0.47,12.29,12.29
2022-09-15,2022,9,15,Nkwanta,8.26,0.52,531.32,5.71
2022-09-15,2022,9,15,Nkwanta,8.26,0.52,6.64,6.64
2022-10-15,2022,10,15,Ho,6.6,0.47,10.01,10.01
2022-10-15,2022,10,15,Hohoe,7.15,0.47,577.0,6.2
2022-10-15,2022,10,15,Hohoe,7.15,0.47,12.29,12.29
2022-10-15,2022,10,15,Nkwanta,8.26,0.52,805.84,8.66
2022-10-15,2022,10,15,Nkwanta,8.26,0.52,9.48,9.48
2022-11-15,2022,11,15,Ho,6.6,0.47,10.33,10.33
2022-11-15,2022,11,15,Hohoe,7.15,0.47,577.0,6.2
2022-11-15,2022,11,15,Hohoe,7.15,0.47,8.69,8.69
2022-11-15,2022,11,15,Nkwanta,8.26,0.52,890.66,9.58
2022-11-15,2022,11,15,Nkwanta,8.26,0.52,11.12,11.12
2022-12-15,2022,12,15,Ho,6.6,0.47,10.25,10.25
2022-12-15,2022,12,15,Hohoe,7.15,0.47,577.0,6.2
2022-12-15,2022,12,15,Hohoe,7.15,0.47,12.29,12.29
2022-12-15,2022,12,15,Nkwanta,8.26,0.52,887.72,9.55
2022-12-15,2022,12,15,Nkwanta,8.26,0.52,10.64,10.64
2023-01-15,2023,1,15,Ho,6.6,0.47,10.5,10.5
2023-01-15,2023,1,15,Hohoe,7.15,0.47,577.0,6.2
2023-01-15,2023,1,15,Hohoe,7.15,0.47,12.29,12.29
2023-01-15,2023,1,15,Nkwanta,8.26,0.52,890.99,9.58
2023-01-15,2023,1,15,Nkwanta,8.26,0.52,9.58,9.58
2023-02-15,2023,2,15,Ho,6.6,0.47,744.0,8.0
2023-02-15,2023,2,15,Ho,6.6,0.47,11.24,11.24
2023-02-15,2023,2,15,Hohoe,7.15,0.47,577.0,6.2
2023-02-15,2023,2,15,Hohoe,7.15,0.47,12.29,12.29
2023-02-15,2023,2,15,Nkwanta,8.26,0.52,680.53,7.32
2023-02-15,2023,2,15,Nkwanta,8.26,0.52,9.33,9.33
2023-03-15,2023,3,15,Ho,6.6,0.47,10.42,10.42
