date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.08
2019-09-15,2019,9,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.08
2019-09-15,2019,9,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,0.79
2019-11-15,2019,11,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.08
2019-11-15,2019,11,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,20 ,aggregate,Wholesale,238.44
2019-11-15,2019,11,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,0.63
2019-12-15,2019,12,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.08
2019-12-15,2019,12,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,20 ,aggregate,Wholesale,238.44
2019-12-15,2019,12,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,0.63
2020-01-15,2020,1,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.48
2020-02-15,2020,2,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,6.05
2020-02-15,2020,2,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,7.37
2020-03-15,2020,3,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,3.17
2020-04-15,2020,4,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,6.9
2020-05-15,2020,5,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,8.26
2020-05-15,2020,5,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,20 ,aggregate,Wholesale,681.25
2020-05-15,2020,5,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,7.49
2020-06-15,2020,6,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,20 ,aggregate,Wholesale,685.03
2020-06-15,2020,6,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,7.52
2020-07-15,2020,7,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,6.05
2020-07-15,2020,7,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,7.7
2020-08-15,2020,8,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.6
2020-08-15,2020,8,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,20 ,aggregate,Wholesale,774.63
2020-08-15,2020,8,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,7.66
