date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2008-01-15,2008,1,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,36.67
2008-02-15,2008,2,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,35.25
2008-03-15,2008,3,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,35.0
2008-04-15,2008,4,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,35.0
2008-05-15,2008,5,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,40.0
2008-06-15,2008,6,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,48.67
2008-11-15,2008,11,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,50.0
2008-12-15,2008,12,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,50.62
2009-01-15,2009,1,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,50.5
2009-02-15,2009,2,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,51.25
2009-03-15,2009,3,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,55.0
2009-04-15,2009,4,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,53.75
2009-05-15,2009,5,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,59.5
2009-06-15,2009,6,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,55.63
2009-07-15,2009,7,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,53.13
2009-08-15,2009,8,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,55.0
2009-09-15,2009,9,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,58.0
2009-10-15,2009,10,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,56.5
2009-11-15,2009,11,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,57.0
2009-12-15,2009,12,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,57.0
2010-01-15,2010,1,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,56.4
2010-02-15,2010,2,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,61.5
2010-03-15,2010,3,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,59.38
2010-04-15,2010,4,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,60.0
2010-05-15,2010,5,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,62.6
2010-06-15,2010,6,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,64.0
2010-07-15,2010,7,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,61.8
2010-08-15,2010,8,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,50.62
2010-09-15,2010,9,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,50.5
2010-10-15,2010,10,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,50.5
2010-11-15,2010,11,15,Ho,HO MUNICIPAL,219,6.6,0.47,50 ,actual,Wholesale,52.5
