date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Ho,6.6,0.47,2.77,2.77
2019-09-15,2019,9,15,Ho,6.6,0.47,2.77,2.77
2019-09-15,2019,9,15,Hohoe,7.15,0.47,334.11,3.07
2019-09-15,2019,9,15,Hohoe,7.15,0.47,3.78,3.78
2019-11-15,2019,11,15,Ho,6.6,0.47,2.77,2.77
2019-11-15,2019,11,15,Hohoe,7.15,0.47,332.55,3.05
2019-11-15,2019,11,15,Hohoe,7.15,0.47,3.74,3.74
2019-12-15,2019,12,15,Ho,6.6,0.47,2.77,2.77
2019-12-15,2019,12,15,Hohoe,7.15,0.47,340.13,3.12
2019-12-15,2019,12,15,Hohoe,7.15,0.47,3.74,3.74
2020-01-15,2020,1,15,Ho,6.6,0.47,2.7,2.7
2020-01-15,2020,1,15,Hohoe,7.15,0.47,343.92,3.16
2020-02-15,2020,2,15,Ho,6.6,0.47,3.13,3.13
2020-02-15,2020,2,15,Hohoe,7.15,0.47,326.29,2.99
2020-02-15,2020,2,15,Hohoe,7.15,0.47,3.48,3.48
2020-03-15,2020,3,15,Ho,6.6,0.47,2.84,2.84
2020-04-15,2020,4,15,Ho,6.6,0.47,2.88,2.88
2020-04-15,2020,4,15,Hohoe,7.15,0.47,343.92,3.16
2020-04-15,2020,4,15,Hohoe,7.15,0.47,3.6,3.6
2020-05-15,2020,5,15,Ho,6.6,0.47,2.96,2.96
2020-05-15,2020,5,15,Hohoe,7.15,0.47,343.92,3.16
2020-05-15,2020,5,15,Hohoe,7.15,0.47,3.53,3.53
2020-06-15,2020,6,15,Hohoe,7.15,0.47,3.57,3.57
2020-07-15,2020,7,15,Ho,6.6,0.47,3.13,3.13
2020-07-15,2020,7,15,Hohoe,7.15,0.47,326.29,2.99
2020-07-15,2020,7,15,Hohoe,7.15,0.47,3.74,3.74
2020-08-15,2020,8,15,Ho,6.6,0.47,3.05,3.05
2020-08-15,2020,8,15,Hohoe,7.15,0.47,331.43,3.04
2020-08-15,2020,8,15,Hohoe,7.15,0.47,3.79,3.79
2020-09-15,2020,9,15,Ho,6.6,0.47,3.03,3.03
2020-09-15,2020,9,15,Hohoe,7.15,0.47,332.28,3.05
2020-09-15,2020,9,15,Hohoe,7.15,0.47,3.83,3.83
2020-10-15,2020,10,15,Ho,6.6,0.47,3.66,3.66
2020-11-15,2020,11,15,Ho,6.6,0.47,3.66,3.66
2021-01-15,2021,1,15,Ho,6.6,0.47,3.69,3.69
2021-01-15,2021,1,15,Hohoe,7.15,0.47,460.7,4.23
2021-01-15,2021,1,15,Hohoe,7.15,0.47,5.13,5.13
2021-02-15,2021,2,15,Ho,6.6,0.47,3.62,3.62
2021-02-15,2021,2,15,Hohoe,7.15,0.47,397.79,3.65
2021-02-15,2021,2,15,Hohoe,7.15,0.47,5.14,5.14
2021-03-15,2021,3,15,Ho,6.6,0.47,3.69,3.69
2021-04-15,2021,4,15,Ho,6.6,0.47,4.19,4.19
2021-05-15,2021,5,15,Ho,6.6,0.47,4.29,4.29
2021-06-15,2021,6,15,Ho,6.6,0.47,2.7,2.7
2021-07-15,2021,7,15,Ho,6.6,0.47,4.07,4.07
2021-07-15,2021,7,15,Hohoe,7.15,0.47,412.64,3.79
2021-07-15,2021,7,15,Hohoe,7.15,0.47,5.09,5.09
2021-08-15,2021,8,15,Ho,6.6,0.47,4.1,4.1
2021-09-15,2021,9,15,Ho,6.6,0.47,4.79,4.79
2021-10-15,2021,10,15,Ho,6.6,0.47,4.68,4.68
2021-11-15,2021,11,15,Ho,6.6,0.47,4.58,4.58
2021-12-15,2021,12,15,Ho,6.6,0.47,4.96,4.96
2022-01-15,2022,1,15,Ho,6.6,0.47,4.75,4.75
2022-02-15,2022,2,15,Hohoe,7.15,0.47,431.6,3.96
2022-02-15,2022,2,15,Hohoe,7.15,0.47,3.96,3.96
2022-03-15,2022,3,15,Ho,6.6,0.47,5.3,5.3
2022-03-15,2022,3,15,Hohoe,7.15,0.47,533.46,4.89
