date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.15
2019-09-15,2019,9,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.51
2019-09-15,2019,9,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,2.04
2019-11-15,2019,11,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.56
2019-11-15,2019,11,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,1.37
2019-12-15,2019,12,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.93
2019-12-15,2019,12,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,1.37
2020-01-15,2020,1,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.16
2020-02-15,2020,2,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,12.67
2020-02-15,2020,2,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,109 ,aggregate,Wholesale,20.0
2020-02-15,2020,2,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,12.0
2020-03-15,2020,3,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.49
2020-04-15,2020,4,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.92
2020-04-15,2020,4,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,4.38
2020-05-15,2020,5,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,3.03
2020-05-15,2020,5,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,109 ,aggregate,Wholesale,20.0
2020-05-15,2020,5,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,4.22
2020-06-15,2020,6,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,109 ,aggregate,Wholesale,20.0
2020-06-15,2020,6,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,8.8
2020-07-15,2020,7,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,12.67
2020-07-15,2020,7,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,109 ,aggregate,Wholesale,20.0
2020-07-15,2020,7,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,12.0
2020-08-15,2020,8,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,109 ,aggregate,Wholesale,20.0
2020-08-15,2020,8,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,12.0
