date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,1.95
2019-09-15,2019,9,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,1.95
2019-09-15,2019,9,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,52 ,aggregate,Wholesale,10.54
2019-09-15,2019,9,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,1.83
2019-11-15,2019,11,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,1.95
2019-11-15,2019,11,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,52 ,aggregate,Wholesale,14.03
2019-11-15,2019,11,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,1.7
2019-12-15,2019,12,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,1.95
2019-12-15,2019,12,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,52 ,aggregate,Wholesale,176.89
2019-12-15,2019,12,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,1.7
2020-01-15,2020,1,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.49
2020-01-15,2020,1,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,52 ,aggregate,Wholesale,258.32
2020-02-15,2020,2,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,7.92
2020-02-15,2020,2,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,4.48
2020-03-15,2020,3,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,2.99
2020-04-15,2020,4,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,7.56
2020-04-15,2020,4,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,52 ,aggregate,Wholesale,214.81
2020-04-15,2020,4,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,4.47
2020-05-15,2020,5,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,10.88
2020-05-15,2020,5,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,52 ,aggregate,Wholesale,214.81
2020-05-15,2020,5,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,3.89
2020-06-15,2020,6,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,5.38
2020-07-15,2020,7,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,7.92
2020-07-15,2020,7,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,6.0
2020-08-15,2020,8,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,1.76
2020-08-15,2020,8,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,52 ,aggregate,Wholesale,80.77
2020-08-15,2020,8,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,1.95
2020-09-15,2020,9,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,1.76
2021-01-15,2021,1,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,3.21
2021-01-15,2021,1,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,1.41
2021-02-15,2021,2,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,4.57
2021-02-15,2021,2,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,52 ,aggregate,Wholesale,61.62
2021-02-15,2021,2,15,Hohoe,HOHOE MUNICIPAL,2802,7.15,0.47,,aggregate,Retail,1.25
2021-03-15,2021,3,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,4.18
2021-05-15,2021,5,15,Ho,HO MUNICIPAL,219,6.6,0.47,,aggregate,Retail,3.58
