date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Ho,6.6,0.47,4.07,4.07
2019-09-15,2019,9,15,Ho,6.6,0.47,4.07,4.07
2019-09-15,2019,9,15,Hohoe,7.15,0.47,212.0,0.85
2019-09-15,2019,9,15,Hohoe,7.15,0.47,4.92,4.92
2019-11-15,2019,11,15,Ho,6.6,0.47,4.07,4.07
2019-11-15,2019,11,15,Hohoe,7.15,0.47,187.2,0.75
2019-11-15,2019,11,15,Hohoe,7.15,0.47,4.88,4.88
2019-12-15,2019,12,15,Ho,6.6,0.47,4.07,4.07
2019-12-15,2019,12,15,Hohoe,7.15,0.47,745.73,2.98
2019-12-15,2019,12,15,Hohoe,7.15,0.47,4.88,4.88
2020-01-15,2020,1,15,Ho,6.6,0.47,4.14,4.14
2020-01-15,2020,1,15,Hohoe,7.15,0.47,1025.0,4.1
2020-03-15,2020,3,15,Ho,6.6,0.47,4.17,4.17
2020-04-15,2020,4,15,Ho,6.6,0.47,2.72,2.72
2020-04-15,2020,4,15,Hohoe,7.15,0.47,1025.0,4.1
2020-04-15,2020,4,15,Hohoe,7.15,0.47,5.56,5.56
2020-05-15,2020,5,15,Ho,6.6,0.47,2.83,2.83
2020-05-15,2020,5,15,Hohoe,7.15,0.47,855.33,3.42
2020-05-15,2020,5,15,Hohoe,7.15,0.47,4.5,4.5
2020-06-15,2020,6,15,Hohoe,7.15,0.47,716.07,2.86
2020-06-15,2020,6,15,Hohoe,7.15,0.47,4.88,4.88
2020-08-15,2020,8,15,Hohoe,7.15,0.47,3.09,3.09
2020-09-15,2020,9,15,Hohoe,7.15,0.47,3.09,3.09
2020-10-15,2020,10,15,Ho,6.6,0.47,4.14,4.14
2020-11-15,2020,11,15,Ho,6.6,0.47,4.14,4.14
2021-01-15,2021,1,15,Ho,6.6,0.47,5.4,5.4
2021-01-15,2021,1,15,Hohoe,7.15,0.47,826.73,3.31
2021-01-15,2021,1,15,Hohoe,7.15,0.47,4.28,4.28
2021-02-15,2021,2,15,Ho,6.6,0.47,5.5,5.5
2021-02-15,2021,2,15,Hohoe,7.15,0.47,4.14,4.14
2021-03-15,2021,3,15,Ho,6.6,0.47,2.76,2.76
2021-04-15,2021,4,15,Ho,6.6,0.47,2.81,2.81
2021-05-15,2021,5,15,Ho,6.6,0.47,2.82,2.82
2021-06-15,2021,6,15,Ho,6.6,0.47,5.15,5.15
2021-07-15,2021,7,15,Ho,6.6,0.47,3.68,3.68
2021-07-15,2021,7,15,Hohoe,7.15,0.47,713.3,2.85
2021-07-15,2021,7,15,Hohoe,7.15,0.47,3.95,3.95
2021-08-15,2021,8,15,Ho,6.6,0.47,3.68,3.68
2021-09-15,2021,9,15,Ho,6.6,0.47,3.03,3.03
2021-10-15,2021,10,15,Ho,6.6,0.47,3.19,3.19
2021-11-15,2021,11,15,Ho,6.6,0.47,3.13,3.13
2021-12-15,2021,12,15,Ho,6.6,0.47,3.17,3.17
2022-01-15,2022,1,15,Ho,6.6,0.47,3.17,3.17
2022-02-15,2022,2,15,Hohoe,7.15,0.47,1030.59,4.12
2022-02-15,2022,2,15,Hohoe,7.15,0.47,4.12,4.12
2022-03-15,2022,3,15,Ho,6.6,0.47,3.32,3.32
2022-03-15,2022,3,15,Hohoe,7.15,0.47,1365.58,5.46
2022-03-15,2022,3,15,Hohoe,7.15,0.47,8.06,8.06
2022-04-15,2022,4,15,Ho,6.6,0.47,3.26,3.26
2022-04-15,2022,4,15,Hohoe,7.15,0.47,1365.58,5.46
2022-04-15,2022,4,15,Hohoe,7.15,0.47,8.06,8.06
2022-07-15,2022,7,15,Ho,6.6,0.47,5.41,5.41
2022-07-15,2022,7,15,Hohoe,7.15,0.47,1321.07,5.28
2022-07-15,2022,7,15,Hohoe,7.15,0.47,5.47,5.47
2022-08-15,2022,8,15,Ho,6.6,0.47,4.61,4.61
2022-08-15,2022,8,15,Hohoe,7.15,0.47,1321.07,5.28
2022-08-15,2022,8,15,Hohoe,7.15,0.47,5.47,5.47
2022-08-15,2022,8,15,Nkwanta,8.26,0.52,762.14,3.05
2022-08-15,2022,8,15,Nkwanta,8.26,0.52,2.93,2.93
2022-09-15,2022,9,15,Ho,6.6,0.47,4.24,4.24
2022-09-15,2022,9,15,Hohoe,7.15,0.47,1321.07,5.28
2022-09-15,2022,9,15,Hohoe,7.15,0.47,5.47,5.47
2022-09-15,2022,9,15,Nkwanta,8.26,0.52,532.48,2.13
2022-09-15,2022,9,15,Nkwanta,8.26,0.52,2.12,2.12
2022-10-15,2022,10,15,Ho,6.6,0.47,3.78,3.78
2022-10-15,2022,10,15,Hohoe,7.15,0.47,1321.07,5.28
2022-10-15,2022,10,15,Hohoe,7.15,0.47,5.47,5.47
2022-10-15,2022,10,15,Nkwanta,8.26,0.52,709.36,2.84
2022-10-15,2022,10,15,Nkwanta,8.26,0.52,3.41,3.41
2022-11-15,2022,11,15,Ho,6.6,0.47,4.45,4.45
2022-11-15,2022,11,15,Hohoe,7.15,0.47,1321.07,5.28
2022-11-15,2022,11,15,Hohoe,7.15,0.47,5.47,5.47
2022-11-15,2022,11,15,Nkwanta,8.26,0.52,728.58,2.91
2022-11-15,2022,11,15,Nkwanta,8.26,0.52,5.53,5.53
2022-12-15,2022,12,15,Ho,6.6,0.47,4.1,4.1
2022-12-15,2022,12,15,Hohoe,7.15,0.47,1321.07,5.28
2022-12-15,2022,12,15,Hohoe,7.15,0.47,5.47,5.47
2022-12-15,2022,12,15,Nkwanta,8.26,0.52,817.02,3.27
2022-12-15,2022,12,15,Nkwanta,8.26,0.52,4.72,4.72
2023-01-15,2023,1,15,Ho,6.6,0.47,4.44,4.44
2023-01-15,2023,1,15,Hohoe,7.15,0.47,1321.07,5.28
2023-01-15,2023,1,15,Hohoe,7.15,0.47,5.47,5.47
2023-01-15,2023,1,15,Nkwanta,8.26,0.52,795.71,3.18
2023-01-15,2023,1,15,Nkwanta,8.26,0.52,3.88,3.88
2023-02-15,2023,2,15,Ho,6.6,0.47,1980.0,7.92
2023-02-15,2023,2,15,Ho,6.6,0.47,7.92,7.92
2023-02-15,2023,2,15,Hohoe,7.15,0.47,764.98,3.06
2023-02-15,2023,2,15,Hohoe,7.15,0.47,7.32,7.32
2023-02-15,2023,2,15,Nkwanta,8.26,0.52,669.52,2.68
2023-02-15,2023,2,15,Nkwanta,8.26,0.52,8.15,8.15
2023-03-15,2023,3,15,Hohoe,7.15,0.47,909.09,3.64
2023-03-15,2023,3,15,Hohoe,7.15,0.47,9.17,9.17
2023-03-15,2023,3,15,Nkwanta,8.26,0.52,1159.62,4.64
2023-03-15,2023,3,15,Nkwanta,8.26,0.52,6.69,6.69
2023-04-15,2023,4,15,Ho,6.6,0.47,10.15,10.15
2023-04-15,2023,4,15,Hohoe,7.15,0.47,550.1,2.2
2023-04-15,2023,4,15,Hohoe,7.15,0.47,14.0,14.0
2023-04-15,2023,4,15,Nkwanta,8.26,0.52,409.4,1.64
2023-04-15,2023,4,15,Nkwanta,8.26,0.52,9.29,9.29
2023-05-15,2023,5,15,Ho,6.6,0.47,10.0,10.0
2023-05-15,2023,5,15,Hohoe,7.15,0.47,208.89,0.84
2023-05-15,2023,5,15,Hohoe,7.15,0.47,11.0,11.0
2023-05-15,2023,5,15,Nkwanta,8.26,0.52,414.0,1.66
2023-05-15,2023,5,15,Nkwanta,8.26,0.52,9.21,9.21
2023-06-15,2023,6,15,Ho,6.6,0.47,9.93,9.93
2023-06-15,2023,6,15,Hohoe,7.15,0.47,208.89,0.84
2023-06-15,2023,6,15,Hohoe,7.15,0.47,11.0,11.0
2023-06-15,2023,6,15,Nkwanta,8.26,0.52,406.0,1.62
2023-06-15,2023,6,15,Nkwanta,8.26,0.52,9.94,9.94
2023-07-15,2023,7,15,Ho,6.6,0.47,10.0,10.0
2023-07-15,2023,7,15,Hohoe,7.15,0.47,1321.07,5.28
2023-07-15,2023,7,15,Hohoe,7.15,0.47,11.0,11.0
2023-07-15,2023,7,15,Nkwanta,8.26,0.52,1940.42,7.76
2023-07-15,2023,7,15,Nkwanta,8.26,0.52,10.96,10.96
