date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Sekondi/Takoradi,4.93,-1.7,31.73,1.18
2019-08-15,2019,8,15,Sekondi/Takoradi,4.93,-1.7,3.51,3.51
2019-09-15,2019,9,15,Sekondi/Takoradi,4.93,-1.7,23.35,0.86
2019-09-15,2019,9,15,Sekondi/Takoradi,4.93,-1.7,2.48,2.48
2019-10-15,2019,10,15,Sekondi/Takoradi,4.93,-1.7,26.37,0.98
2019-10-15,2019,10,15,Sekondi/Takoradi,4.93,-1.7,3.02,3.02
2019-11-15,2019,11,15,Sekondi/Takoradi,4.93,-1.7,32.06,1.19
2019-11-15,2019,11,15,Sekondi/Takoradi,4.93,-1.7,3.02,3.02
2019-12-15,2019,12,15,Sekondi/Takoradi,4.93,-1.7,34.69,1.28
2019-12-15,2019,12,15,Sekondi/Takoradi,4.93,-1.7,3.72,3.72
2020-01-15,2020,1,15,Sekondi/Takoradi,4.93,-1.7,12.47,0.46
2020-01-15,2020,1,15,Sekondi/Takoradi,4.93,-1.7,3.23,3.23
2020-02-15,2020,2,15,Sekondi/Takoradi,4.93,-1.7,364.41,13.5
2020-02-15,2020,2,15,Sekondi/Takoradi,4.93,-1.7,6.39,6.39
2020-03-15,2020,3,15,Sekondi/Takoradi,4.93,-1.7,12.47,0.46
2020-03-15,2020,3,15,Sekondi/Takoradi,4.93,-1.7,3.14,3.14
2020-04-15,2020,4,15,Sekondi/Takoradi,4.93,-1.7,113.45,4.2
2020-04-15,2020,4,15,Sekondi/Takoradi,4.93,-1.7,5.6,5.6
2020-05-15,2020,5,15,Sekondi/Takoradi,4.93,-1.7,242.54,8.98
2020-05-15,2020,5,15,Sekondi/Takoradi,4.93,-1.7,5.55,5.55
2020-06-15,2020,6,15,Sekondi/Takoradi,4.93,-1.7,253.32,9.38
2020-07-15,2020,7,15,Sekondi/Takoradi,4.93,-1.7,364.41,13.5
2020-07-15,2020,7,15,Sekondi/Takoradi,4.93,-1.7,8.72,8.72
2020-08-15,2020,8,15,Sekondi/Takoradi,4.93,-1.7,521.21,19.3
2020-08-15,2020,8,15,Sekondi/Takoradi,4.93,-1.7,9.17,9.17
2020-09-15,2020,9,15,Sekondi/Takoradi,4.93,-1.7,474.29,17.57
2020-09-15,2020,9,15,Sekondi/Takoradi,4.93,-1.7,9.19,9.19
2020-10-15,2020,10,15,Sekondi/Takoradi,4.93,-1.7,35.13,1.3
2020-10-15,2020,10,15,Sekondi/Takoradi,4.93,-1.7,2.69,2.69
2020-11-15,2020,11,15,Sekondi/Takoradi,4.93,-1.7,35.13,1.3
2020-11-15,2020,11,15,Sekondi/Takoradi,4.93,-1.7,2.69,2.69
2020-12-15,2020,12,15,Sekondi/Takoradi,4.93,-1.7,21.64,0.8
2020-12-15,2020,12,15,Sekondi/Takoradi,4.93,-1.7,3.73,3.73
2021-01-15,2021,1,15,Sekondi/Takoradi,4.93,-1.7,26.84,0.99
2021-01-15,2021,1,15,Sekondi/Takoradi,4.93,-1.7,5.7,5.7
2021-02-15,2021,2,15,Sekondi/Takoradi,4.93,-1.7,316.79,11.73
2021-02-15,2021,2,15,Sekondi/Takoradi,4.93,-1.7,4.32,4.32
2021-03-15,2021,3,15,Sekondi/Takoradi,4.93,-1.7,400.11,14.82
2021-03-15,2021,3,15,Sekondi/Takoradi,4.93,-1.7,6.63,6.63
2021-04-15,2021,4,15,Sekondi/Takoradi,4.93,-1.7,343.33,12.72
2021-04-15,2021,4,15,Sekondi/Takoradi,4.93,-1.7,4.25,4.25
2021-05-15,2021,5,15,Sekondi/Takoradi,4.93,-1.7,367.86,13.62
2021-05-15,2021,5,15,Sekondi/Takoradi,4.93,-1.7,9.24,9.24
2021-06-15,2021,6,15,Sekondi/Takoradi,4.93,-1.7,336.36,12.46
2021-06-15,2021,6,15,Sekondi/Takoradi,4.93,-1.7,4.37,4.37
2021-07-15,2021,7,15,Sekondi/Takoradi,4.93,-1.7,336.5,12.46
2021-07-15,2021,7,15,Sekondi/Takoradi,4.93,-1.7,5.05,5.05
2021-08-15,2021,8,15,Sekondi/Takoradi,4.93,-1.7,338.66,12.54
2021-08-15,2021,8,15,Sekondi/Takoradi,4.93,-1.7,3.49,3.49
2021-09-15,2021,9,15,Sekondi/Takoradi,4.93,-1.7,347.47,12.87
2021-09-15,2021,9,15,Sekondi/Takoradi,4.93,-1.7,3.2,3.2
2021-10-15,2021,10,15,Sekondi/Takoradi,4.93,-1.7,357.22,13.23
2021-10-15,2021,10,15,Sekondi/Takoradi,4.93,-1.7,4.64,4.64
2021-11-15,2021,11,15,Sekondi/Takoradi,4.93,-1.7,319.26,11.82
2021-11-15,2021,11,15,Sekondi/Takoradi,4.93,-1.7,3.55,3.55
2021-12-15,2021,12,15,Sekondi/Takoradi,4.93,-1.7,347.33,12.86
2021-12-15,2021,12,15,Sekondi/Takoradi,4.93,-1.7,1.76,1.76
2022-01-15,2022,1,15,Sekondi/Takoradi,4.93,-1.7,333.54,12.35
2022-01-15,2022,1,15,Sekondi/Takoradi,4.93,-1.7,4.68,4.68
2022-03-15,2022,3,15,Sekondi/Takoradi,4.93,-1.7,520.99,19.3
2022-03-15,2022,3,15,Sekondi/Takoradi,4.93,-1.7,10.73,10.73
2022-04-15,2022,4,15,Sekondi/Takoradi,4.93,-1.7,538.45,19.94
2022-04-15,2022,4,15,Sekondi/Takoradi,4.93,-1.7,10.65,10.65
2022-05-15,2022,5,15,Sekondi/Takoradi,4.93,-1.7,538.45,19.94
2022-05-15,2022,5,15,Sekondi/Takoradi,4.93,-1.7,11.6,11.6
2022-06-15,2022,6,15,Sekondi/Takoradi,4.93,-1.7,538.7,19.95
2022-06-15,2022,6,15,Sekondi/Takoradi,4.93,-1.7,11.3,11.3
2022-07-15,2022,7,15,Sekondi/Takoradi,4.93,-1.7,530.25,19.64
2022-07-15,2022,7,15,Sekondi/Takoradi,4.93,-1.7,11.24,11.24
2022-08-15,2022,8,15,Sekondi/Takoradi,4.93,-1.7,731.19,27.08
2022-08-15,2022,8,15,Sekondi/Takoradi,4.93,-1.7,12.15,12.15
2022-09-15,2022,9,15,Sekondi/Takoradi,4.93,-1.7,732.25,27.12
2022-09-15,2022,9,15,Sekondi/Takoradi,4.93,-1.7,12.15,12.15
2022-11-15,2022,11,15,Sekondi/Takoradi,4.93,-1.7,501.85,18.59
2022-11-15,2022,11,15,Sekondi/Takoradi,4.93,-1.7,10.46,10.46
2022-12-15,2022,12,15,Sekondi/Takoradi,4.93,-1.7,509.3,18.86
2022-12-15,2022,12,15,Sekondi/Takoradi,4.93,-1.7,9.63,9.63
2023-01-15,2023,1,15,Sekondi/Takoradi,4.93,-1.7,516.12,19.12
2023-01-15,2023,1,15,Sekondi/Takoradi,4.93,-1.7,9.86,9.86
2023-02-15,2023,2,15,Sekondi/Takoradi,4.93,-1.7,282.75,10.47
2023-02-15,2023,2,15,Sekondi/Takoradi,4.93,-1.7,13.1,13.1
2023-03-15,2023,3,15,Sekondi/Takoradi,4.93,-1.7,506.92,18.77
2023-03-15,2023,3,15,Sekondi/Takoradi,4.93,-1.7,10.02,10.02
2023-04-15,2023,4,15,Sekondi/Takoradi,4.93,-1.7,56.68,2.1
2023-04-15,2023,4,15,Sekondi/Takoradi,4.93,-1.7,10.0,10.0
2023-05-15,2023,5,15,Sekondi/Takoradi,4.93,-1.7,54.68,2.03
2023-05-15,2023,5,15,Sekondi/Takoradi,4.93,-1.7,17.21,17.21
2023-06-15,2023,6,15,Sekondi/Takoradi,4.93,-1.7,60.48,2.24
2023-06-15,2023,6,15,Sekondi/Takoradi,4.93,-1.7,15.84,15.84
2023-07-15,2023,7,15,Sekondi/Takoradi,4.93,-1.7,491.4,18.2
2023-07-15,2023,7,15,Sekondi/Takoradi,4.93,-1.7,26.08,26.08
