date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Sekondi/Takoradi,4.93,-1.7,31.16,0.43
2019-08-15,2019,8,15,Sekondi/Takoradi,4.93,-1.7,5.49,5.49
2019-09-15,2019,9,15,Sekondi/Takoradi,4.93,-1.7,32.4,0.44
2019-09-15,2019,9,15,Sekondi/Takoradi,4.93,-1.7,17.7,17.7
2019-10-15,2019,10,15,Sekondi/Takoradi,4.93,-1.7,31.16,0.43
2019-10-15,2019,10,15,Sekondi/Takoradi,4.93,-1.7,16.69,16.69
2019-11-15,2019,11,15,Sekondi/Takoradi,4.93,-1.7,43.87,0.6
2019-11-15,2019,11,15,Sekondi/Takoradi,4.93,-1.7,8.07,8.07
2019-12-15,2019,12,15,Sekondi/Takoradi,4.93,-1.7,41.14,0.56
2019-12-15,2019,12,15,Sekondi/Takoradi,4.93,-1.7,5.48,5.48
2020-01-15,2020,1,15,Sekondi/Takoradi,4.93,-1.7,9.84,0.13
2020-01-15,2020,1,15,Sekondi/Takoradi,4.93,-1.7,9.04,9.04
2020-02-15,2020,2,15,Sekondi/Takoradi,4.93,-1.7,198.51,2.72
2020-02-15,2020,2,15,Sekondi/Takoradi,4.93,-1.7,20.65,20.65
2020-03-15,2020,3,15,Sekondi/Takoradi,4.93,-1.7,9.84,0.13
2020-03-15,2020,3,15,Sekondi/Takoradi,4.93,-1.7,5.62,5.62
2020-04-15,2020,4,15,Sekondi/Takoradi,4.93,-1.7,242.36,3.32
2020-04-15,2020,4,15,Sekondi/Takoradi,4.93,-1.7,6.42,6.42
2020-05-15,2020,5,15,Sekondi/Takoradi,4.93,-1.7,257.56,3.53
2020-05-15,2020,5,15,Sekondi/Takoradi,4.93,-1.7,6.62,6.62
2020-06-15,2020,6,15,Sekondi/Takoradi,4.93,-1.7,258.06,3.54
2020-07-15,2020,7,15,Sekondi/Takoradi,4.93,-1.7,198.51,2.72
2020-07-15,2020,7,15,Sekondi/Takoradi,4.93,-1.7,16.0,16.0
2020-08-15,2020,8,15,Sekondi/Takoradi,4.93,-1.7,293.13,4.02
