date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2008-01-15,2008,1,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,38.13
2008-02-15,2008,2,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,40.0
2008-03-15,2008,3,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,40.0
2008-04-15,2008,4,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,37.5
2008-05-15,2008,5,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,45.5
2008-06-15,2008,6,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,45.0
2008-07-15,2008,7,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,61.0
2008-08-15,2008,8,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,52.5
2008-09-15,2008,9,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,55.0
2008-10-15,2008,10,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,60.0
2008-11-15,2008,11,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,60.5
2008-12-15,2008,12,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,60.83
2009-01-15,2009,1,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,61.25
2009-02-15,2009,2,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,65.0
2009-03-15,2009,3,15,Sekondi/Takoradi,SEKONDI TAKORADI,211,4.93,-1.7,50 ,actual,Wholesale,58.75
