date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Sekondi/Takoradi,4.93,-1.7,365.87,3.36
2019-08-15,2019,8,15,Sekondi/Takoradi,4.93,-1.7,4.17,4.17
2019-09-15,2019,9,15,Sekondi/Takoradi,4.93,-1.7,401.84,3.69
2019-09-15,2019,9,15,Sekondi/Takoradi,4.93,-1.7,4.6,4.6
2019-10-15,2019,10,15,Sekondi/Takoradi,4.93,-1.7,357.36,3.28
2019-10-15,2019,10,15,Sekondi/Takoradi,4.93,-1.7,4.17,4.17
2019-11-15,2019,11,15,Sekondi/Takoradi,4.93,-1.7,357.36,3.28
2019-11-15,2019,11,15,Sekondi/Takoradi,4.93,-1.7,4.44,4.44
2019-12-15,2019,12,15,Sekondi/Takoradi,4.93,-1.7,351.08,3.22
2019-12-15,2019,12,15,Sekondi/Takoradi,4.93,-1.7,4.34,4.34
2020-01-15,2020,1,15,Sekondi/Takoradi,4.93,-1.7,0.67,0.67
2020-02-15,2020,2,15,Sekondi/Takoradi,4.93,-1.7,410.93,3.77
2020-02-15,2020,2,15,Sekondi/Takoradi,4.93,-1.7,4.14,4.14
2020-03-15,2020,3,15,Sekondi/Takoradi,4.93,-1.7,0.47,0.47
2020-04-15,2020,4,15,Sekondi/Takoradi,4.93,-1.7,442.45,4.06
2020-04-15,2020,4,15,Sekondi/Takoradi,4.93,-1.7,4.94,4.94
2020-05-15,2020,5,15,Sekondi/Takoradi,4.93,-1.7,431.65,3.96
2020-05-15,2020,5,15,Sekondi/Takoradi,4.93,-1.7,4.99,4.99
2020-06-15,2020,6,15,Sekondi/Takoradi,4.93,-1.7,440.46,4.04
2020-07-15,2020,7,15,Sekondi/Takoradi,4.93,-1.7,410.93,3.77
2020-07-15,2020,7,15,Sekondi/Takoradi,4.93,-1.7,4.75,4.75
2020-08-15,2020,8,15,Sekondi/Takoradi,4.93,-1.7,388.34,3.56
2020-08-15,2020,8,15,Sekondi/Takoradi,4.93,-1.7,4.22,4.22
2020-09-15,2020,9,15,Sekondi/Takoradi,4.93,-1.7,428.66,3.93
