date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Sekondi/Takoradi,4.93,-1.7,29.69,0.57
2019-08-15,2019,8,15,Sekondi/Takoradi,4.93,-1.7,4.69,4.69
2019-09-15,2019,9,15,Sekondi/Takoradi,4.93,-1.7,21.32,0.41
2019-09-15,2019,9,15,Sekondi/Takoradi,4.93,-1.7,4.59,4.59
2019-10-15,2019,10,15,Sekondi/Takoradi,4.93,-1.7,24.38,0.47
2019-10-15,2019,10,15,Sekondi/Takoradi,4.93,-1.7,4.62,4.62
2019-11-15,2019,11,15,Sekondi/Takoradi,4.93,-1.7,24.38,0.47
2019-11-15,2019,11,15,Sekondi/Takoradi,4.93,-1.7,4.62,4.62
2019-12-15,2019,12,15,Sekondi/Takoradi,4.93,-1.7,24.27,0.47
2019-12-15,2019,12,15,Sekondi/Takoradi,4.93,-1.7,4.59,4.59
2020-01-15,2020,1,15,Sekondi/Takoradi,4.93,-1.7,17.6,0.34
2020-03-15,2020,3,15,Sekondi/Takoradi,4.93,-1.7,20.0,0.38
2020-03-15,2020,3,15,Sekondi/Takoradi,4.93,-1.7,2.75,2.75
2020-05-15,2020,5,15,Sekondi/Takoradi,4.93,-1.7,612.14,11.77
2020-09-15,2020,9,15,Sekondi/Takoradi,4.93,-1.7,310.43,5.97
2020-09-15,2020,9,15,Sekondi/Takoradi,4.93,-1.7,7.91,7.91
2020-10-15,2020,10,15,Sekondi/Takoradi,4.93,-1.7,23.29,0.45
2020-11-15,2020,11,15,Sekondi/Takoradi,4.93,-1.7,23.29,0.45
2020-12-15,2020,12,15,Sekondi/Takoradi,4.93,-1.7,32.95,0.63
2021-01-15,2021,1,15,Sekondi/Takoradi,4.93,-1.7,25.71,0.49
2021-01-15,2021,1,15,Sekondi/Takoradi,4.93,-1.7,3.97,3.97
2021-02-15,2021,2,15,Sekondi/Takoradi,4.93,-1.7,106.59,2.05
2021-02-15,2021,2,15,Sekondi/Takoradi,4.93,-1.7,6.35,6.35
2021-03-15,2021,3,15,Sekondi/Takoradi,4.93,-1.7,28.6,0.55
2021-03-15,2021,3,15,Sekondi/Takoradi,4.93,-1.7,10.31,10.31
2021-05-15,2021,5,15,Sekondi/Takoradi,4.93,-1.7,34.31,0.66
2021-05-15,2021,5,15,Sekondi/Takoradi,4.93,-1.7,10.54,10.54
2021-06-15,2021,6,15,Sekondi/Takoradi,4.93,-1.7,38.09,0.73
2021-06-15,2021,6,15,Sekondi/Takoradi,4.93,-1.7,7.58,7.58
2021-07-15,2021,7,15,Sekondi/Takoradi,4.93,-1.7,31.38,0.6
2021-07-15,2021,7,15,Sekondi/Takoradi,4.93,-1.7,12.72,12.72
2021-08-15,2021,8,15,Sekondi/Takoradi,4.93,-1.7,40.44,0.78
2021-08-15,2021,8,15,Sekondi/Takoradi,4.93,-1.7,14.23,14.23
2021-09-15,2021,9,15,Sekondi/Takoradi,4.93,-1.7,39.22,0.75
2021-09-15,2021,9,15,Sekondi/Takoradi,4.93,-1.7,16.19,16.19
2021-10-15,2021,10,15,Sekondi/Takoradi,4.93,-1.7,41.69,0.8
2021-10-15,2021,10,15,Sekondi/Takoradi,4.93,-1.7,11.76,11.76
2021-11-15,2021,11,15,Sekondi/Takoradi,4.93,-1.7,35.77,0.69
2021-11-15,2021,11,15,Sekondi/Takoradi,4.93,-1.7,9.33,9.33
2021-12-15,2021,12,15,Sekondi/Takoradi,4.93,-1.7,36.26,0.7
2021-12-15,2021,12,15,Sekondi/Takoradi,4.93,-1.7,14.26,14.26
2022-01-15,2022,1,15,Sekondi/Takoradi,4.93,-1.7,30.13,0.58
2022-01-15,2022,1,15,Sekondi/Takoradi,4.93,-1.7,11.45,11.45
2022-03-15,2022,3,15,Sekondi/Takoradi,4.93,-1.7,44.37,0.85
2022-03-15,2022,3,15,Sekondi/Takoradi,4.93,-1.7,12.9,12.9
2022-04-15,2022,4,15,Sekondi/Takoradi,4.93,-1.7,48.95,0.94
2022-04-15,2022,4,15,Sekondi/Takoradi,4.93,-1.7,13.82,13.82
2022-05-15,2022,5,15,Sekondi/Takoradi,4.93,-1.7,58.99,1.13
2022-05-15,2022,5,15,Sekondi/Takoradi,4.93,-1.7,17.33,17.33
2022-06-15,2022,6,15,Sekondi/Takoradi,4.93,-1.7,58.99,1.13
2022-06-15,2022,6,15,Sekondi/Takoradi,4.93,-1.7,14.67,14.67
2022-07-15,2022,7,15,Sekondi/Takoradi,4.93,-1.7,103.36,1.99
2022-07-15,2022,7,15,Sekondi/Takoradi,4.93,-1.7,17.74,17.74
2022-08-15,2022,8,15,Sekondi/Takoradi,4.93,-1.7,108.71,2.09
2022-08-15,2022,8,15,Sekondi/Takoradi,4.93,-1.7,15.02,15.02
2022-09-15,2022,9,15,Sekondi/Takoradi,4.93,-1.7,117.07,2.25
2022-09-15,2022,9,15,Sekondi/Takoradi,4.93,-1.7,19.83,19.83
2022-11-15,2022,11,15,Sekondi/Takoradi,4.93,-1.7,60.04,1.15
2022-11-15,2022,11,15,Sekondi/Takoradi,4.93,-1.7,15.14,15.14
2022-12-15,2022,12,15,Sekondi/Takoradi,4.93,-1.7,53.37,1.03
2022-12-15,2022,12,15,Sekondi/Takoradi,4.93,-1.7,13.33,13.33
2023-01-15,2023,1,15,Sekondi/Takoradi,4.93,-1.7,53.71,1.03
2023-01-15,2023,1,15,Sekondi/Takoradi,4.93,-1.7,10.6,10.6
2023-02-15,2023,2,15,Sekondi/Takoradi,4.93,-1.7,65.98,1.27
2023-02-15,2023,2,15,Sekondi/Takoradi,4.93,-1.7,9.13,9.13
2023-03-15,2023,3,15,Sekondi/Takoradi,4.93,-1.7,46.83,0.9
2023-03-15,2023,3,15,Sekondi/Takoradi,4.93,-1.7,9.49,9.49
2023-04-15,2023,4,15,Sekondi/Takoradi,4.93,-1.7,43.49,0.84
2023-04-15,2023,4,15,Sekondi/Takoradi,4.93,-1.7,4.39,4.39
2023-05-15,2023,5,15,Sekondi/Takoradi,4.93,-1.7,55.11,1.06
2023-05-15,2023,5,15,Sekondi/Takoradi,4.93,-1.7,5.83,5.83
2023-06-15,2023,6,15,Sekondi/Takoradi,4.93,-1.7,75.07,1.44
2023-06-15,2023,6,15,Sekondi/Takoradi,4.93,-1.7,9.33,9.33
2023-07-15,2023,7,15,Sekondi/Takoradi,4.93,-1.7,66.4,1.28
2023-07-15,2023,7,15,Sekondi/Takoradi,4.93,-1.7,9.83,9.83
