date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Sekondi/Takoradi,4.93,-1.7,212.69,0.85
2019-08-15,2019,8,15,Sekondi/Takoradi,4.93,-1.7,6.42,6.42
2019-09-15,2019,9,15,Sekondi/Takoradi,4.93,-1.7,212.69,0.85
2019-09-15,2019,9,15,Sekondi/Takoradi,4.93,-1.7,6.49,6.49
2019-10-15,2019,10,15,Sekondi/Takoradi,4.93,-1.7,212.69,0.85
2019-10-15,2019,10,15,Sekondi/Takoradi,4.93,-1.7,6.42,6.42
2019-11-15,2019,11,15,Sekondi/Takoradi,4.93,-1.7,212.69,0.85
2019-11-15,2019,11,15,Sekondi/Takoradi,4.93,-1.7,6.42,6.42
2019-12-15,2019,12,15,Sekondi/Takoradi,4.93,-1.7,212.69,0.85
2019-12-15,2019,12,15,Sekondi/Takoradi,4.93,-1.7,6.42,6.42
2020-01-15,2020,1,15,Sekondi/Takoradi,4.93,-1.7,282.8,1.13
2020-01-15,2020,1,15,Sekondi/Takoradi,4.93,-1.7,7.25,7.25
2020-02-15,2020,2,15,Sekondi/Takoradi,4.93,-1.7,881.69,3.53
2020-02-15,2020,2,15,Sekondi/Takoradi,4.93,-1.7,4.51,4.51
2020-03-15,2020,3,15,Sekondi/Takoradi,4.93,-1.7,271.0,1.08
2020-03-15,2020,3,15,Sekondi/Takoradi,4.93,-1.7,5.72,5.72
2020-04-15,2020,4,15,Sekondi/Takoradi,4.93,-1.7,8.7,8.7
2020-05-15,2020,5,15,Sekondi/Takoradi,4.93,-1.7,1436.56,5.75
2020-05-15,2020,5,15,Sekondi/Takoradi,4.93,-1.7,8.58,8.58
2020-06-15,2020,6,15,Sekondi/Takoradi,4.93,-1.7,1446.29,5.79
2020-07-15,2020,7,15,Sekondi/Takoradi,4.93,-1.7,881.69,3.53
2020-07-15,2020,7,15,Sekondi/Takoradi,4.93,-1.7,6.0,6.0
2020-08-15,2020,8,15,Sekondi/Takoradi,4.93,-1.7,1192.79,4.77
2020-08-15,2020,8,15,Sekondi/Takoradi,4.93,-1.7,6.47,6.47
2020-09-15,2020,9,15,Sekondi/Takoradi,4.93,-1.7,801.67,3.21
2020-09-15,2020,9,15,Sekondi/Takoradi,4.93,-1.7,3.33,3.33
2020-10-15,2020,10,15,Sekondi/Takoradi,4.93,-1.7,224.38,0.9
2020-10-15,2020,10,15,Sekondi/Takoradi,4.93,-1.7,4.93,4.93
2020-11-15,2020,11,15,Sekondi/Takoradi,4.93,-1.7,224.38,0.9
2020-11-15,2020,11,15,Sekondi/Takoradi,4.93,-1.7,4.93,4.93
2020-12-15,2020,12,15,Sekondi/Takoradi,4.93,-1.7,278.0,1.11
2020-12-15,2020,12,15,Sekondi/Takoradi,4.93,-1.7,6.0,6.0
2021-01-15,2021,1,15,Sekondi/Takoradi,4.93,-1.7,788.43,3.15
2021-01-15,2021,1,15,Sekondi/Takoradi,4.93,-1.7,5.69,5.69
2021-02-15,2021,2,15,Sekondi/Takoradi,4.93,-1.7,1066.86,4.27
2021-02-15,2021,2,15,Sekondi/Takoradi,4.93,-1.7,5.98,5.98
2021-03-15,2021,3,15,Sekondi/Takoradi,4.93,-1.7,1242.21,4.97
2021-03-15,2021,3,15,Sekondi/Takoradi,4.93,-1.7,5.73,5.73
2021-04-15,2021,4,15,Sekondi/Takoradi,4.93,-1.7,1008.27,4.03
2021-04-15,2021,4,15,Sekondi/Takoradi,4.93,-1.7,6.16,6.16
2021-05-15,2021,5,15,Sekondi/Takoradi,4.93,-1.7,1338.38,5.35
2021-05-15,2021,5,15,Sekondi/Takoradi,4.93,-1.7,6.73,6.73
2021-06-15,2021,6,15,Sekondi/Takoradi,4.93,-1.7,7.64,7.64
2021-07-15,2021,7,15,Sekondi/Takoradi,4.93,-1.7,1176.27,4.71
2021-07-15,2021,7,15,Sekondi/Takoradi,4.93,-1.7,6.9,6.9
2021-08-15,2021,8,15,Sekondi/Takoradi,4.93,-1.7,1171.93,4.69
2021-08-15,2021,8,15,Sekondi/Takoradi,4.93,-1.7,5.5,5.5
2021-09-15,2021,9,15,Sekondi/Takoradi,4.93,-1.7,1179.49,4.72
2021-09-15,2021,9,15,Sekondi/Takoradi,4.93,-1.7,6.36,6.36
2021-10-15,2021,10,15,Sekondi/Takoradi,4.93,-1.7,985.96,3.94
2021-10-15,2021,10,15,Sekondi/Takoradi,4.93,-1.7,6.44,6.44
2021-11-15,2021,11,15,Sekondi/Takoradi,4.93,-1.7,883.95,3.54
2021-11-15,2021,11,15,Sekondi/Takoradi,4.93,-1.7,7.49,7.49
2021-12-15,2021,12,15,Sekondi/Takoradi,4.93,-1.7,843.79,3.38
2021-12-15,2021,12,15,Sekondi/Takoradi,4.93,-1.7,5.44,5.44
2022-01-15,2022,1,15,Sekondi/Takoradi,4.93,-1.7,891.1,3.56
2022-01-15,2022,1,15,Sekondi/Takoradi,4.93,-1.7,7.11,7.11
2022-03-15,2022,3,15,Sekondi/Takoradi,4.93,-1.7,1125.66,4.5
2022-03-15,2022,3,15,Sekondi/Takoradi,4.93,-1.7,8.43,8.43
2022-04-15,2022,4,15,Sekondi/Takoradi,4.93,-1.7,1051.63,4.21
2022-04-15,2022,4,15,Sekondi/Takoradi,4.93,-1.7,9.18,9.18
2022-05-15,2022,5,15,Sekondi/Takoradi,4.93,-1.7,2604.36,10.42
2022-05-15,2022,5,15,Sekondi/Takoradi,4.93,-1.7,8.73,8.73
2022-06-15,2022,6,15,Sekondi/Takoradi,4.93,-1.7,2729.2,10.92
2022-06-15,2022,6,15,Sekondi/Takoradi,4.93,-1.7,9.54,9.54
2022-07-15,2022,7,15,Sekondi/Takoradi,4.93,-1.7,3160.25,12.64
2022-07-15,2022,7,15,Sekondi/Takoradi,4.93,-1.7,7.52,7.52
2022-08-15,2022,8,15,Sekondi/Takoradi,4.93,-1.7,3151.97,12.61
2022-08-15,2022,8,15,Sekondi/Takoradi,4.93,-1.7,8.72,8.72
2022-09-15,2022,9,15,Sekondi/Takoradi,4.93,-1.7,2789.72,11.16
2022-09-15,2022,9,15,Sekondi/Takoradi,4.93,-1.7,9.04,9.04
2022-11-15,2022,11,15,Sekondi/Takoradi,4.93,-1.7,1637.68,6.55
2022-11-15,2022,11,15,Sekondi/Takoradi,4.93,-1.7,9.35,9.35
2022-12-15,2022,12,15,Sekondi/Takoradi,4.93,-1.7,2121.5,8.49
2022-12-15,2022,12,15,Sekondi/Takoradi,4.93,-1.7,10.13,10.13
2023-01-15,2023,1,15,Sekondi/Takoradi,4.93,-1.7,2124.81,8.5
2023-01-15,2023,1,15,Sekondi/Takoradi,4.93,-1.7,9.54,9.54
2023-02-15,2023,2,15,Sekondi/Takoradi,4.93,-1.7,1400.62,5.6
2023-02-15,2023,2,15,Sekondi/Takoradi,4.93,-1.7,13.49,13.49
2023-03-15,2023,3,15,Sekondi/Takoradi,4.93,-1.7,2169.03,8.68
2023-03-15,2023,3,15,Sekondi/Takoradi,4.93,-1.7,10.23,10.23
2023-04-15,2023,4,15,Sekondi/Takoradi,4.93,-1.7,718.0,2.87
2023-04-15,2023,4,15,Sekondi/Takoradi,4.93,-1.7,17.61,17.61
2023-05-15,2023,5,15,Sekondi/Takoradi,4.93,-1.7,654.0,2.62
2023-05-15,2023,5,15,Sekondi/Takoradi,4.93,-1.7,18.55,18.55
2023-06-15,2023,6,15,Sekondi/Takoradi,4.93,-1.7,706.0,2.82
2023-06-15,2023,6,15,Sekondi/Takoradi,4.93,-1.7,18.15,18.15
2023-07-15,2023,7,15,Sekondi/Takoradi,4.93,-1.7,2945.7,11.78
2023-07-15,2023,7,15,Sekondi/Takoradi,4.93,-1.7,18.2,18.2
