date,year,month,city,latitude,longitude,cedi_price/(KG)
2007-07-15,2007,7,Kumasi,6.68,-1.62,0.27
2007-08-15,2007,8,Kumasi,6.68,-1.62,0.28
2007-09-15,2007,9,Kumasi,6.68,-1.62,0.29
2007-10-15,2007,10,Kumasi,6.68,-1.62,0.22
2007-11-15,2007,11,Kumasi,6.68,-1.62,0.26
2007-12-15,2007,12,Kumasi,6.68,-1.62,0.24
2008-01-15,2008,1,Kumasi,6.68,-1.62,0.25
2008-01-15,2008,1,Obuasi,6.2,-1.67,0.36
2008-02-15,2008,2,Kumasi,6.68,-1.62,0.28
2008-02-15,2008,2,Obuasi,6.2,-1.67,0.36
2008-03-15,2008,3,Kumasi,6.68,-1.62,0.33
2008-03-15,2008,3,Obuasi,6.2,-1.67,0.42
2008-04-15,2008,4,Kumasi,6.68,-1.62,0.4
2008-04-15,2008,4,Obuasi,6.2,-1.67,0.52
2008-05-15,2008,5,Kumasi,6.68,-1.62,0.52
2008-05-15,2008,5,Obuasi,6.2,-1.67,0.68
2008-06-15,2008,6,Kumasi,6.68,-1.62,0.51
2008-06-15,2008,6,Obuasi,6.2,-1.67,0.69
2008-07-15,2008,7,Kumasi,6.68,-1.62,0.79
2008-07-15,2008,7,Obuasi,6.2,-1.67,0.92
2008-08-15,2008,8,Kumasi,6.68,-1.62,0.85
2008-08-15,2008,8,Obuasi,6.2,-1.67,0.75
2008-09-15,2008,9,Kumasi,6.68,-1.62,0.44
2008-09-15,2008,9,Obuasi,6.2,-1.67,0.52
2008-10-15,2008,10,Kumasi,6.68,-1.62,0.39
2008-10-15,2008,10,Obuasi,6.2,-1.67,0.62
2008-11-15,2008,11,Kumasi,6.68,-1.62,0.42
2008-11-15,2008,11,Obuasi,6.2,-1.67,0.63
2008-12-15,2008,12,Kumasi,6.68,-1.62,0.38
2008-12-15,2008,12,Obuasi,6.2,-1.67,0.73
2009-01-15,2009,1,Kumasi,6.68,-1.62,0.44
2009-01-15,2009,1,Obuasi,6.2,-1.67,0.75
2009-02-15,2009,2,Ejura,7.38,-1.37,0.52
2009-02-15,2009,2,Kumasi,6.68,-1.62,0.51
2009-02-15,2009,2,Obuasi,6.2,-1.67,0.75
2009-03-15,2009,3,Ejura,7.38,-1.37,0.52
2009-03-15,2009,3,Kumasi,6.68,-1.62,0.56
2009-03-15,2009,3,Obuasi,6.2,-1.67,0.75
2009-04-15,2009,4,Ejura,7.38,-1.37,0.57
2009-04-15,2009,4,Kumasi,6.68,-1.62,0.58
2009-04-15,2009,4,Obuasi,6.2,-1.67,0.76
2009-05-15,2009,5,Ejura,7.38,-1.37,0.71
2009-05-15,2009,5,Kumasi,6.68,-1.62,0.7
2009-05-15,2009,5,Obuasi,6.2,-1.67,0.86
2009-06-15,2009,6,Ejura,7.38,-1.37,0.58
2009-06-15,2009,6,Kumasi,6.68,-1.62,0.67
2009-06-15,2009,6,Obuasi,6.2,-1.67,0.9
2009-07-15,2009,7,Ejura,7.38,-1.37,0.56
2009-07-15,2009,7,Kumasi,6.68,-1.62,0.67
2009-07-15,2009,7,Obuasi,6.2,-1.67,0.78
2009-08-15,2009,8,Ejura,7.38,-1.37,0.54
2009-08-15,2009,8,Kumasi,6.68,-1.62,0.68
2009-08-15,2009,8,Obuasi,6.2,-1.67,0.7
2009-09-15,2009,9,Ejura,7.38,-1.37,0.2
2009-09-15,2009,9,Kumasi,6.68,-1.62,0.38
2009-09-15,2009,9,Obuasi,6.2,-1.67,0.59
2009-10-15,2009,10,Ejura,7.38,-1.37,0.42
2009-10-15,2009,10,Kumasi,6.68,-1.62,0.48
2009-10-15,2009,10,Obuasi,6.2,-1.67,0.65
2009-11-15,2009,11,Ejura,7.38,-1.37,0.35
2009-11-15,2009,11,Kumasi,6.68,-1.62,0.58
2009-11-15,2009,11,Obuasi,6.2,-1.67,0.69
2009-12-15,2009,12,Ejura,7.38,-1.37,0.35
2009-12-15,2009,12,Kumasi,6.68,-1.62,0.58
2009-12-15,2009,12,Obuasi,6.2,-1.67,0.69
2010-01-15,2010,1,Ejura,7.38,-1.37,0.36
2010-01-15,2010,1,Kumasi,6.68,-1.62,0.52
2010-01-15,2010,1,Obuasi,6.2,-1.67,0.78
2010-02-15,2010,2,Ejura,7.38,-1.37,0.35
2010-02-15,2010,2,Kumasi,6.68,-1.62,0.49
2010-02-15,2010,2,Obuasi,6.2,-1.67,0.8
2010-03-15,2010,3,Ejura,7.38,-1.37,0.32
2010-03-15,2010,3,Kumasi,6.68,-1.62,0.47
2010-03-15,2010,3,Obuasi,6.2,-1.67,0.69
2010-04-15,2010,4,Ejura,7.38,-1.37,0.39
2010-04-15,2010,4,Kumasi,6.68,-1.62,0.38
2010-04-15,2010,4,Obuasi,6.2,-1.67,0.7
2010-05-15,2010,5,Ejura,7.38,-1.37,0.42
2010-05-15,2010,5,Kumasi,6.68,-1.62,0.44
2010-05-15,2010,5,Obuasi,6.2,-1.67,0.7
2010-06-15,2010,6,Ejura,7.38,-1.37,0.39
2010-06-15,2010,6,Kumasi,6.68,-1.62,0.48
2010-06-15,2010,6,Obuasi,6.2,-1.67,0.71
2010-07-15,2010,7,Ejura,7.38,-1.37,0.39
2010-07-15,2010,7,Kumasi,6.68,-1.62,0.5
2010-07-15,2010,7,Obuasi,6.2,-1.67,0.7
2010-08-15,2010,8,Ejura,7.38,-1.37,0.51
2010-08-15,2010,8,Kumasi,6.68,-1.62,0.39
2010-08-15,2010,8,Obuasi,6.2,-1.67,0.66
2010-09-15,2010,9,Ejura,7.38,-1.37,0.45
2010-09-15,2010,9,Kumasi,6.68,-1.62,0.36
2010-09-15,2010,9,Obuasi,6.2,-1.67,0.61
