Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3218,2020,1,2020-01-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,1.37
3219,2020,1,2020-01-15,Kumasi,Kma,215,6.68,-1.62,73 ,aggregate,Wholesale,2.52
3354,2020,1,2020-01-15,Obuasi,Obuasi Municipal,216,6.2,-1.67,,aggregate,Retail,2.36
3755,2021,1,2021-01-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,2.41
3756,2021,1,2021-01-15,Kumasi,Kma,215,6.68,-1.62,73 ,aggregate,Wholesale,334.7
3766,2021,1,2021-01-15,Obuasi,Obuasi Municipal,216,6.2,-1.67,,aggregate,Retail,3.83
4158,2022,1,2022-01-15,Obuasi,Obuasi Municipal,216,6.2,-1.67,,aggregate,Retail,3.09
4246,2022,1,2022-01-15,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,,aggregate,Retail,4.25
4267,2022,1,2022-01-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,3.89
4268,2022,1,2022-01-15,Kumasi,Kma,215,6.68,-1.62,73 ,aggregate,Wholesale,588.46
4771,2023,1,2023-01-15,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,,aggregate,Retail,5.55
4838,2023,1,2023-01-15,Obuasi,Obuasi Municipal,216,6.2,-1.67,,aggregate,Retail,3.78
4854,2023,1,2023-01-15,Kumasi,Kma,215,6.68,-1.62,73 ,aggregate,Wholesale,394.24
4855,2023,1,2023-01-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,6.17
6683,2020,2,2020-02-15,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,,aggregate,Retail,7.71
6686,2020,2,2020-02-15,Obuasi,Obuasi Municipal,216,6.2,-1.67,,aggregate,Retail,31.15
6757,2020,2,2020-02-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,14.44
6758,2020,2,2020-02-15,Kumasi,Kma,215,6.68,-1.62,73 ,aggregate,Wholesale,196.83
7051,2021,2,2021-02-15,Kumasi,Kma,215,6.68,-1.62,73 ,aggregate,Wholesale,196.83
7052,2021,2,2021-02-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,3.54
7176,2021,2,2021-02-15,Obuasi,Obuasi Municipal,216,6.2,-1.67,,aggregate,Retail,2.09
7208,2021,2,2021-02-15,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,,aggregate,Retail,4.15
7225,2021,2,2021-02-15,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,73 ,aggregate,Wholesale,210.0
7800,2022,2,2022-02-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,3.17
7801,2022,2,2022-02-15,Kumasi,Kma,215,6.68,-1.62,73 ,aggregate,Wholesale,608.97
8213,2023,2,2023-02-15,Obuasi,Obuasi Municipal,216,6.2,-1.67,,aggregate,Retail,3.78
8241,2023,2,2023-02-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,4.91
