date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,15,Ejura,7.38,-1.37,4.0
2019-08-15,2019,8,15,Kumasi,6.68,-1.62,7.26
2019-08-15,2019,8,15,Kumasi,6.68,-1.62,1.48
2019-08-15,2019,8,15,Obuasi,6.2,-1.67,2.95
2019-09-15,2019,9,15,Ejura,7.38,-1.37,3.91
2019-09-15,2019,9,15,Kumasi,6.68,-1.62,7.26
2019-09-15,2019,9,15,Kumasi,6.68,-1.62,1.48
2019-09-15,2019,9,15,Obuasi,6.2,-1.67,2.75
2019-10-15,2019,10,15,Ejura,7.38,-1.37,3.9
2019-10-15,2019,10,15,Kumasi,6.68,-1.62,7.26
2019-10-15,2019,10,15,Kumasi,6.68,-1.62,1.48
2019-10-15,2019,10,15,Obuasi,6.2,-1.67,2.72
2019-11-15,2019,11,15,Ejura,7.38,-1.37,4.15
2019-11-15,2019,11,15,Kumasi,6.68,-1.62,7.26
2019-11-15,2019,11,15,Kumasi,6.68,-1.62,1.48
2019-11-15,2019,11,15,Obuasi,6.2,-1.67,2.72
2019-12-15,2019,12,15,Ejura,7.38,-1.37,4.04
2019-12-15,2019,12,15,Kumasi,6.68,-1.62,7.26
2019-12-15,2019,12,15,Kumasi,6.68,-1.62,1.48
2019-12-15,2019,12,15,Obuasi,6.2,-1.67,2.72
2020-01-15,2020,1,15,Kumasi,6.68,-1.62,9.08
2020-01-15,2020,1,15,Kumasi,6.68,-1.62,1.6
2020-01-15,2020,1,15,Obuasi,6.2,-1.67,2.72
2020-02-15,2020,2,15,Ejura,7.38,-1.37,21.59
2020-02-15,2020,2,15,Ejura,7.38,-1.37,4.63
2020-02-15,2020,2,15,Kumasi,6.68,-1.62,30.67
2020-02-15,2020,2,15,Kumasi,6.68,-1.62,6.0
2020-02-15,2020,2,15,Obuasi,6.2,-1.67,4.98
2020-03-15,2020,3,15,Ejura,7.38,-1.37,4.27
2020-03-15,2020,3,15,Kumasi,6.68,-1.62,1.65
2020-03-15,2020,3,15,Obuasi,6.2,-1.67,2.72
2020-04-15,2020,4,15,Ejura,7.38,-1.37,5.5
2020-04-15,2020,4,15,Ejura,7.38,-1.37,12.34
2020-04-15,2020,4,15,Kumasi,6.68,-1.62,5.21
2020-04-15,2020,4,15,Kumasi,6.68,-1.62,9.45
2020-04-15,2020,4,15,Obuasi,6.2,-1.67,15.5
2020-05-15,2020,5,15,Ejura,7.38,-1.37,7.47
2020-05-15,2020,5,15,Kumasi,6.68,-1.62,26.73
2020-05-15,2020,5,15,Kumasi,6.68,-1.62,8.18
2020-05-15,2020,5,15,Obuasi,6.2,-1.67,13.32
2020-06-15,2020,6,15,Ejura,7.38,-1.37,38.5
2020-06-15,2020,6,15,Kumasi,6.68,-1.62,21.48
2020-07-15,2020,7,15,Ejura,7.38,-1.37,21.59
