date,year,month,city,latitude,longitude,cedi_price/(KG)
2007-07-15,2007,7,Kumasi,6.68,-1.62,0.76
2007-08-15,2007,8,Kumasi,6.68,-1.62,0.73
2007-09-15,2007,9,Kumasi,6.68,-1.62,0.75
2007-10-15,2007,10,Kumasi,6.68,-1.62,0.75
2007-11-15,2007,11,Kumasi,6.68,-1.62,0.73
2007-12-15,2007,12,Kumasi,6.68,-1.62,0.75
2008-01-15,2008,1,Kumasi,6.68,-1.62,0.75
2008-01-15,2008,1,Obuasi,6.2,-1.67,0.7
2008-02-15,2008,2,Kumasi,6.68,-1.62,0.76
2008-02-15,2008,2,Obuasi,6.2,-1.67,0.7
2008-03-15,2008,3,Kumasi,6.68,-1.62,0.76
2008-03-15,2008,3,Obuasi,6.2,-1.67,0.7
2008-04-15,2008,4,Kumasi,6.68,-1.62,0.74
2008-04-15,2008,4,Obuasi,6.2,-1.67,0.9
2008-05-15,2008,5,Kumasi,6.68,-1.62,0.81
2008-05-15,2008,5,Obuasi,6.2,-1.67,1.1
2008-06-15,2008,6,Kumasi,6.68,-1.62,0.91
2008-06-15,2008,6,Obuasi,6.2,-1.67,1.71
2008-07-15,2008,7,Kumasi,6.68,-1.62,1.05
2008-07-15,2008,7,Obuasi,6.2,-1.67,0.97
2008-08-15,2008,8,Kumasi,6.68,-1.62,1.23
2008-08-15,2008,8,Obuasi,6.2,-1.67,0.63
2008-09-15,2008,9,Kumasi,6.68,-1.62,1.11
2008-09-15,2008,9,Obuasi,6.2,-1.67,0.6
2008-10-15,2008,10,Kumasi,6.68,-1.62,1.1
2008-10-15,2008,10,Obuasi,6.2,-1.67,0.7
2008-11-15,2008,11,Kumasi,6.68,-1.62,0.96
2008-11-15,2008,11,Obuasi,6.2,-1.67,0.66
2008-12-15,2008,12,Kumasi,6.68,-1.62,0.95
2008-12-15,2008,12,Obuasi,6.2,-1.67,0.66
2009-01-15,2009,1,Kumasi,6.68,-1.62,1.02
2009-01-15,2009,1,Obuasi,6.2,-1.67,0.72
2009-02-15,2009,2,Ejura,7.38,-1.37,1.22
2009-02-15,2009,2,Kumasi,6.68,-1.62,1.0
2009-02-15,2009,2,Obuasi,6.2,-1.67,0.72
2009-03-15,2009,3,Ejura,7.38,-1.37,1.15
2009-03-15,2009,3,Kumasi,6.68,-1.62,1.05
2009-03-15,2009,3,Obuasi,6.2,-1.67,0.7
2009-04-15,2009,4,Ejura,7.38,-1.37,1.2
2009-04-15,2009,4,Kumasi,6.68,-1.62,1.1
2009-04-15,2009,4,Obuasi,6.2,-1.67,0.7
2009-05-15,2009,5,Ejura,7.38,-1.37,1.11
2009-05-15,2009,5,Kumasi,6.68,-1.62,1.2
2009-05-15,2009,5,Obuasi,6.2,-1.67,0.8
2009-06-15,2009,6,Ejura,7.38,-1.37,1.2
2009-06-15,2009,6,Kumasi,6.68,-1.62,1.08
2009-06-15,2009,6,Obuasi,6.2,-1.67,0.88
2009-07-15,2009,7,Ejura,7.38,-1.37,1.2
2009-07-15,2009,7,Kumasi,6.68,-1.62,1.12
2009-07-15,2009,7,Obuasi,6.2,-1.67,0.88
2009-08-15,2009,8,Ejura,7.38,-1.37,1.2
2009-08-15,2009,8,Kumasi,6.68,-1.62,1.12
2009-08-15,2009,8,Obuasi,6.2,-1.67,0.88
2009-09-15,2009,9,Ejura,7.38,-1.37,1.2
2009-09-15,2009,9,Kumasi,6.68,-1.62,1.19
2009-09-15,2009,9,Obuasi,6.2,-1.67,0.76
2009-10-15,2009,10,Ejura,7.38,-1.37,0.98
2009-10-15,2009,10,Kumasi,6.68,-1.62,1.15
2009-10-15,2009,10,Obuasi,6.2,-1.67,0.74
2009-11-15,2009,11,Ejura,7.38,-1.37,0.9
2009-11-15,2009,11,Kumasi,6.68,-1.62,1.14
2009-11-15,2009,11,Obuasi,6.2,-1.67,0.79
2009-12-15,2009,12,Ejura,7.38,-1.37,0.9
2009-12-15,2009,12,Kumasi,6.68,-1.62,1.14
2009-12-15,2009,12,Obuasi,6.2,-1.67,0.79
2010-01-15,2010,1,Ejura,7.38,-1.37,0.9
2010-01-15,2010,1,Kumasi,6.68,-1.62,1.07
2010-01-15,2010,1,Obuasi,6.2,-1.67,0.8
2010-02-15,2010,2,Ejura,7.38,-1.37,0.92
2010-02-15,2010,2,Kumasi,6.68,-1.62,1.18
2010-02-15,2010,2,Obuasi,6.2,-1.67,0.98
2010-03-15,2010,3,Ejura,7.38,-1.37,0.95
2010-03-15,2010,3,Kumasi,6.68,-1.62,1.19
2010-03-15,2010,3,Obuasi,6.2,-1.67,0.8
2010-04-15,2010,4,Ejura,7.38,-1.37,0.82
2010-04-15,2010,4,Kumasi,6.68,-1.62,1.0
2010-04-15,2010,4,Obuasi,6.2,-1.67,0.8
2010-05-15,2010,5,Ejura,7.38,-1.37,0.8
2010-05-15,2010,5,Kumasi,6.68,-1.62,1.04
2010-05-15,2010,5,Obuasi,6.2,-1.67,0.8
2010-06-15,2010,6,Ejura,7.38,-1.37,0.9
2010-06-15,2010,6,Kumasi,6.68,-1.62,1.05
2010-06-15,2010,6,Obuasi,6.2,-1.67,0.89
2010-07-15,2010,7,Ejura,7.38,-1.37,0.9
2010-07-15,2010,7,Kumasi,6.68,-1.62,1.02
2010-07-15,2010,7,Obuasi,6.2,-1.67,0.8
2010-08-15,2010,8,Ejura,7.38,-1.37,1.2
2010-08-15,2010,8,Kumasi,6.68,-1.62,0.9
2010-08-15,2010,8,Obuasi,6.2,-1.67,0.8
2010-09-15,2010,9,Ejura,7.38,-1.37,1.32
2010-09-15,2010,9,Kumasi,6.68,-1.62,0.88
2010-09-15,2010,9,Obuasi,6.2,-1.67,0.8
2010-10-15,2010,10,Ejura,7.38,-1.37,1.26
2010-10-15,2010,10,Kumasi,6.68,-1.62,1.17
