Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2222,2011,1,2011-01-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,45.0
2327,2012,1,2012-01-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,94.25
2414,2013,1,2013-01-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,88.0
2529,2014,1,2014-01-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,91.25
2604,2015,1,2015-01-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,88.8
2737,2016,1,2016-01-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,84.2
2808,2017,1,2017-01-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,91.25
5647,2011,2,2011-02-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,83.75
5803,2012,2,2012-02-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,93.75
5927,2013,2,2013-02-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,83.5
5967,2014,2,2014-02-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,98.75
6052,2015,2,2015-02-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,93.0
6159,2016,2,2016-02-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,82.5
6284,2017,2,2017-02-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,91.67
9179,2011,3,2011-03-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,81.25
9270,2012,3,2012-03-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,89.5
9343,2013,3,2013-03-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,85.0
9451,2014,3,2014-03-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,110.0
9599,2015,3,2015-03-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,90.0
9637,2016,3,2016-03-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,80.0
9727,2017,3,2017-03-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,97.5
12480,2011,4,2011-04-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,81.25
12602,2012,4,2012-04-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,104.0
12701,2013,4,2013-04-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,83.75
12886,2015,4,2015-04-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,93.0
12989,2016,4,2016-04-15,Kumasi,Kma,215,6.68,-1.62,84 ,actual,Wholesale,86.0
