Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3209,2020,1,2020-01-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,4.11
3210,2020,1,2020-01-15,Kumasi,Kma,215,6.68,-1.62,52 ,aggregate,Wholesale,8.52
3349,2020,1,2020-01-15,Obuasi,Obuasi Municipal,216,6.2,-1.67,,aggregate,Retail,1.43
3713,2021,1,2021-01-15,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,52 ,aggregate,Wholesale,14.74
3714,2021,1,2021-01-15,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,,aggregate,Retail,3.12
3745,2021,1,2021-01-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,3.97
3746,2021,1,2021-01-15,Kumasi,Kma,215,6.68,-1.62,52 ,aggregate,Wholesale,16.57
3762,2021,1,2021-01-15,Obuasi,Obuasi Municipal,216,6.2,-1.67,,aggregate,Retail,4.11
4163,2022,1,2022-01-15,Obuasi,Obuasi Municipal,216,6.2,-1.67,,aggregate,Retail,4.1
4214,2022,1,2022-01-15,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,,aggregate,Retail,4.65
4257,2022,1,2022-01-15,Kumasi,Kma,215,6.68,-1.62,52 ,aggregate,Wholesale,13.48
4258,2022,1,2022-01-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,5.07
4752,2023,1,2023-01-15,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,,aggregate,Retail,4.65
4842,2023,1,2023-01-15,Obuasi,Obuasi Municipal,216,6.2,-1.67,,aggregate,Retail,7.23
4862,2023,1,2023-01-15,Kumasi,Kma,215,6.68,-1.62,52 ,aggregate,Wholesale,24.42
4863,2023,1,2023-01-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,5.71
6700,2020,2,2020-02-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,15.87
6701,2020,2,2020-02-15,Kumasi,Kma,215,6.68,-1.62,52 ,aggregate,Wholesale,751.82
7059,2021,2,2021-02-15,Kumasi,Kma,215,6.68,-1.62,52 ,aggregate,Wholesale,65.86
7067,2021,2,2021-02-15,Kumasi,Kma,215,6.68,-1.62,,aggregate,Retail,2.56
