date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Kumasi,6.68,-1.62,1.04
2019-08-15,2019,8,Kumasi,6.68,-1.62,5.47
2019-08-15,2019,8,Obuasi,6.2,-1.67,5.15
2019-09-15,2019,9,Kumasi,6.68,-1.62,1.04
2019-09-15,2019,9,Kumasi,6.68,-1.62,5.47
2019-09-15,2019,9,Obuasi,6.2,-1.67,5.15
2019-10-15,2019,10,Kumasi,6.68,-1.62,1.04
2019-10-15,2019,10,Kumasi,6.68,-1.62,5.47
2019-10-15,2019,10,Obuasi,6.2,-1.67,5.15
2019-11-15,2019,11,Kumasi,6.68,-1.62,1.04
2019-11-15,2019,11,Kumasi,6.68,-1.62,5.47
2019-11-15,2019,11,Obuasi,6.2,-1.67,5.15
2019-12-15,2019,12,Kumasi,6.68,-1.62,1.04
2019-12-15,2019,12,Kumasi,6.68,-1.62,5.47
2019-12-15,2019,12,Obuasi,6.2,-1.67,5.15
2020-01-15,2020,1,Kumasi,6.68,-1.62,0.88
2020-01-15,2020,1,Kumasi,6.68,-1.62,4.73
2020-01-15,2020,1,Obuasi,6.2,-1.67,5.15
2020-02-15,2020,2,Kumasi,6.68,-1.62,3.57
2020-02-15,2020,2,Kumasi,6.68,-1.62,4.2
2020-02-15,2020,2,Obuasi,6.2,-1.67,6.78
2020-03-15,2020,3,Kumasi,6.68,-1.62,0.88
2020-03-15,2020,3,Kumasi,6.68,-1.62,7.07
2020-03-15,2020,3,Obuasi,6.2,-1.67,5.15
2020-04-15,2020,4,Ejura,7.38,-1.37,2.42
2020-04-15,2020,4,Ejura,7.38,-1.37,2.75
2020-04-15,2020,4,Kumasi,6.68,-1.62,2.83
2020-04-15,2020,4,Kumasi,6.68,-1.62,4.88
2020-04-15,2020,4,Obuasi,6.2,-1.67,3.19
2020-05-15,2020,5,Ejura,7.38,-1.37,3.18
2020-05-15,2020,5,Kumasi,6.68,-1.62,3.79
2020-05-15,2020,5,Kumasi,6.68,-1.62,4.2
2020-05-15,2020,5,Obuasi,6.2,-1.67,3.27
2020-06-15,2020,6,Kumasi,6.68,-1.62,3.9
2020-07-15,2020,7,Kumasi,6.68,-1.62,3.57
2020-07-15,2020,7,Kumasi,6.68,-1.62,4.2
2020-07-15,2020,7,Obuasi,6.2,-1.67,6.78
2020-08-15,2020,8,Kumasi,6.68,-1.62,4.87
2020-08-15,2020,8,Kumasi,6.68,-1.62,6.11
2020-08-15,2020,8,Obuasi,6.2,-1.67,3.13
2020-09-15,2020,9,Kumasi,6.68,-1.62,2.69
2020-09-15,2020,9,Kumasi,6.68,-1.62,2.69
2020-09-15,2020,9,Obuasi,6.2,-1.67,2.24
2020-10-15,2020,10,Kumasi,6.68,-1.62,0.81
2020-10-15,2020,10,Kumasi,6.68,-1.62,5.4
2020-11-15,2020,11,Kumasi,6.68,-1.62,0.81
2020-11-15,2020,11,Kumasi,6.68,-1.62,5.4
2020-11-15,2020,11,Obuasi,6.2,-1.67,5.15
2020-12-15,2020,12,Kumasi,6.68,-1.62,0.81
2020-12-15,2020,12,Kumasi,6.68,-1.62,5.4
2020-12-15,2020,12,Obuasi,6.2,-1.67,5.15
2021-01-15,2021,1,Ejura,7.38,-1.37,2.84
2021-01-15,2021,1,Ejura,7.38,-1.37,2.94
2021-01-15,2021,1,Kumasi,6.68,-1.62,2.94
2021-01-15,2021,1,Kumasi,6.68,-1.62,4.7
2021-01-15,2021,1,Obuasi,6.2,-1.67,4.61
2021-02-15,2021,2,Ejura,7.38,-1.37,2.56
2021-02-15,2021,2,Ejura,7.38,-1.37,2.71
2021-02-15,2021,2,Kumasi,6.68,-1.62,3.85
2021-02-15,2021,2,Kumasi,6.68,-1.62,4.4
2021-02-15,2021,2,Obuasi,6.2,-1.67,4.38
2021-03-15,2021,3,Kumasi,6.68,-1.62,3.81
2021-03-15,2021,3,Kumasi,6.68,-1.62,5.74
2021-03-15,2021,3,Obuasi,6.2,-1.67,5.0
2021-04-15,2021,4,Ejura,7.38,-1.37,2.53
2021-04-15,2021,4,Ejura,7.38,-1.37,2.84
2021-04-15,2021,4,Kumasi,6.68,-1.62,3.77
2021-04-15,2021,4,Kumasi,6.68,-1.62,5.64
2021-04-15,2021,4,Obuasi,6.2,-1.67,4.47
2021-05-15,2021,5,Kumasi,6.68,-1.62,3.77
2021-05-15,2021,5,Kumasi,6.68,-1.62,5.64
2021-05-15,2021,5,Obuasi,6.2,-1.67,7.15
2021-06-15,2021,6,Kumasi,6.68,-1.62,4.95
2021-06-15,2021,6,Obuasi,6.2,-1.67,5.15
2021-07-15,2021,7,Kumasi,6.68,-1.62,3.95
2021-07-15,2021,7,Kumasi,6.68,-1.62,6.16
2021-07-15,2021,7,Obuasi,6.2,-1.67,3.74
2021-08-15,2021,8,Kumasi,6.68,-1.62,3.95
2021-08-15,2021,8,Kumasi,6.68,-1.62,6.16
2021-08-15,2021,8,Obuasi,6.2,-1.67,3.13
2021-09-15,2021,9,Kumasi,6.68,-1.62,3.95
2021-09-15,2021,9,Kumasi,6.68,-1.62,6.16
2021-09-15,2021,9,Obuasi,6.2,-1.67,2.88
2021-10-15,2021,10,Kumasi,6.68,-1.62,2.39
2021-10-15,2021,10,Kumasi,6.68,-1.62,4.35
2021-10-15,2021,10,Obuasi,6.2,-1.67,3.24
2021-11-15,2021,11,Ejura,7.38,-1.37,4.24
2021-11-15,2021,11,Ejura,7.38,-1.37,5.12
2021-11-15,2021,11,Obuasi,6.2,-1.67,3.11
2021-12-15,2021,12,Ejura,7.38,-1.37,4.06
2021-12-15,2021,12,Ejura,7.38,-1.37,5.12
2021-12-15,2021,12,Kumasi,6.68,-1.62,2.65
2021-12-15,2021,12,Kumasi,6.68,-1.62,4.28
2021-12-15,2021,12,Obuasi,6.2,-1.67,3.11
2022-01-15,2022,1,Ejura,7.38,-1.37,4.06
2022-01-15,2022,1,Ejura,7.38,-1.37,5.12
2022-01-15,2022,1,Kumasi,6.68,-1.62,5.36
2022-01-15,2022,1,Kumasi,6.68,-1.62,6.04
2022-01-15,2022,1,Obuasi,6.2,-1.67,3.11
2022-02-15,2022,2,Kumasi,6.68,-1.62,6.0
2022-02-15,2022,2,Kumasi,6.68,-1.62,6.0
2022-03-15,2022,3,Kumasi,6.68,-1.62,5.79
2022-03-15,2022,3,Kumasi,6.68,-1.62,6.04
2022-03-15,2022,3,Obuasi,6.2,-1.67,3.46
2022-04-15,2022,4,Kumasi,6.68,-1.62,6.43
2022-04-15,2022,4,Kumasi,6.68,-1.62,7.46
2022-04-15,2022,4,Obuasi,6.2,-1.67,3.46
2022-05-15,2022,5,Kumasi,6.68,-1.62,5.83
2022-05-15,2022,5,Kumasi,6.68,-1.62,7.46
2022-05-15,2022,5,Obuasi,6.2,-1.67,8.12
2022-06-15,2022,6,Kumasi,6.68,-1.62,3.5
2022-06-15,2022,6,Kumasi,6.68,-1.62,5.02
2022-06-15,2022,6,Obuasi,6.2,-1.67,7.54
2022-07-15,2022,7,Kumasi,6.68,-1.62,4.15
2022-07-15,2022,7,Kumasi,6.68,-1.62,5.02
2022-08-15,2022,8,Obuasi,6.2,-1.67,3.46
2022-09-15,2022,9,Obuasi,6.2,-1.67,2.04
2022-10-15,2022,10,Kumasi,6.68,-1.62,4.72
2022-10-15,2022,10,Kumasi,6.68,-1.62,4.81
2022-10-15,2022,10,Obuasi,6.2,-1.67,2.73
2022-11-15,2022,11,Kumasi,6.68,-1.62,5.52
2022-11-15,2022,11,Kumasi,6.68,-1.62,5.88
2022-11-15,2022,11,Obuasi,6.2,-1.67,4.91
2022-12-15,2022,12,Kumasi,6.68,-1.62,5.52
2022-12-15,2022,12,Kumasi,6.68,-1.62,5.88
2022-12-15,2022,12,Obuasi,6.2,-1.67,4.82
2023-01-15,2023,1,Ejura,7.38,-1.37,8.62
2023-01-15,2023,1,Ejura,7.38,-1.37,10.43
2023-01-15,2023,1,Kumasi,6.68,-1.62,5.79
2023-01-15,2023,1,Kumasi,6.68,-1.62,5.88
2023-01-15,2023,1,Obuasi,6.2,-1.67,8.59
2023-02-15,2023,2,Ejura,7.38,-1.37,8.14
2023-02-15,2023,2,Ejura,7.38,-1.37,9.94
2023-02-15,2023,2,Kumasi,6.68,-1.62,3.07
