Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3575,2021,1,2021-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,210.65
3654,2021,1,2021-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,150.8
4186,2022,1,2022-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,581.67
4750,2023,1,2023-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,464.47
5189,2023,1,2023-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,432.75
6452,2020,2,2020-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,240.63
6486,2020,2,2020-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,242.42
6504,2020,2,2020-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,297.27
7741,2022,2,2022-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,412.8
7815,2022,2,2022-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,516.91
7894,2022,2,2022-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,416.0
8055,2023,2,2023-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,439.65
8098,2023,2,2023-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,513.88
8295,2023,2,2023-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,408.57
10537,2021,3,2021-03-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,218.04
10654,2021,3,2021-03-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,211.93
10873,2021,3,2021-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,206.96
11226,2022,3,2022-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,410.57
11302,2022,3,2022-03-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,333.38
11832,2023,3,2023-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,451.83
11844,2023,3,2023-03-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,513.88
11950,2023,3,2023-03-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,431.36
13251,2020,4,2020-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,357.49
13445,2020,4,2020-04-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,565.64
13464,2020,4,2020-04-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,609.22
14127,2021,4,2021-04-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,340.76
14207,2021,4,2021-04-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,326.82
14291,2021,4,2021-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,368.68
14461,2022,4,2022-04-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,461.55
14489,2022,4,2022-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,432.12
14577,2022,4,2022-04-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,339.01
17200,2020,5,2020-05-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,352.46
17242,2020,5,2020-05-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,237.29
17328,2020,5,2020-05-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,344.63
17417,2021,5,2021-05-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,417.95
17739,2021,5,2021-05-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,399.17
18186,2022,5,2022-05-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,494.34
18735,2023,5,2023-05-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,133.35
20226,2020,6,2020-06-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,409.42
20262,2020,6,2020-06-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,340.62
20290,2020,6,2020-06-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,aggregate,Wholesale,301.58
20587,2021,6,2021-06-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,494.34
23202,2020,7,2020-07-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,109 ,aggregate,Wholesale,297.27
