date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Kintampo,8.06,-1.73,1.64
2019-08-15,2019,8,Sunyani,7.33,-2.33,0.85
2019-08-15,2019,8,Techiman,7.58,-1.93,1.34
2019-09-15,2019,9,Kintampo,8.06,-1.73,1.6
2019-09-15,2019,9,Sunyani,7.33,-2.33,0.85
2019-09-15,2019,9,Techiman,7.58,-1.93,1.85
2019-10-15,2019,10,Kintampo,8.06,-1.73,1.54
2019-10-15,2019,10,Sunyani,7.33,-2.33,0.85
2019-10-15,2019,10,Techiman,7.58,-1.93,1.87
2019-11-15,2019,11,Kintampo,8.06,-1.73,1.54
2019-11-15,2019,11,Sunyani,7.33,-2.33,1.29
2019-11-15,2019,11,Techiman,7.58,-1.93,2.04
2019-12-15,2019,12,Kintampo,8.06,-1.73,1.49
2019-12-15,2019,12,Sunyani,7.33,-2.33,1.74
2019-12-15,2019,12,Techiman,7.58,-1.93,1.73
2020-01-15,2020,1,Kintampo,8.06,-1.73,1.39
2020-01-15,2020,1,Sunyani,7.33,-2.33,0.6
2020-01-15,2020,1,Techiman,7.58,-1.93,1.8
2020-02-15,2020,2,Kintampo,8.06,-1.73,2.62
2020-02-15,2020,2,Sunyani,7.33,-2.33,2.92
2020-02-15,2020,2,Techiman,7.58,-1.93,2.58
2020-03-15,2020,3,Kintampo,8.06,-1.73,0.94
2020-03-15,2020,3,Sunyani,7.33,-2.33,0.6
2020-04-15,2020,4,Kintampo,8.06,-1.73,5.79
2020-04-15,2020,4,Sunyani,7.33,-2.33,5.85
2020-04-15,2020,4,Techiman,7.58,-1.93,3.62
2020-05-15,2020,5,Kintampo,8.06,-1.73,3.29
2020-05-15,2020,5,Sunyani,7.33,-2.33,4.58
2020-05-15,2020,5,Techiman,7.58,-1.93,3.1
2020-07-15,2020,7,Kintampo,8.06,-1.73,2.62
2020-07-15,2020,7,Sunyani,7.33,-2.33,3.18
2020-07-15,2020,7,Techiman,7.58,-1.93,2.69
2020-08-15,2020,8,Kintampo,8.06,-1.73,2.32
2020-08-15,2020,8,Sunyani,7.33,-2.33,3.18
2020-08-15,2020,8,Techiman,7.58,-1.93,2.69
2020-09-15,2020,9,Kintampo,8.06,-1.73,2.32
2020-09-15,2020,9,Sunyani,7.33,-2.33,3.18
2020-09-15,2020,9,Techiman,7.58,-1.93,2.69
2020-10-15,2020,10,Sunyani,7.33,-2.33,1.7
2020-10-15,2020,10,Techiman,7.58,-1.93,0.88
2020-11-15,2020,11,Sunyani,7.33,-2.33,1.7
2020-11-15,2020,11,Techiman,7.58,-1.93,0.88
2020-12-15,2020,12,Sunyani,7.33,-2.33,0.92
2020-12-15,2020,12,Techiman,7.58,-1.93,1.03
2021-01-15,2021,1,Kintampo,8.06,-1.73,2.55
2021-01-15,2021,1,Sunyani,7.33,-2.33,1.3
2021-01-15,2021,1,Techiman,7.58,-1.93,2.27
2021-05-15,2021,5,Sunyani,7.33,-2.33,6.0
2021-05-15,2021,5,Techiman,7.58,-1.93,7.16
2021-06-15,2021,6,Kintampo,8.06,-1.73,2.46
2021-06-15,2021,6,Sunyani,7.33,-2.33,4.33
2021-07-15,2021,7,Sunyani,7.33,-2.33,10.0
2021-07-15,2021,7,Techiman,7.58,-1.93,9.93
2021-08-15,2021,8,Sunyani,7.33,-2.33,5.63
2021-08-15,2021,8,Techiman,7.58,-1.93,10.43
2021-09-15,2021,9,Sunyani,7.33,-2.33,11.27
2021-09-15,2021,9,Techiman,7.58,-1.93,7.95
2021-10-15,2021,10,Sunyani,7.33,-2.33,8.45
2021-10-15,2021,10,Techiman,7.58,-1.93,5.27
2021-11-15,2021,11,Sunyani,7.33,-2.33,5.63
2021-11-15,2021,11,Techiman,7.58,-1.93,3.28
2021-12-15,2021,12,Kintampo,8.06,-1.73,3.2
2021-12-15,2021,12,Sunyani,7.33,-2.33,5.63
2021-12-15,2021,12,Techiman,7.58,-1.93,2.99
2022-01-15,2022,1,Sunyani,7.33,-2.33,10.0
2022-01-15,2022,1,Techiman,7.58,-1.93,6.86
2022-02-15,2022,2,Kintampo,8.06,-1.73,7.94
2022-02-15,2022,2,Sunyani,7.33,-2.33,9.94
2022-02-15,2022,2,Techiman,7.58,-1.93,8.0
2022-03-15,2022,3,Kintampo,8.06,-1.73,4.74
2022-04-15,2022,4,Kintampo,8.06,-1.73,4.83
2022-04-15,2022,4,Techiman,7.58,-1.93,9.73
2022-05-15,2022,5,Kintampo,8.06,-1.73,6.82
2022-05-15,2022,5,Sunyani,7.33,-2.33,10.0
2022-05-15,2022,5,Techiman,7.58,-1.93,4.86
2022-06-15,2022,6,Kintampo,8.06,-1.73,5.04
2022-06-15,2022,6,Sunyani,7.33,-2.33,7.5
2022-06-15,2022,6,Techiman,7.58,-1.93,3.85
2022-07-15,2022,7,Kintampo,8.06,-1.73,5.7
2022-07-15,2022,7,Sunyani,7.33,-2.33,4.27
2022-07-15,2022,7,Techiman,7.58,-1.93,4.48
2022-08-15,2022,8,Sunyani,7.33,-2.33,11.27
2022-08-15,2022,8,Techiman,7.58,-1.93,6.37
