Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
1956,2008,1,2008-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,40.0
2078,2009,1,2009-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,64.8
2100,2010,1,2010-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,62.0
2199,2011,1,2011-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,57.0
2359,2012,1,2012-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,87.25
2375,2013,1,2013-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,130.0
2534,2014,1,2014-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,147.5
2622,2015,1,2015-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,95.0
2742,2016,1,2016-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,144.0
2821,2017,1,2017-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,142.5
2899,2018,1,2018-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,182.75
2956,2019,1,2019-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,179.68
3283,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,"actual,aggregate",Wholesale,170.51
3306,2020,1,2020-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,2.5
3326,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,2.27
3364,2020,1,2020-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,93 ,aggregate,Wholesale,192.91
3366,2020,1,2020-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,2.23
3519,2021,1,2021-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,3.42
3552,2021,1,2021-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,3.58
3553,2021,1,2021-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,93 ,aggregate,Wholesale,337.19
3630,2021,1,2021-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,3.44
3631,2021,1,2021-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,aggregate,Wholesale,280.21
4134,2022,1,2022-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,93 ,aggregate,Wholesale,344.36
4135,2022,1,2022-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,4.22
4191,2022,1,2022-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,4.17
4207,2022,1,2022-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,93 ,aggregate,Wholesale,348.75
4384,2022,1,2022-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,4.0
4385,2022,1,2022-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,aggregate,Wholesale,328.36
4753,2023,1,2023-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,aggregate,Wholesale,706.8
4768,2023,1,2023-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,8.06
4773,2023,1,2023-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,7.6
4789,2023,1,2023-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,93 ,aggregate,Wholesale,749.15
5446,2008,2,2008-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,42.0
5548,2009,2,2009-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,63.25
5641,2010,2,2010-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,52.5
5742,2011,2,2011-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,62.75
5837,2012,2,2012-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,87.5
5877,2013,2,2013-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,105.0
5939,2014,2,2014-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,145.0
6036,2015,2,2015-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,140.0
6211,2016,2,2016-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,140.0
6318,2017,2,2017-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,142.5
6385,2018,2,2018-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,199.28
6407,2019,2,2019-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,actual,Wholesale,179.13
6443,2020,2,2020-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,2.23
6490,2020,2,2020-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,2.69
6673,2020,2,2020-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,"actual,aggregate",Wholesale,173.93
6715,2020,2,2020-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,1.84
6716,2020,2,2020-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,93 ,aggregate,Wholesale,171.46
6768,2020,2,2020-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,93 ,aggregate,Wholesale,232.5
7121,2021,2,2021-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,3.16
7122,2021,2,2021-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,93 ,aggregate,Wholesale,260.04
7162,2021,2,2021-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,4.17
7163,2021,2,2021-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,93 ,aggregate,Wholesale,348.75
7731,2022,2,2022-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,3.69
7732,2022,2,2022-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,93 ,aggregate,Wholesale,343.45
