Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3038,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,2.28
3039,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,16 ,aggregate,Wholesale,16.45
3287,2020,1,2020-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.76
3375,2020,1,2020-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,16 ,aggregate,Wholesale,24.15
3525,2021,1,2021-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,0.8
3977,2021,1,2021-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,16 ,aggregate,Wholesale,253.56
3992,2021,1,2021-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,2.03
4289,2022,1,2022-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,8.93
6478,2020,2,2020-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,6.67
6479,2020,2,2020-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,16 ,aggregate,Wholesale,100.0
6495,2020,2,2020-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,10.0
6496,2020,2,2020-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,16 ,aggregate,Wholesale,80.0
7207,2021,2,2021-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,2.04
7481,2021,2,2021-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,3.61
8047,2023,2,2023-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,2.7
8048,2023,2,2023-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,16 ,aggregate,Wholesale,465.56
8093,2023,2,2023-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.81
9901,2020,3,2020-03-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,2.09
10032,2020,3,2020-03-15,Kintampo,Kintampo North,1726,8.06,-1.73,16 ,aggregate,Wholesale,28.5
10319,2020,3,2020-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,2.14
10542,2021,3,2021-03-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,2.05
10831,2021,3,2021-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,16 ,aggregate,Wholesale,147.0
10832,2021,3,2021-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,4.66
11195,2022,3,2022-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,16 ,aggregate,Wholesale,107.6
11307,2022,3,2022-03-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.89
13211,2020,4,2020-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,30.67
13222,2020,4,2020-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,16 ,aggregate,Wholesale,494.29
13299,2020,4,2020-04-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,17.67
13310,2020,4,2020-04-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,16 ,aggregate,Wholesale,406.74
13430,2020,4,2020-04-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,17.24
13431,2020,4,2020-04-15,Kintampo,Kintampo North,1726,8.06,-1.73,16 ,aggregate,Wholesale,290.91
14157,2021,4,2021-04-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.89
14213,2021,4,2021-04-15,Kintampo,Kintampo North,1726,8.06,-1.73,16 ,aggregate,Wholesale,125.96
14214,2021,4,2021-04-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,3.46
14271,2021,4,2021-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,16 ,aggregate,Wholesale,157.0
14440,2022,4,2022-04-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,4.1
14483,2022,4,2022-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,16 ,aggregate,Wholesale,80.0
14495,2022,4,2022-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,7.83
15376,2023,4,2023-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,1.08
15377,2023,4,2023-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,16 ,aggregate,Wholesale,536.82
15419,2023,4,2023-04-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,2.09
17209,2020,5,2020-05-15,Kintampo,Kintampo North,1726,8.06,-1.73,16 ,aggregate,Wholesale,200.83
17210,2020,5,2020-05-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,11.39
17234,2020,5,2020-05-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,32.9
17235,2020,5,2020-05-15,Techiman,Techiman Municipal,218,7.58,-1.93,16 ,aggregate,Wholesale,496.64
17329,2020,5,2020-05-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,11.98
17335,2020,5,2020-05-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,16 ,aggregate,Wholesale,200.06
17398,2021,5,2021-05-15,Techiman,Techiman Municipal,218,7.58,-1.93,16 ,aggregate,Wholesale,146.11
