Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3036,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,2.28
3037,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,20 ,aggregate,Wholesale,287.02
3310,2020,1,2020-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.59
3373,2020,1,2020-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,2.74
3374,2020,1,2020-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,20 ,aggregate,Wholesale,221.5
3524,2021,1,2021-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.5
3819,2021,1,2021-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,20 ,aggregate,Wholesale,256.5
3993,2021,1,2021-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,1.28
4193,2022,1,2022-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,0.99
4387,2022,1,2022-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,20 ,aggregate,Wholesale,465.34
4388,2022,1,2022-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.83
4406,2022,1,2022-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,20 ,aggregate,Wholesale,323.39
4427,2022,1,2022-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,1.81
4718,2023,1,2023-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,1.49
4721,2023,1,2023-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,20 ,aggregate,Wholesale,413.45
5195,2023,1,2023-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,20 ,aggregate,Wholesale,359.77
5196,2023,1,2023-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,2.05
6462,2020,2,2020-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,20 ,aggregate,Wholesale,397.94
6476,2020,2,2020-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,5.79
6477,2020,2,2020-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,20 ,aggregate,Wholesale,609.22
6493,2020,2,2020-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,4.55
6494,2020,2,2020-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,20 ,aggregate,Wholesale,426.52
6517,2020,2,2020-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,4.02
7205,2021,2,2021-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.18
7206,2021,2,2021-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,20 ,aggregate,Wholesale,40.18
7479,2021,2,2021-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,0.97
7480,2021,2,2021-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,20 ,aggregate,Wholesale,82.43
7756,2022,2,2022-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,5.62
7757,2022,2,2022-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,20 ,aggregate,Wholesale,292.07
7899,2022,2,2022-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,20 ,aggregate,Wholesale,338.0
7900,2022,2,2022-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,6.5
8045,2023,2,2023-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,2.77
8046,2023,2,2023-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,20 ,aggregate,Wholesale,384.0
8091,2023,2,2023-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,2.48
8092,2023,2,2023-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,20 ,aggregate,Wholesale,314.55
8286,2023,2,2023-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,3.21
8287,2023,2,2023-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,20 ,aggregate,Wholesale,318.24
9902,2020,3,2020-03-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.96
9947,2020,3,2020-03-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,2.74
10033,2020,3,2020-03-15,Kintampo,Kintampo North,1726,8.06,-1.73,20 ,aggregate,Wholesale,304.49
10273,2020,3,2020-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,2.33
10297,2020,3,2020-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,20 ,aggregate,Wholesale,246.17
10543,2021,3,2021-03-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.17
11194,2022,3,2022-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,1.75
11268,2022,3,2022-03-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,0.99
11308,2022,3,2022-03-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.17
11766,2023,3,2023-03-15,Kintampo,Kintampo North,1726,8.06,-1.73,20 ,aggregate,Wholesale,325.22
11767,2023,3,2023-03-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,1.6
11849,2023,3,2023-03-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,20 ,aggregate,Wholesale,366.97
11850,2023,3,2023-03-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,2.54
13207,2020,4,2020-04-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,13.1
13208,2020,4,2020-04-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,20 ,aggregate,Wholesale,140.99
13428,2020,4,2020-04-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,8.89
13429,2020,4,2020-04-15,Kintampo,Kintampo North,1726,8.06,-1.73,20 ,aggregate,Wholesale,162.22
14215,2021,4,2021-04-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,0.97
14261,2021,4,2021-04-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.17
14270,2021,4,2021-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,0.97
14439,2022,4,2022-04-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.83
14482,2022,4,2022-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,1.62
