Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
1958,2008,1,2008-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,50 ,actual,Wholesale,30.0
1974,2008,1,2008-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,50 ,actual,Wholesale,27.5
2033,2009,1,2009-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,50 ,actual,Wholesale,42.5
2055,2009,1,2009-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,50 ,actual,Wholesale,44.5
2105,2010,1,2010-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,50 ,actual,Wholesale,42.5
2107,2010,1,2010-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,50 ,actual,Wholesale,41.6
2194,2011,1,2011-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,50 ,actual,Wholesale,41.67
2201,2011,1,2011-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,50 ,actual,Wholesale,35.33
2316,2012,1,2012-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,50 ,actual,Wholesale,70.0
2357,2012,1,2012-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,50 ,actual,Wholesale,67.0
2370,2013,1,2013-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,50 ,actual,Wholesale,74.5
2377,2013,1,2013-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,50 ,actual,Wholesale,75.0
2532,2014,1,2014-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,50 ,actual,Wholesale,85.0
2540,2014,1,2014-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,50 ,actual,Wholesale,75.0
2617,2015,1,2015-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,50 ,actual,Wholesale,135.0
2620,2015,1,2015-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,50 ,actual,Wholesale,85.0
2719,2016,1,2016-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,50 ,actual,Wholesale,166.0
2744,2016,1,2016-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,50 ,actual,Wholesale,228.0
2796,2017,1,2017-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,50 ,actual,Wholesale,140.0
2823,2017,1,2017-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,50 ,actual,Wholesale,215.25
2893,2018,1,2018-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,50 ,actual,Wholesale,96.0
2901,2018,1,2018-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,50 ,actual,Wholesale,118.0
2951,2019,1,2019-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,50 ,actual,Wholesale,148.15
2958,2019,1,2019-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,50 ,actual,Wholesale,124.5
3234,2020,1,2020-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,50 ,"actual,aggregate",Wholesale,168.98
3282,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,50 ,"actual,aggregate",Wholesale,132.67
3304,2020,1,2020-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,3.64
3324,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,3.33
3367,2020,1,2020-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,50 ,aggregate,Wholesale,126.49
3390,2020,1,2020-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,2.85
3512,2021,1,2021-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,5.03
