Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2202,2011,1,2011-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,37.0
2356,2012,1,2012-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,52.5
2378,2013,1,2013-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,56.25
2531,2014,1,2014-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,70.0
2619,2015,1,2015-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,60.0
2685,2016,1,2016-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,130.0
5739,2011,2,2011-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,42.0
5834,2012,2,2012-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,51.25
5880,2013,2,2013-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,57.5
5943,2014,2,2014-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,65.0
6033,2015,2,2015-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,75.0
6208,2016,2,2016-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,130.0
9196,2011,3,2011-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,42.75
9301,2012,3,2012-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,45.0
9315,2013,3,2013-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,60.0
9473,2014,3,2014-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,60.0
9512,2015,3,2015-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,75.0
9679,2016,3,2016-03-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,145.0
12447,2011,4,2011-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,40.0
12633,2012,4,2012-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,52.5
12707,2013,4,2013-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,56.25
12916,2015,4,2015-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,77.5
13009,2016,4,2016-04-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,150.0
15978,2011,5,2011-05-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,47.5
16058,2012,5,2012-05-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,67.5
16178,2013,5,2013-05-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,57.75
16258,2014,5,2014-05-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,60.0
16300,2015,5,2015-05-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,98.0
16393,2016,5,2016-05-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,157.5
19326,2011,6,2011-06-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,57.25
19378,2012,6,2012-06-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,51.25
19522,2013,6,2013-06-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,56.5
19588,2014,6,2014-06-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,60.0
19738,2015,6,2015-06-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,120.0
19815,2016,6,2016-06-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,160.0
22317,2011,7,2011-07-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,62.0
22438,2012,7,2012-07-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,66.25
22492,2013,7,2013-07-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,58.75
22624,2015,7,2015-07-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,120.0
22797,2016,7,2016-07-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,160.0
25642,2010,8,2010-08-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,55.5
25745,2011,8,2011-08-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,48.0
25832,2012,8,2012-08-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,70.0
25858,2013,8,2013-08-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,70.0
26023,2015,8,2015-08-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,120.0
26050,2016,8,2016-08-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,160.0
28719,2010,9,2010-09-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,57.5
28800,2011,9,2011-09-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,48.67
28922,2012,9,2012-09-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,67.5
29040,2013,9,2013-09-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,60.0
29140,2015,9,2015-09-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,120.0
29224,2016,9,2016-09-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,160.0
31762,2010,10,2010-10-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,58.33
31887,2011,10,2011-10-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,50.0
32006,2012,10,2012-10-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,61.25
32128,2013,10,2013-10-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,62.5
32402,2015,10,2015-10-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,122.0
32477,2016,10,2016-10-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,154.0
34964,2010,11,2010-11-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,45.0
35046,2011,11,2011-11-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,61.25
35106,2012,11,2012-11-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,60.0
35273,2013,11,2013-11-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,70.0
35372,2015,11,2015-11-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,130.0
35542,2016,11,2016-11-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,130.0
38118,2010,12,2010-12-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,39.5
38254,2011,12,2011-12-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,63.5
38344,2012,12,2012-12-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,60.0
38360,2013,12,2013-12-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,70.0
38589,2015,12,2015-12-15,Techiman,Techiman Municipal,218,7.58,-1.93,84 ,actual,Wholesale,130.0
