Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
1959,2008,1,2008-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,actual,Wholesale,28.5
2054,2009,1,2009-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,actual,Wholesale,59.0
2099,2010,1,2010-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,actual,Wholesale,67.6
2203,2011,1,2011-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,actual,Wholesale,51.25
2355,2012,1,2012-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,actual,Wholesale,87.5
2379,2013,1,2013-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,actual,Wholesale,92.5
2530,2014,1,2014-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,actual,Wholesale,105.0
2618,2015,1,2015-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,actual,Wholesale,100.0
2686,2016,1,2016-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,actual,Wholesale,144.0
2841,2017,1,2017-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,actual,Wholesale,135.0
2902,2018,1,2018-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,actual,Wholesale,167.32
2959,2019,1,2019-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,actual,Wholesale,159.58
3281,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,109 ,"actual,aggregate",Wholesale,163.24
3303,2020,1,2020-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,2.69
3323,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,2.31
3388,2020,1,2020-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,1.78
3389,2020,1,2020-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,172.76
3511,2021,1,2021-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,2.8
3546,2021,1,2021-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,2.77
3547,2021,1,2021-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,109 ,aggregate,Wholesale,299.29
