date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,15,Kintampo,8.06,-1.73,24.6
2019-08-15,2019,8,15,Sunyani,7.33,-2.33,1.84
2019-08-15,2019,8,15,Techiman,7.58,-1.93,1.3
2019-09-15,2019,9,15,Kintampo,8.06,-1.73,24.6
2019-09-15,2019,9,15,Sunyani,7.33,-2.33,1.84
2019-09-15,2019,9,15,Techiman,7.58,-1.93,5.49
2019-10-15,2019,10,15,Kintampo,8.06,-1.73,20.41
2019-10-15,2019,10,15,Sunyani,7.33,-2.33,0.55
2019-10-15,2019,10,15,Techiman,7.58,-1.93,5.01
2019-11-15,2019,11,15,Kintampo,8.06,-1.73,23.76
2019-11-15,2019,11,15,Sunyani,7.33,-2.33,1.74
2019-12-15,2019,12,15,Kintampo,8.06,-1.73,17.25
2019-12-15,2019,12,15,Sunyani,7.33,-2.33,1.6
2020-01-15,2020,1,15,Kintampo,8.06,-1.73,20.82
2020-01-15,2020,1,15,Sunyani,7.33,-2.33,1.58
2020-01-15,2020,1,15,Techiman,7.58,-1.93,5.87
2020-02-15,2020,2,15,Kintampo,8.06,-1.73,0.15
2020-02-15,2020,2,15,Kintampo,8.06,-1.73,11.0
2020-02-15,2020,2,15,Sunyani,7.33,-2.33,0.11
2020-02-15,2020,2,15,Sunyani,7.33,-2.33,11.39
2020-02-15,2020,2,15,Techiman,7.58,-1.93,0.16
2020-02-15,2020,2,15,Techiman,7.58,-1.93,14.02
2020-03-15,2020,3,15,Kintampo,8.06,-1.73,20.82
2020-03-15,2020,3,15,Sunyani,7.33,-2.33,3.38
2020-03-15,2020,3,15,Techiman,7.58,-1.93,0.86
2020-04-15,2020,4,15,Kintampo,8.06,-1.73,2.22
2020-04-15,2020,4,15,Kintampo,8.06,-1.73,2.22
2020-04-15,2020,4,15,Sunyani,7.33,-2.33,2.5
2020-04-15,2020,4,15,Sunyani,7.33,-2.33,3.37
2020-04-15,2020,4,15,Techiman,7.58,-1.93,1.93
2020-04-15,2020,4,15,Techiman,7.58,-1.93,2.33
2020-05-15,2020,5,15,Kintampo,8.06,-1.73,0.77
2020-05-15,2020,5,15,Kintampo,8.06,-1.73,9.3
2020-05-15,2020,5,15,Sunyani,7.33,-2.33,0.86
2020-05-15,2020,5,15,Sunyani,7.33,-2.33,26.64
2020-05-15,2020,5,15,Techiman,7.58,-1.93,0.47
2020-05-15,2020,5,15,Techiman,7.58,-1.93,7.15
2020-06-15,2020,6,15,Kintampo,8.06,-1.73,1.19
2020-06-15,2020,6,15,Sunyani,7.33,-2.33,1.3
2020-06-15,2020,6,15,Techiman,7.58,-1.93,1.05
2020-07-15,2020,7,15,Kintampo,8.06,-1.73,0.15
2020-07-15,2020,7,15,Kintampo,8.06,-1.73,12.33
2020-07-15,2020,7,15,Sunyani,7.33,-2.33,0.11
2020-07-15,2020,7,15,Sunyani,7.33,-2.33,11.39
2020-07-15,2020,7,15,Techiman,7.58,-1.93,0.16
2020-07-15,2020,7,15,Techiman,7.58,-1.93,14.02
2020-08-15,2020,8,15,Kintampo,8.06,-1.73,0.13
2020-08-15,2020,8,15,Kintampo,8.06,-1.73,11.67
2020-08-15,2020,8,15,Sunyani,7.33,-2.33,0.13
2020-08-15,2020,8,15,Sunyani,7.33,-2.33,11.39
2020-08-15,2020,8,15,Techiman,7.58,-1.93,0.15
2020-08-15,2020,8,15,Techiman,7.58,-1.93,13.73
2020-09-15,2020,9,15,Kintampo,8.06,-1.73,0.14
2020-09-15,2020,9,15,Kintampo,8.06,-1.73,11.67
2020-09-15,2020,9,15,Sunyani,7.33,-2.33,0.14
2020-09-15,2020,9,15,Sunyani,7.33,-2.33,11.39
2020-09-15,2020,9,15,Techiman,7.58,-1.93,0.15
2020-09-15,2020,9,15,Techiman,7.58,-1.93,13.4
2020-10-15,2020,10,15,Kintampo,8.06,-1.73,2.66
2020-10-15,2020,10,15,Sunyani,7.33,-2.33,2.32
2020-10-15,2020,10,15,Techiman,7.58,-1.93,1.97
2020-11-15,2020,11,15,Kintampo,8.06,-1.73,2.66
2020-11-15,2020,11,15,Sunyani,7.33,-2.33,2.32
2020-11-15,2020,11,15,Techiman,7.58,-1.93,1.97
2020-12-15,2020,12,15,Sunyani,7.33,-2.33,2.05
2020-12-15,2020,12,15,Techiman,7.58,-1.93,2.13
2021-01-15,2021,1,15,Sunyani,7.33,-2.33,2.72
2021-01-15,2021,1,15,Sunyani,7.33,-2.33,4.39
2021-01-15,2021,1,15,Techiman,7.58,-1.93,2.03
2021-01-15,2021,1,15,Techiman,7.58,-1.93,3.33
2021-02-15,2021,2,15,Sunyani,7.33,-2.33,4.45
2021-02-15,2021,2,15,Sunyani,7.33,-2.33,10.42
2021-02-15,2021,2,15,Techiman,7.58,-1.93,4.31
2021-02-15,2021,2,15,Techiman,7.58,-1.93,4.71
2021-03-15,2021,3,15,Kintampo,8.06,-1.73,0.55
2021-03-15,2021,3,15,Kintampo,8.06,-1.73,4.63
2021-03-15,2021,3,15,Sunyani,7.33,-2.33,0.63
2021-03-15,2021,3,15,Sunyani,7.33,-2.33,4.53
2021-03-15,2021,3,15,Techiman,7.58,-1.93,0.5
2021-03-15,2021,3,15,Techiman,7.58,-1.93,4.64
2021-04-15,2021,4,15,Kintampo,8.06,-1.73,0.51
2021-04-15,2021,4,15,Kintampo,8.06,-1.73,7.28
2021-04-15,2021,4,15,Sunyani,7.33,-2.33,1.06
2021-04-15,2021,4,15,Sunyani,7.33,-2.33,7.06
2021-04-15,2021,4,15,Techiman,7.58,-1.93,0.53
2021-04-15,2021,4,15,Techiman,7.58,-1.93,8.63
2021-05-15,2021,5,15,Sunyani,7.33,-2.33,1.26
2021-05-15,2021,5,15,Sunyani,7.33,-2.33,8.16
2021-05-15,2021,5,15,Techiman,7.58,-1.93,0.76
2021-05-15,2021,5,15,Techiman,7.58,-1.93,8.97
2021-06-15,2021,6,15,Kintampo,8.06,-1.73,0.75
2021-06-15,2021,6,15,Kintampo,8.06,-1.73,2.37
2021-06-15,2021,6,15,Sunyani,7.33,-2.33,0.76
2021-06-15,2021,6,15,Sunyani,7.33,-2.33,1.83
2021-06-15,2021,6,15,Techiman,7.58,-1.93,0.71
2021-06-15,2021,6,15,Techiman,7.58,-1.93,0.94
2021-07-15,2021,7,15,Kintampo,8.06,-1.73,0.62
2021-07-15,2021,7,15,Sunyani,7.33,-2.33,0.72
2021-07-15,2021,7,15,Techiman,7.58,-1.93,0.76
2021-08-15,2021,8,15,Kintampo,8.06,-1.73,0.48
2021-08-15,2021,8,15,Sunyani,7.33,-2.33,0.72
2021-08-15,2021,8,15,Techiman,7.58,-1.93,0.63
2021-09-15,2021,9,15,Kintampo,8.06,-1.73,0.86
2021-09-15,2021,9,15,Sunyani,7.33,-2.33,0.72
2021-09-15,2021,9,15,Techiman,7.58,-1.93,0.75
2021-09-15,2021,9,15,Techiman,7.58,-1.93,9.83
2021-10-15,2021,10,15,Kintampo,8.06,-1.73,0.33
2021-10-15,2021,10,15,Sunyani,7.33,-2.33,0.57
2021-10-15,2021,10,15,Techiman,7.58,-1.93,0.37
2021-11-15,2021,11,15,Kintampo,8.06,-1.73,1.27
2021-11-15,2021,11,15,Sunyani,7.33,-2.33,0.86
2021-11-15,2021,11,15,Sunyani,7.33,-2.33,10.21
2021-11-15,2021,11,15,Techiman,7.58,-1.93,0.89
2021-12-15,2021,12,15,Kintampo,8.06,-1.73,1.11
2021-12-15,2021,12,15,Sunyani,7.33,-2.33,1.36
2021-12-15,2021,12,15,Techiman,7.58,-1.93,1.11
2022-01-15,2022,1,15,Kintampo,8.06,-1.73,0.9
2022-01-15,2022,1,15,Sunyani,7.33,-2.33,1.36
2022-01-15,2022,1,15,Sunyani,7.33,-2.33,11.37
2022-01-15,2022,1,15,Techiman,7.58,-1.93,1.05
2022-02-15,2022,2,15,Kintampo,8.06,-1.73,0.86
2022-02-15,2022,2,15,Kintampo,8.06,-1.73,3.47
2022-02-15,2022,2,15,Sunyani,7.33,-2.33,1.09
2022-02-15,2022,2,15,Sunyani,7.33,-2.33,4.41
2022-02-15,2022,2,15,Techiman,7.58,-1.93,0.97
2022-02-15,2022,2,15,Techiman,7.58,-1.93,3.9
2022-03-15,2022,3,15,Kintampo,8.06,-1.73,1.0
2022-03-15,2022,3,15,Kintampo,8.06,-1.73,7.18
2022-03-15,2022,3,15,Sunyani,7.33,-2.33,0.76
2022-03-15,2022,3,15,Sunyani,7.33,-2.33,6.99
2022-03-15,2022,3,15,Techiman,7.58,-1.93,0.88
2022-03-15,2022,3,15,Techiman,7.58,-1.93,9.34
2022-04-15,2022,4,15,Kintampo,8.06,-1.73,0.52
2022-04-15,2022,4,15,Kintampo,8.06,-1.73,6.86
2022-04-15,2022,4,15,Sunyani,7.33,-2.33,1.06
2022-04-15,2022,4,15,Sunyani,7.33,-2.33,10.44
2022-04-15,2022,4,15,Techiman,7.58,-1.93,0.49
2022-04-15,2022,4,15,Techiman,7.58,-1.93,9.63
2022-05-15,2022,5,15,Kintampo,8.06,-1.73,0.73
2022-05-15,2022,5,15,Sunyani,7.33,-2.33,0.87
2022-05-15,2022,5,15,Sunyani,7.33,-2.33,13.6
2022-05-15,2022,5,15,Techiman,7.58,-1.93,0.63
2022-06-15,2022,6,15,Kintampo,8.06,-1.73,0.6
2022-06-15,2022,6,15,Sunyani,7.33,-2.33,1.37
2022-06-15,2022,6,15,Techiman,7.58,-1.93,0.6
2022-07-15,2022,7,15,Kintampo,8.06,-1.73,1.24
2022-07-15,2022,7,15,Sunyani,7.33,-2.33,1.23
2022-07-15,2022,7,15,Techiman,7.58,-1.93,0.91
2022-08-15,2022,8,15,Sunyani,7.33,-2.33,0.72
2022-08-15,2022,8,15,Techiman,7.58,-1.93,0.95
2022-09-15,2022,9,15,Kintampo,8.06,-1.73,1.22
2022-09-15,2022,9,15,Sunyani,7.33,-2.33,1.26
