Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3029,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,1.97
3030,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,52 ,aggregate,Wholesale,12.93
3333,2020,1,2020-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.23
3334,2020,1,2020-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,52 ,aggregate,Wholesale,8.11
3340,2020,1,2020-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,1.33
3368,2020,1,2020-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,52 ,aggregate,Wholesale,16.28
3566,2021,1,2021-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,52 ,aggregate,Wholesale,5.52
3580,2021,1,2021-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.8
3641,2021,1,2021-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,52 ,aggregate,Wholesale,10.2
4006,2021,1,2021-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,2.4
4007,2021,1,2021-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,52 ,aggregate,Wholesale,14.03
4198,2022,1,2022-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,52 ,aggregate,Wholesale,26.72
4200,2022,1,2022-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,1.22
4403,2022,1,2022-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,1.19
4435,2022,1,2022-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,52 ,aggregate,Wholesale,27.3
4443,2022,1,2022-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,1.94
5167,2023,1,2023-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,52 ,aggregate,Wholesale,33.21
5168,2023,1,2023-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,2.29
6461,2020,2,2020-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,4.94
6463,2020,2,2020-02-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,52 ,aggregate,Wholesale,38.14
6470,2020,2,2020-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,1.54
6471,2020,2,2020-02-15,Kintampo,Kintampo North,1726,8.06,-1.73,52 ,aggregate,Wholesale,24.12
6575,2020,2,2020-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,1.57
6576,2020,2,2020-02-15,Techiman,Techiman Municipal,218,7.58,-1.93,52 ,aggregate,Wholesale,26.88
