Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
1960,2008,1,2008-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,100 ,actual,Wholesale,74.5
1973,2008,1,2008-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,100 ,actual,Wholesale,77.0
2034,2009,1,2009-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,100 ,actual,Wholesale,79.0
2053,2009,1,2009-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,100 ,actual,Wholesale,84.0
2097,2010,1,2010-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,100 ,actual,Wholesale,118.0
2104,2010,1,2010-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,100 ,actual,Wholesale,106.0
2195,2011,1,2011-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,100 ,actual,Wholesale,140.0
2204,2011,1,2011-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,100 ,actual,Wholesale,135.83
2325,2012,1,2012-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,100 ,actual,Wholesale,155.0
2354,2012,1,2012-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,100 ,actual,Wholesale,163.75
2371,2013,1,2013-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,100 ,actual,Wholesale,182.5
2380,2013,1,2013-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,100 ,actual,Wholesale,285.0
2505,2014,1,2014-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,100 ,actual,Wholesale,248.0
2538,2014,1,2014-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,100 ,actual,Wholesale,184.0
2643,2015,1,2015-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,100 ,actual,Wholesale,260.0
2653,2015,1,2015-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,100 ,actual,Wholesale,180.0
2687,2016,1,2016-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,100 ,actual,Wholesale,300.0
2718,2016,1,2016-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,100 ,actual,Wholesale,440.0
2795,2017,1,2017-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,100 ,actual,Wholesale,495.0
2842,2017,1,2017-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,100 ,actual,Wholesale,517.25
2894,2018,1,2018-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,100 ,actual,Wholesale,261.9
2903,2018,1,2018-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,100 ,actual,Wholesale,292.5
2952,2019,1,2019-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,100 ,actual,Wholesale,275.36
2960,2019,1,2019-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,100 ,actual,Wholesale,262.5
3253,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,100 ,actual,Wholesale,266.19
3254,2020,1,2020-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,100 ,actual,Wholesale,386.0
3301,2020,1,2020-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,12.22
3302,2020,1,2020-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,250 ,aggregate,Wholesale,492.0
3321,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,7.2
3322,2020,1,2020-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,250 ,aggregate,Wholesale,316.0
3386,2020,1,2020-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,5.54
3387,2020,1,2020-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,250 ,aggregate,Wholesale,245.0
3510,2021,1,2021-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,250 ,aggregate,Wholesale,430.04
3517,2021,1,2021-01-15,Sunyani,Sunyani Municipal,217,7.33,-2.33,,aggregate,Retail,4.62
3544,2021,1,2021-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,,aggregate,Retail,2.19
3545,2021,1,2021-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,250 ,aggregate,Wholesale,416.67
3623,2021,1,2021-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,250 ,aggregate,Wholesale,437.65
3640,2021,1,2021-01-15,Techiman,Techiman Municipal,218,7.58,-1.93,,aggregate,Retail,4.28
4142,2022,1,2022-01-15,Kintampo,Kintampo North,1726,8.06,-1.73,250 ,aggregate,Wholesale,571.88
