date,year,month,city,latitude,longitude,cedi_price/(KG)
2008-01-15,2008,1,Cape Coast,5.11,-1.24,0.43
2008-01-15,2008,1,Mankessim,5.27,-1.02,0.4
2008-02-15,2008,2,Cape Coast,5.11,-1.24,0.4
2008-02-15,2008,2,Mankessim,5.27,-1.02,0.42
2008-03-15,2008,3,Cape Coast,5.11,-1.24,0.42
2008-03-15,2008,3,Mankessim,5.27,-1.02,0.44
2008-04-15,2008,4,Cape Coast,5.11,-1.24,0.48
2008-04-15,2008,4,Mankessim,5.27,-1.02,0.53
2008-05-15,2008,5,Cape Coast,5.11,-1.24,0.57
2008-05-15,2008,5,Mankessim,5.27,-1.02,0.72
2008-06-15,2008,6,Cape Coast,5.11,-1.24,0.7
2008-06-15,2008,6,Mankessim,5.27,-1.02,0.76
2008-07-15,2008,7,Cape Coast,5.11,-1.24,0.75
2008-07-15,2008,7,Mankessim,5.27,-1.02,0.85
2008-08-15,2008,8,Cape Coast,5.11,-1.24,0.67
2008-08-15,2008,8,Mankessim,5.27,-1.02,0.79
2008-09-15,2008,9,Cape Coast,5.11,-1.24,0.42
2008-09-15,2008,9,Mankessim,5.27,-1.02,0.32
2008-10-15,2008,10,Cape Coast,5.11,-1.24,0.43
2008-10-15,2008,10,Mankessim,5.27,-1.02,0.4
2008-11-15,2008,11,Cape Coast,5.11,-1.24,0.49
2008-11-15,2008,11,Mankessim,5.27,-1.02,0.56
2008-12-15,2008,12,Cape Coast,5.11,-1.24,0.53
2008-12-15,2008,12,Mankessim,5.27,-1.02,0.68
2009-01-15,2009,1,Cape Coast,5.11,-1.24,0.66
2009-01-15,2009,1,Mankessim,5.27,-1.02,0.7
2009-02-15,2009,2,Cape Coast,5.11,-1.24,0.69
2009-02-15,2009,2,Mankessim,5.27,-1.02,0.68
2009-03-15,2009,3,Cape Coast,5.11,-1.24,0.64
2009-03-15,2009,3,Mankessim,5.27,-1.02,0.75
2009-04-15,2009,4,Cape Coast,5.11,-1.24,0.68
2009-04-15,2009,4,Mankessim,5.27,-1.02,0.76
2009-05-15,2009,5,Cape Coast,5.11,-1.24,0.75
2009-05-15,2009,5,Mankessim,5.27,-1.02,0.83
2009-06-15,2009,6,Cape Coast,5.11,-1.24,0.8
2009-06-15,2009,6,Mankessim,5.27,-1.02,0.84
2009-07-15,2009,7,Cape Coast,5.11,-1.24,0.81
2009-07-15,2009,7,Mankessim,5.27,-1.02,0.84
2009-08-15,2009,8,Cape Coast,5.11,-1.24,0.75
2009-08-15,2009,8,Mankessim,5.27,-1.02,0.83
2009-09-15,2009,9,Cape Coast,5.11,-1.24,0.48
2009-09-15,2009,9,Mankessim,5.27,-1.02,0.4
2009-10-15,2009,10,Cape Coast,5.11,-1.24,0.64
2009-10-15,2009,10,Mankessim,5.27,-1.02,0.68
2009-11-15,2009,11,Cape Coast,5.11,-1.24,0.64
2009-11-15,2009,11,Mankessim,5.27,-1.02,0.75
2009-12-15,2009,12,Cape Coast,5.11,-1.24,0.64
2009-12-15,2009,12,Mankessim,5.27,-1.02,0.75
2010-01-15,2010,1,Cape Coast,5.11,-1.24,0.66
2010-01-15,2010,1,Mankessim,5.27,-1.02,0.85
