Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
1964,2008,1,2008-01-15,Cape Coast,Cape Coast Metro,213,5.11,-1.24,50 ,actual,Wholesale,37.5
1969,2008,1,2008-01-15,Mankessim,Mfantsiman,214,5.27,-1.02,50 ,actual,Wholesale,36.5
2073,2009,1,2009-01-15,Mankessim,Mfantsiman,214,5.27,-1.02,50 ,actual,Wholesale,52.6
2077,2009,1,2009-01-15,Cape Coast,Cape Coast Metro,213,5.11,-1.24,50 ,actual,Wholesale,54.5
2093,2010,1,2010-01-15,Cape Coast,Cape Coast Metro,213,5.11,-1.24,50 ,actual,Wholesale,51.0
2109,2010,1,2010-01-15,Mankessim,Mfantsiman,214,5.27,-1.02,50 ,actual,Wholesale,60.0
2209,2011,1,2011-01-15,Cape Coast,Cape Coast Metro,213,5.11,-1.24,50 ,actual,Wholesale,50.5
2251,2011,1,2011-01-15,Mankessim,Mfantsiman,214,5.27,-1.02,50 ,actual,Wholesale,53.33
2345,2012,1,2012-01-15,Mankessim,Mfantsiman,214,5.27,-1.02,50 ,actual,Wholesale,90.5
2360,2012,1,2012-01-15,Cape Coast,Cape Coast Metro,213,5.11,-1.24,50 ,actual,Wholesale,90.0
2384,2013,1,2013-01-15,Cape Coast,Cape Coast Metro,213,5.11,-1.24,50 ,actual,Wholesale,85.0
2441,2013,1,2013-01-15,Mankessim,Mfantsiman,214,5.27,-1.02,50 ,actual,Wholesale,89.5
2471,2014,1,2014-01-15,Mankessim,Mfantsiman,214,5.27,-1.02,50 ,actual,Wholesale,87.1
2476,2014,1,2014-01-15,Cape Coast,Cape Coast Metro,213,5.11,-1.24,50 ,actual,Wholesale,94.0
2632,2015,1,2015-01-15,Mankessim,Mfantsiman,214,5.27,-1.02,50 ,actual,Wholesale,135.0
2638,2015,1,2015-01-15,Cape Coast,Cape Coast Metro,213,5.11,-1.24,50 ,actual,Wholesale,125.0
2692,2016,1,2016-01-15,Cape Coast,Cape Coast Metro,213,5.11,-1.24,50 ,actual,Wholesale,174.0
