date,year,month,city,latitude,longitude,cedi_price/(KG)
2020-02-15,2020,2,Koforidua,6.08,-0.25,2.69
2020-04-15,2020,4,Koforidua,6.08,-0.25,5.42
2020-05-15,2020,5,Koforidua,6.08,-0.25,3.17
2020-06-15,2020,6,Koforidua,6.08,-0.25,6.7
2020-07-15,2020,7,Koforidua,6.08,-0.25,2.69
2020-08-15,2020,8,Koforidua,6.08,-0.25,2.39
2020-09-15,2020,9,Koforidua,6.08,-0.25,2.31
2021-02-15,2021,2,Koforidua,6.08,-0.25,1.18
2021-03-15,2021,3,Koforidua,6.08,-0.25,4.39
2021-04-15,2021,4,Koforidua,6.08,-0.25,4.7
2021-05-15,2021,5,Koforidua,6.08,-0.25,4.7
2022-05-15,2022,5,Koforidua,6.08,-0.25,6.12
2023-02-15,2023,2,Koforidua,6.08,-0.25,11.23
2023-03-15,2023,3,Koforidua,6.08,-0.25,8.42
2023-04-15,2023,4,Koforidua,6.08,-0.25,2.22
