date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Koforidua,6.08,-0.25,0.43
2019-09-15,2019,9,Koforidua,6.08,-0.25,0.43
2019-11-15,2019,11,Koforidua,6.08,-0.25,0.91
2019-12-15,2019,12,Koforidua,6.08,-0.25,0.91
2020-01-15,2020,1,Koforidua,6.08,-0.25,0.91
2020-02-15,2020,2,Koforidua,6.08,-0.25,3.08
2020-03-15,2020,3,Koforidua,6.08,-0.25,1.11
2020-04-15,2020,4,Koforidua,6.08,-0.25,5.0
2020-05-15,2020,5,Koforidua,6.08,-0.25,4.21
2020-07-15,2020,7,Koforidua,6.08,-0.25,3.08
2020-08-15,2020,8,Koforidua,6.08,-0.25,3.08
2020-09-15,2020,9,Koforidua,6.08,-0.25,3.08
2020-10-15,2020,10,Koforidua,6.08,-0.25,1.7
2020-11-15,2020,11,Koforidua,6.08,-0.25,1.95
2020-12-15,2020,12,Koforidua,6.08,-0.25,2.54
2021-01-15,2021,1,Koforidua,6.08,-0.25,1.79
2021-06-15,2021,6,Koforidua,6.08,-0.25,2.54
2021-07-15,2021,7,Koforidua,6.08,-0.25,9.33
2021-08-15,2021,8,Koforidua,6.08,-0.25,9.33
2021-09-15,2021,9,Koforidua,6.08,-0.25,9.33
2021-11-15,2021,11,Koforidua,6.08,-0.25,6.79
2021-12-15,2021,12,Koforidua,6.08,-0.25,6.79
2022-01-15,2022,1,Koforidua,6.08,-0.25,11.0
2023-02-15,2023,2,Koforidua,6.08,-0.25,10.0
2023-03-15,2023,3,Koforidua,6.08,-0.25,15.01
2023-05-15,2023,5,Koforidua,6.08,-0.25,43.33
