Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3005,2020,1,2020-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.61
4082,2021,1,2021-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,5.6
4336,2022,1,2022-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,142.63
4337,2022,1,2022-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.84
6596,2020,2,2020-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,356.18
6597,2020,2,2020-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,5.58
7597,2021,2,2021-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,295.68
7598,2021,2,2021-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.54
8499,2023,2,2023-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,5.71
8500,2023,2,2023-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,481.51
10354,2020,3,2020-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.78
10881,2021,3,2021-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.54
10919,2021,3,2021-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,142.63
11715,2023,3,2023-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,1096.11
11716,2023,3,2023-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,6.0
13732,2020,4,2020-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,209.13
13742,2020,4,2020-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,6.25
13971,2021,4,2021-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,142.63
13972,2021,4,2021-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,5.6
15145,2023,4,2023-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,69.44
16744,2020,5,2020-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,321.37
16745,2020,5,2020-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,6.09
17388,2021,5,2021-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.54
17389,2021,5,2021-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,142.63
18154,2022,5,2022-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,142.63
18155,2022,5,2022-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.84
18805,2023,5,2023-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,75.79
18818,2023,5,2023-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,14.48
20310,2020,6,2020-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,287.44
20811,2021,6,2021-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,4.52
20812,2021,6,2021-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,142.63
21677,2023,6,2023-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,14.48
21678,2023,6,2023-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,75.79
23505,2020,7,2020-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,5.58
23506,2020,7,2020-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,356.18
24144,2021,7,2021-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,142.63
25192,2023,7,2023-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,27 ,aggregate,Wholesale,583.33
26690,2019,8,2019-08-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,3.85
27276,2020,8,2020-08-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,6.72
