Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2967,2020,1,2020-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.46
2968,2020,1,2020-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,100 ,aggregate,Wholesale,130.0
4061,2021,1,2021-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.81
4062,2021,1,2021-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,100 ,aggregate,Wholesale,146.3
4298,2022,1,2022-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,100 ,aggregate,Wholesale,326.09
4299,2022,1,2022-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,3.48
6560,2020,2,2020-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,100 ,aggregate,Wholesale,135.42
6582,2020,2,2020-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.67
7533,2021,2,2021-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.74
7552,2021,2,2021-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,100 ,aggregate,Wholesale,152.0
8541,2023,2,2023-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,100 ,aggregate,Wholesale,474.33
8542,2023,2,2023-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,5.57
10377,2020,3,2020-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.46
10378,2020,3,2020-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,100 ,aggregate,Wholesale,130.0
10890,2021,3,2021-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.74
10891,2021,3,2021-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,100 ,aggregate,Wholesale,152.0
11749,2023,3,2023-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,100 ,aggregate,Wholesale,521.74
11750,2023,3,2023-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,5.43
13516,2020,4,2020-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,100 ,aggregate,Wholesale,150.0
13681,2020,4,2020-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.67
13931,2021,4,2021-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.96
13933,2021,4,2021-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,100 ,aggregate,Wholesale,174.0
15002,2023,4,2023-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,6.11
