Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3002,2020,1,2020-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,5.0
4078,2021,1,2021-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.85
6599,2020,2,2020-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,9.3
7577,2021,2,2021-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.4
7578,2021,2,2021-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,333.33
8495,2023,2,2023-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,16.3
8496,2023,2,2023-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,452.5
10356,2020,3,2020-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,5.0
10879,2021,3,2021-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.4
13760,2020,4,2020-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,27.27
13761,2020,4,2020-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,333.33
13974,2021,4,2021-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.4
15143,2023,4,2023-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,3.28
15144,2023,4,2023-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,590.81
16748,2020,5,2020-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,333.33
16749,2020,5,2020-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,18.1
17386,2021,5,2021-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.4
18843,2023,5,2023-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,105.0
20308,2020,6,2020-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,84.21
20813,2021,6,2021-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,4.66
21674,2023,6,2023-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,105.0
23502,2020,7,2020-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,9.3
25193,2023,7,2023-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,225.81
25194,2023,7,2023-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,3.24
26689,2019,8,2019-08-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,5.0
27247,2020,8,2020-08-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,10.0
27273,2020,8,2020-08-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,333.33
29879,2019,9,2019-09-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,5.0
30081,2020,9,2020-09-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,333.33
30082,2020,9,2020-09-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,10.0
33103,2019,10,2019-10-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,5.0
33255,2020,10,2020-10-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,3.78
36218,2019,11,2019-11-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,5.0
36708,2020,11,2020-11-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,4.85
39265,2019,12,2019-12-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,16 ,aggregate,Wholesale,5.0
39796,2020,12,2020-12-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,5.0
