Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3006,2020,1,2020-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.49
4083,2021,1,2021-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,323.02
4090,2021,1,2021-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.42
4335,2022,1,2022-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,261.85
6594,2020,2,2020-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,17.0
6595,2020,2,2020-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,13.0
7595,2021,2,2021-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,478.06
7596,2021,2,2021-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,7.14
8502,2023,2,2023-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,7.24
8521,2023,2,2023-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,232.87
10920,2021,3,2021-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,5.22
10921,2021,3,2021-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,136.16
11713,2023,3,2023-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,311.61
11714,2023,3,2023-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,8.74
13725,2020,4,2020-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,3.08
13727,2020,4,2020-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,293.46
13969,2021,4,2021-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,104.74
13970,2021,4,2021-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,7.02
15146,2023,4,2023-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.0
15147,2023,4,2023-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,866.67
16742,2020,5,2020-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,100.64
16743,2020,5,2020-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,3.87
17371,2021,5,2021-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,167.58
17390,2021,5,2021-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,7.02
18153,2022,5,2022-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,209.48
20311,2020,6,2020-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,155.23
20814,2021,6,2021-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.83
20826,2021,6,2021-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,209.48
23508,2020,7,2020-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,13.0
23522,2020,7,2020-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,17.0
24137,2021,7,2021-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,261.85
25190,2023,7,2023-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,150.0
25191,2023,7,2023-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.0
27302,2020,8,2020-08-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,13.0
27303,2020,8,2020-08-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,16.22
27883,2021,8,2021-08-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,261.85
30096,2020,9,2020-09-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,16.0
30103,2020,9,2020-09-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,13.0
30904,2021,9,2021-09-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,261.85
33252,2020,10,2020-10-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.47
36214,2019,11,2019-11-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.49
36711,2020,11,2020-11-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.47
36843,2021,11,2021-11-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,209.48
39201,2019,12,2019-12-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.49
39793,2020,12,2020-12-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.47
39960,2021,12,2021-12-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,109 ,aggregate,Wholesale,261.85
