Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2994,2020,1,2020-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.52
2995,2020,1,2020-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,18.18
3923,2021,1,2021-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,24.32
3924,2021,1,2021-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.93
4445,2022,1,2022-01-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.13
6769,2020,2,2020-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,14.05
6890,2020,2,2020-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,79.92
7563,2021,2,2021-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,532.9
7564,2021,2,2021-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.93
8486,2023,2,2023-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,60.0
8501,2023,2,2023-02-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,3.37
10252,2020,3,2020-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,20.0
10286,2020,3,2020-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.47
10567,2021,3,2021-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.39
11726,2023,3,2023-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,60.0
11727,2023,3,2023-03-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,4.0
13752,2020,4,2020-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,12.5
13753,2020,4,2020-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,507.24
15135,2023,4,2023-04-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,81.82
16711,2020,5,2020-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,205.52
16739,2020,5,2020-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,9.25
17377,2021,5,2021-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.39
18162,2022,5,2022-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.13
18834,2023,5,2023-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,7.51
18835,2023,5,2023-05-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,28.61
20304,2020,6,2020-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,79.92
20714,2021,6,2021-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.93
21902,2023,6,2023-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,7.51
21917,2023,6,2023-06-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,28.61
23494,2020,7,2020-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,14.05
23495,2020,7,2020-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,79.92
24087,2021,7,2021-07-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.39
26683,2019,8,2019-08-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.52
27239,2020,8,2020-08-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,3.2
27240,2020,8,2020-08-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,52 ,aggregate,Wholesale,80.02
27840,2021,8,2021-08-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,2.39
29913,2019,9,2019-09-15,Koforidua,New Juaben Municipal,212,6.08,-0.25,,aggregate,Retail,1.52
