date,year,month,city,latitude,longitude,cedi_price/(KG)
2008-01-15,2008,1,Koforidua,6.08,-0.25,0.84
2008-02-15,2008,2,Koforidua,6.08,-0.25,0.98
2008-03-15,2008,3,Koforidua,6.08,-0.25,1.28
2008-04-15,2008,4,Koforidua,6.08,-0.25,1.38
2008-05-15,2008,5,Koforidua,6.08,-0.25,1.46
2008-06-15,2008,6,Koforidua,6.08,-0.25,1.48
2008-07-15,2008,7,Koforidua,6.08,-0.25,1.59
2008-08-15,2008,8,Koforidua,6.08,-0.25,1.15
2008-09-15,2008,9,Koforidua,6.08,-0.25,0.86
2008-10-15,2008,10,Koforidua,6.08,-0.25,0.91
2008-11-15,2008,11,Koforidua,6.08,-0.25,0.94
2008-12-15,2008,12,Koforidua,6.08,-0.25,0.91
2009-01-15,2009,1,Koforidua,6.08,-0.25,1.16
2009-02-15,2009,2,Koforidua,6.08,-0.25,1.06
2009-03-15,2009,3,Koforidua,6.08,-0.25,0.98
2009-04-15,2009,4,Koforidua,6.08,-0.25,1.15
2009-05-15,2009,5,Koforidua,6.08,-0.25,1.44
2009-06-15,2009,6,Koforidua,6.08,-0.25,1.56
2009-07-15,2009,7,Koforidua,6.08,-0.25,1.62
2009-10-15,2009,10,Koforidua,6.08,-0.25,1.27
2009-11-15,2009,11,Koforidua,6.08,-0.25,1.52
2009-12-15,2009,12,Koforidua,6.08,-0.25,1.52
2010-01-15,2010,1,Koforidua,6.08,-0.25,1.62
2010-02-15,2010,2,Koforidua,6.08,-0.25,1.47
2010-03-15,2010,3,Koforidua,6.08,-0.25,1.82
2010-04-15,2010,4,Koforidua,6.08,-0.25,2.05
2010-05-15,2010,5,Koforidua,6.08,-0.25,2.27
2010-06-15,2010,6,Koforidua,6.08,-0.25,2.94
2010-07-15,2010,7,Koforidua,6.08,-0.25,3.18
2010-08-15,2010,8,Koforidua,6.08,-0.25,1.75
2010-09-15,2010,9,Koforidua,6.08,-0.25,1.6
2010-10-15,2010,10,Koforidua,6.08,-0.25,1.4
2010-11-15,2010,11,Koforidua,6.08,-0.25,1.45
2011-01-15,2011,1,Koforidua,6.08,-0.25,1.25
2011-02-15,2011,2,Koforidua,6.08,-0.25,1.2
2011-03-15,2011,3,Koforidua,6.08,-0.25,1.5
2011-04-15,2011,4,Koforidua,6.08,-0.25,1.6
2011-08-15,2011,8,Koforidua,6.08,-0.25,1.57
2011-09-15,2011,9,Koforidua,6.08,-0.25,1.55
2011-10-15,2011,10,Koforidua,6.08,-0.25,1.6
2011-12-15,2011,12,Koforidua,6.08,-0.25,1.52
2012-01-15,2012,1,Koforidua,6.08,-0.25,1.6
2012-02-15,2012,2,Koforidua,6.08,-0.25,1.2
2012-03-15,2012,3,Koforidua,6.08,-0.25,0.8
2012-04-15,2012,4,Koforidua,6.08,-0.25,2.0
2012-05-15,2012,5,Koforidua,6.08,-0.25,1.5
2012-06-15,2012,6,Koforidua,6.08,-0.25,2.75
2012-07-15,2012,7,Koforidua,6.08,-0.25,3.0
2012-09-15,2012,9,Koforidua,6.08,-0.25,1.75
2012-10-15,2012,10,Koforidua,6.08,-0.25,1.75
2012-11-15,2012,11,Koforidua,6.08,-0.25,2.0
2012-12-15,2012,12,Koforidua,6.08,-0.25,2.32
2013-01-15,2013,1,Koforidua,6.08,-0.25,2.8
2013-02-15,2013,2,Koforidua,6.08,-0.25,2.6
2013-03-15,2013,3,Koforidua,6.08,-0.25,2.95
2013-04-15,2013,4,Koforidua,6.08,-0.25,3.2
2013-05-15,2013,5,Koforidua,6.08,-0.25,3.75
2013-06-15,2013,6,Koforidua,6.08,-0.25,4.08
2013-07-15,2013,7,Koforidua,6.08,-0.25,4.8
2013-08-15,2013,8,Koforidua,6.08,-0.25,2.43
2013-10-15,2013,10,Koforidua,6.08,-0.25,3.1
2013-11-15,2013,11,Koforidua,6.08,-0.25,2.92
2013-12-15,2013,12,Koforidua,6.08,-0.25,2.85
2014-01-15,2014,1,Koforidua,6.08,-0.25,3.1
2014-02-15,2014,2,Koforidua,6.08,-0.25,3.62
2014-03-15,2014,3,Koforidua,6.08,-0.25,4.0
2014-04-15,2014,4,Koforidua,6.08,-0.25,3.88
2014-05-15,2014,5,Koforidua,6.08,-0.25,4.24
2015-02-15,2015,2,Koforidua,6.08,-0.25,1.9
2015-03-15,2015,3,Koforidua,6.08,-0.25,2.3
2015-04-15,2015,4,Koforidua,6.08,-0.25,3.08
2015-05-15,2015,5,Koforidua,6.08,-0.25,3.5
2015-06-15,2015,6,Koforidua,6.08,-0.25,3.5
2015-07-15,2015,7,Koforidua,6.08,-0.25,4.0
2016-01-15,2016,1,Koforidua,6.08,-0.25,4.5
2016-02-15,2016,2,Koforidua,6.08,-0.25,4.5
2016-03-15,2016,3,Koforidua,6.08,-0.25,4.58
2016-04-15,2016,4,Koforidua,6.08,-0.25,5.5
2016-05-15,2016,5,Koforidua,6.08,-0.25,5.5
2016-06-15,2016,6,Koforidua,6.08,-0.25,5.82
2016-07-15,2016,7,Koforidua,6.08,-0.25,7.15
2017-03-15,2017,3,Koforidua,6.08,-0.25,4.0
2017-09-15,2017,9,Koforidua,6.08,-0.25,2.32
2017-12-15,2017,12,Koforidua,6.08,-0.25,3.5
2018-01-15,2018,1,Koforidua,6.08,-0.25,3.5
2018-02-15,2018,2,Koforidua,6.08,-0.25,3.5
2018-04-15,2018,4,Koforidua,6.08,-0.25,3.2
2018-05-15,2018,5,Koforidua,6.08,-0.25,3.2
2018-07-15,2018,7,Koforidua,6.08,-0.25,3.3
2018-08-15,2018,8,Koforidua,6.08,-0.25,3.29
2018-09-15,2018,9,Koforidua,6.08,-0.25,3.29
2019-02-15,2019,2,Koforidua,6.08,-0.25,4.35
2019-03-15,2019,3,Koforidua,6.08,-0.25,4.35
2019-06-15,2019,6,Koforidua,6.08,-0.25,4.55
2019-07-15,2019,7,Koforidua,6.08,-0.25,4.55
2020-02-15,2020,2,Koforidua,6.08,-0.25,5.0
2020-03-15,2020,3,Koforidua,6.08,-0.25,5.0
2019-08-15,2019,8,Koforidua,6.08,-0.25,1.2
2019-08-15,2019,8,Koforidua,6.08,-0.25,10.0
2019-09-15,2019,9,Koforidua,6.08,-0.25,1.2
2019-09-15,2019,9,Koforidua,6.08,-0.25,10.0
2019-10-15,2019,10,Koforidua,6.08,-0.25,1.2
2019-10-15,2019,10,Koforidua,6.08,-0.25,10.0
2019-11-15,2019,11,Koforidua,6.08,-0.25,1.2
2019-11-15,2019,11,Koforidua,6.08,-0.25,10.0
2019-12-15,2019,12,Koforidua,6.08,-0.25,1.2
2019-12-15,2019,12,Koforidua,6.08,-0.25,10.0
2020-01-15,2020,1,Koforidua,6.08,-0.25,1.04
2020-01-15,2020,1,Koforidua,6.08,-0.25,10.0
2020-02-15,2020,2,Koforidua,6.08,-0.25,2.57
2020-02-15,2020,2,Koforidua,6.08,-0.25,4.12
2020-03-15,2020,3,Koforidua,6.08,-0.25,1.04
2020-03-15,2020,3,Koforidua,6.08,-0.25,10.0
2020-04-15,2020,4,Koforidua,6.08,-0.25,2.0
2020-04-15,2020,4,Koforidua,6.08,-0.25,2.33
2020-05-15,2020,5,Koforidua,6.08,-0.25,2.0
2020-05-15,2020,5,Koforidua,6.08,-0.25,2.88
2020-06-15,2020,6,Koforidua,6.08,-0.25,2.29
2020-07-15,2020,7,Koforidua,6.08,-0.25,2.57
2020-07-15,2020,7,Koforidua,6.08,-0.25,4.12
2020-08-15,2020,8,Koforidua,6.08,-0.25,2.57
2020-10-15,2020,10,Koforidua,6.08,-0.25,1.04
2020-10-15,2020,10,Koforidua,6.08,-0.25,10.0
2020-11-15,2020,11,Koforidua,6.08,-0.25,1.74
2020-11-15,2020,11,Koforidua,6.08,-0.25,10.0
2020-12-15,2020,12,Koforidua,6.08,-0.25,1.84
2020-12-15,2020,12,Koforidua,6.08,-0.25,10.0
2021-01-15,2021,1,Koforidua,6.08,-0.25,1.8
2021-01-15,2021,1,Koforidua,6.08,-0.25,4.75
2021-02-15,2021,2,Koforidua,6.08,-0.25,1.79
2021-02-15,2021,2,Koforidua,6.08,-0.25,3.0
2021-03-15,2021,3,Koforidua,6.08,-0.25,2.12
2021-03-15,2021,3,Koforidua,6.08,-0.25,3.0
2021-04-15,2021,4,Koforidua,6.08,-0.25,3.33
2021-04-15,2021,4,Koforidua,6.08,-0.25,3.0
2021-05-15,2021,5,Koforidua,6.08,-0.25,3.33
2021-05-15,2021,5,Koforidua,6.08,-0.25,3.0
2021-06-15,2021,6,Koforidua,6.08,-0.25,3.33
2021-06-15,2021,6,Koforidua,6.08,-0.25,8.62
2021-07-15,2021,7,Koforidua,6.08,-0.25,5.2
2021-07-15,2021,7,Koforidua,6.08,-0.25,5.0
2021-08-15,2021,8,Koforidua,6.08,-0.25,5.2
2021-08-15,2021,8,Koforidua,6.08,-0.25,5.0
2023-02-15,2023,2,Koforidua,6.08,-0.25,3.23
