Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3132,2020,1,2020-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,2.11
3133,2020,1,2020-01-15,Accra,Accra Metropolis,209,5.55,-0.22,27 ,aggregate,Wholesale,12.49
3156,2020,1,2020-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,3.34
3842,2021,1,2021-01-15,Tema,Tema Metropolis,210,5.62,-0.02,27 ,aggregate,Wholesale,59.49
3843,2021,1,2021-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,7.48
3937,2021,1,2021-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,3.08
3964,2021,1,2021-01-15,Accra,Accra Metropolis,209,5.55,-0.22,27 ,aggregate,Wholesale,30.37
4628,2022,1,2022-01-15,Tema,Tema Metropolis,210,5.62,-0.02,27 ,aggregate,Wholesale,545.24
4630,2022,1,2022-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,5.66
4652,2022,1,2022-01-15,Accra,Accra Metropolis,209,5.55,-0.22,27 ,aggregate,Wholesale,156.6
4660,2022,1,2022-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,2.3
5102,2023,1,2023-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,4.04
5108,2023,1,2023-01-15,Accra,Accra Metropolis,209,5.55,-0.22,27 ,aggregate,Wholesale,156.6
5267,2023,1,2023-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,5.66
5268,2023,1,2023-01-15,Tema,Tema Metropolis,210,5.62,-0.02,27 ,aggregate,Wholesale,1107.14
6962,2020,2,2020-02-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,13.06
6963,2020,2,2020-02-15,Tema,Tema Metropolis,210,5.62,-0.02,27 ,aggregate,Wholesale,377.73
7035,2020,2,2020-02-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,2.93
7037,2020,2,2020-02-15,Accra,Accra Metropolis,209,5.55,-0.22,27 ,aggregate,Wholesale,196.81
7455,2021,2,2021-02-15,Accra,Accra Metropolis,209,5.55,-0.22,27 ,aggregate,Wholesale,53.33
7456,2021,2,2021-02-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,2.34
7489,2021,2,2021-02-15,Tema,Tema Metropolis,210,5.62,-0.02,27 ,aggregate,Wholesale,389.33
7490,2021,2,2021-02-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,8.1
7924,2022,2,2022-02-15,Tema,Tema Metropolis,210,5.62,-0.02,27 ,aggregate,Wholesale,738.1
8014,2022,2,2022-02-15,Accra,Accra Metropolis,209,5.55,-0.22,27 ,aggregate,Wholesale,156.6
