Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3069,2020,1,2020-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,177.78
3070,2020,1,2020-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,2.4
3931,2021,1,2021-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,231.78
3932,2021,1,2021-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,2.92
3938,2021,1,2021-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,2.98
4345,2022,1,2022-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,344.44
4346,2022,1,2022-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,4.5
4612,2022,1,2022-01-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,aggregate,Wholesale,460.0
4613,2022,1,2022-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,5.63
5113,2023,1,2023-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,400.0
5114,2023,1,2023-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,7.5
5156,2023,1,2023-01-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,aggregate,Wholesale,820.0
5157,2023,1,2023-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,9.24
6977,2020,2,2020-02-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,2.69
7013,2020,2,2020-02-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,2.66
7014,2020,2,2020-02-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,191.0
7429,2021,2,2021-02-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,3.14
7571,2021,2,2021-02-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,202.22
7572,2021,2,2021-02-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,2.73
7880,2022,2,2022-02-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,335.56
7881,2022,2,2022-02-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,3.36
7941,2022,2,2022-02-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,5.2
7969,2022,2,2022-02-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,aggregate,Wholesale,520.0
8516,2023,2,2023-02-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,7.47
8517,2023,2,2023-02-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,600.0
8624,2023,2,2023-02-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,11.12
8625,2023,2,2023-02-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,aggregate,Wholesale,917.93
10129,2020,3,2020-03-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,2.47
10130,2020,3,2020-03-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,175.56
10479,2021,3,2021-03-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,3.28
10592,2021,3,2021-03-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,242.0
10599,2021,3,2021-03-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,2.59
10959,2022,3,2022-03-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,aggregate,Wholesale,620.0
10982,2022,3,2022-03-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,7.97
10988,2022,3,2022-03-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,4.5
10989,2022,3,2022-03-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,433.33
11860,2023,3,2023-03-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,600.0
12049,2023,3,2023-03-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,7.5
12103,2023,3,2023-03-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,9.24
12105,2023,3,2023-03-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,aggregate,Wholesale,820.0
13724,2020,4,2020-04-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,2.73
13745,2020,4,2020-04-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,181.82
13805,2020,4,2020-04-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,2.54
13856,2021,4,2021-04-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,3.28
13965,2021,4,2021-04-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,3.37
13966,2021,4,2021-04-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,297.78
14505,2022,4,2022-04-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,6.0
14506,2022,4,2022-04-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,462.22
14702,2022,4,2022-04-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,7.85
14703,2022,4,2022-04-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,aggregate,Wholesale,620.0
15117,2023,4,2023-04-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,aggregate,Wholesale,820.0
15118,2023,4,2023-04-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,9.24
15175,2023,4,2023-04-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,7.5
15176,2023,4,2023-04-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,600.0
16733,2020,5,2020-05-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,2.97
16734,2020,5,2020-05-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,188.89
16997,2020,5,2020-05-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,2.52
17370,2021,5,2021-05-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,297.78
17384,2021,5,2021-05-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,3.51
17830,2022,5,2022-05-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,8.1
17868,2022,5,2022-05-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,aggregate,Wholesale,670.0
18104,2022,5,2022-05-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,aggregate,Wholesale,511.11
