date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,15,Accra,5.55,-0.22,2.22
2019-08-15,2019,8,15,Accra,5.55,-0.22,5.94
2019-08-15,2019,8,15,Tema,5.62,-0.02,2.29
2019-08-15,2019,8,15,Tema,5.62,-0.02,5.56
2019-09-15,2019,9,15,Accra,5.55,-0.22,2.23
2019-09-15,2019,9,15,Accra,5.55,-0.22,5.65
2019-09-15,2019,9,15,Tema,5.62,-0.02,2.26
2019-09-15,2019,9,15,Tema,5.62,-0.02,5.56
2019-10-15,2019,10,15,Accra,5.55,-0.22,2.23
2019-10-15,2019,10,15,Accra,5.55,-0.22,5.61
2019-10-15,2019,10,15,Tema,5.62,-0.02,2.26
2019-10-15,2019,10,15,Tema,5.62,-0.02,5.56
2019-11-15,2019,11,15,Accra,5.55,-0.22,1.92
2019-11-15,2019,11,15,Accra,5.55,-0.22,5.61
2019-11-15,2019,11,15,Tema,5.62,-0.02,1.78
2019-11-15,2019,11,15,Tema,5.62,-0.02,5.0
2019-12-15,2019,12,15,Accra,5.55,-0.22,1.92
2019-12-15,2019,12,15,Accra,5.55,-0.22,5.61
2019-12-15,2019,12,15,Tema,5.62,-0.02,1.78
2019-12-15,2019,12,15,Tema,5.62,-0.02,4.41
2020-01-15,2020,1,15,Accra,5.55,-0.22,1.92
2020-01-15,2020,1,15,Accra,5.55,-0.22,5.61
2020-01-15,2020,1,15,Tema,5.62,-0.02,2.07
2020-01-15,2020,1,15,Tema,5.62,-0.02,4.33
2020-02-15,2020,2,15,Accra,5.55,-0.22,12.71
2020-02-15,2020,2,15,Accra,5.55,-0.22,17.5
2020-03-15,2020,3,15,Accra,5.55,-0.22,1.92
2020-03-15,2020,3,15,Accra,5.55,-0.22,5.61
2020-03-15,2020,3,15,Tema,5.62,-0.02,3.45
2020-03-15,2020,3,15,Tema,5.62,-0.02,7.0
2020-04-15,2020,4,15,Accra,5.55,-0.22,31.37
2020-04-15,2020,4,15,Accra,5.55,-0.22,42.86
2020-04-15,2020,4,15,Tema,5.62,-0.02,30.56
2020-05-15,2020,5,15,Accra,5.55,-0.22,15.96
2020-05-15,2020,5,15,Accra,5.55,-0.22,38.79
2020-05-15,2020,5,15,Tema,5.62,-0.02,32.5
2020-06-15,2020,6,15,Accra,5.55,-0.22,21.9
2020-06-15,2020,6,15,Tema,5.62,-0.02,17.17
2020-07-15,2020,7,15,Accra,5.55,-0.22,12.71
2020-07-15,2020,7,15,Accra,5.55,-0.22,17.5
2020-08-15,2020,8,15,Accra,5.55,-0.22,12.71
2020-08-15,2020,8,15,Accra,5.55,-0.22,17.5
2020-09-15,2020,9,15,Accra,5.55,-0.22,13.03
2020-09-15,2020,9,15,Accra,5.55,-0.22,17.5
2020-10-15,2020,10,15,Accra,5.55,-0.22,2.44
2020-10-15,2020,10,15,Accra,5.55,-0.22,2.5
2020-10-15,2020,10,15,Tema,5.62,-0.02,4.28
2020-11-15,2020,11,15,Accra,5.55,-0.22,2.55
2020-11-15,2020,11,15,Accra,5.55,-0.22,2.46
2020-11-15,2020,11,15,Tema,5.62,-0.02,3.14
2020-12-15,2020,12,15,Accra,5.55,-0.22,2.21
2020-12-15,2020,12,15,Accra,5.55,-0.22,2.46
2020-12-15,2020,12,15,Tema,5.62,-0.02,3.51
2021-01-15,2021,1,15,Accra,5.55,-0.22,2.21
2021-01-15,2021,1,15,Accra,5.55,-0.22,3.22
2021-01-15,2021,1,15,Tema,5.62,-0.02,3.51
2021-01-15,2021,1,15,Tema,5.62,-0.02,4.67
2021-02-15,2021,2,15,Accra,5.55,-0.22,12.72
2021-02-15,2021,2,15,Accra,5.55,-0.22,2.76
2021-02-15,2021,2,15,Tema,5.62,-0.02,3.16
2021-03-15,2021,3,15,Accra,5.55,-0.22,2.12
2021-03-15,2021,3,15,Tema,5.62,-0.02,2.18
2021-04-15,2021,4,15,Accra,5.55,-0.22,2.1
2021-05-15,2021,5,15,Accra,5.55,-0.22,2.1
2021-06-15,2021,6,15,Accra,5.55,-0.22,1.96
2021-06-15,2021,6,15,Tema,5.62,-0.02,13.89
2021-07-15,2021,7,15,Accra,5.55,-0.22,3.2
2021-07-15,2021,7,15,Tema,5.62,-0.02,13.89
2021-08-15,2021,8,15,Accra,5.55,-0.22,3.32
2021-08-15,2021,8,15,Tema,5.62,-0.02,13.22
2021-09-15,2021,9,15,Accra,5.55,-0.22,3.41
2021-10-15,2021,10,15,Accra,5.55,-0.22,3.75
2021-11-15,2021,11,15,Accra,5.55,-0.22,3.75
2021-11-15,2021,11,15,Tema,5.62,-0.02,10.37
2021-12-15,2021,12,15,Accra,5.55,-0.22,4.42
2021-12-15,2021,12,15,Tema,5.62,-0.02,6.67
2022-01-15,2022,1,15,Accra,5.55,-0.22,4.42
2022-01-15,2022,1,15,Tema,5.62,-0.02,10.95
2022-02-15,2022,2,15,Tema,5.62,-0.02,8.83
2022-03-15,2022,3,15,Accra,5.55,-0.22,3.6
2022-03-15,2022,3,15,Tema,5.62,-0.02,10.48
2022-04-15,2022,4,15,Accra,5.55,-0.22,4.74
2022-04-15,2022,4,15,Tema,5.62,-0.02,13.69
2022-05-15,2022,5,15,Accra,5.55,-0.22,5.14
2022-05-15,2022,5,15,Tema,5.62,-0.02,16.43
2022-06-15,2022,6,15,Accra,5.55,-0.22,5.52
2022-06-15,2022,6,15,Tema,5.62,-0.02,9.58
