date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Accra,5.55,-0.22,7.64
2019-08-15,2019,8,Accra,5.55,-0.22,3.21
2019-08-15,2019,8,Tema,5.62,-0.02,15.42
2019-08-15,2019,8,Tema,5.62,-0.02,4.11
2019-09-15,2019,9,Accra,5.55,-0.22,7.64
2019-09-15,2019,9,Accra,5.55,-0.22,2.6
2019-09-15,2019,9,Tema,5.62,-0.02,14.56
2019-09-15,2019,9,Tema,5.62,-0.02,4.11
2019-10-15,2019,10,Accra,5.55,-0.22,7.64
2019-10-15,2019,10,Accra,5.55,-0.22,2.5
2019-10-15,2019,10,Tema,5.62,-0.02,14.44
2019-11-15,2019,11,Accra,5.55,-0.22,8.06
2019-11-15,2019,11,Accra,5.55,-0.22,2.5
2019-11-15,2019,11,Tema,5.62,-0.02,14.44
2019-12-15,2019,12,Accra,5.55,-0.22,8.34
2019-12-15,2019,12,Accra,5.55,-0.22,2.5
2019-12-15,2019,12,Tema,5.62,-0.02,14.94
2020-01-15,2020,1,Accra,5.55,-0.22,8.39
2020-01-15,2020,1,Accra,5.55,-0.22,2.5
2020-01-15,2020,1,Tema,5.62,-0.02,14.84
2020-02-15,2020,2,Accra,5.55,-0.22,19.0
2020-02-15,2020,2,Accra,5.55,-0.22,7.21
2020-02-15,2020,2,Tema,5.62,-0.02,30.85
2020-02-15,2020,2,Tema,5.62,-0.02,9.17
2020-03-15,2020,3,Accra,5.55,-0.22,7.93
2020-03-15,2020,3,Accra,5.55,-0.22,2.5
2020-03-15,2020,3,Tema,5.62,-0.02,18.78
2020-04-15,2020,4,Accra,5.55,-0.22,10.17
2020-04-15,2020,4,Accra,5.55,-0.22,10.37
2020-05-15,2020,5,Accra,5.55,-0.22,17.44
2020-05-15,2020,5,Accra,5.55,-0.22,12.0
2020-05-15,2020,5,Tema,5.62,-0.02,36.01
2020-05-15,2020,5,Tema,5.62,-0.02,9.17
2020-06-15,2020,6,Accra,5.55,-0.22,14.59
2020-06-15,2020,6,Tema,5.62,-0.02,29.13
2020-07-15,2020,7,Accra,5.55,-0.22,19.0
2020-07-15,2020,7,Accra,5.55,-0.22,7.21
2020-07-15,2020,7,Tema,5.62,-0.02,30.85
2020-07-15,2020,7,Tema,5.62,-0.02,9.17
2020-08-15,2020,8,Accra,5.55,-0.22,19.0
2020-08-15,2020,8,Accra,5.55,-0.22,7.31
2020-08-15,2020,8,Tema,5.62,-0.02,33.38
2020-08-15,2020,8,Tema,5.62,-0.02,16.94
2020-09-15,2020,9,Accra,5.55,-0.22,19.0
2020-09-15,2020,9,Accra,5.55,-0.22,7.31
2020-09-15,2020,9,Tema,5.62,-0.02,32.71
2020-09-15,2020,9,Tema,5.62,-0.02,16.94
2020-10-15,2020,10,Accra,5.55,-0.22,9.32
2020-10-15,2020,10,Accra,5.55,-0.22,3.63
2020-10-15,2020,10,Tema,5.62,-0.02,13.58
2020-10-15,2020,10,Tema,5.62,-0.02,5.22
2020-11-15,2020,11,Accra,5.55,-0.22,9.32
2020-11-15,2020,11,Accra,5.55,-0.22,3.55
2020-11-15,2020,11,Tema,5.62,-0.02,12.71
2020-11-15,2020,11,Tema,5.62,-0.02,5.22
2020-12-15,2020,12,Accra,5.55,-0.22,9.31
2020-12-15,2020,12,Accra,5.55,-0.22,3.54
2020-12-15,2020,12,Tema,5.62,-0.02,13.22
2020-12-15,2020,12,Tema,5.62,-0.02,5.22
2021-01-15,2021,1,Accra,5.55,-0.22,9.31
2021-01-15,2021,1,Accra,5.55,-0.22,2.36
2021-01-15,2021,1,Tema,5.62,-0.02,13.22
2021-01-15,2021,1,Tema,5.62,-0.02,7.24
2021-02-15,2021,2,Accra,5.55,-0.22,2.29
2021-02-15,2021,2,Tema,5.62,-0.02,5.42
2021-03-15,2021,3,Accra,5.55,-0.22,8.35
2021-03-15,2021,3,Accra,5.55,-0.22,2.29
2021-03-15,2021,3,Tema,5.62,-0.02,6.53
2021-04-15,2021,4,Accra,5.55,-0.22,8.35
2021-04-15,2021,4,Accra,5.55,-0.22,2.29
2021-04-15,2021,4,Tema,5.62,-0.02,6.53
2021-05-15,2021,5,Accra,5.55,-0.22,8.35
2021-05-15,2021,5,Accra,5.55,-0.22,2.29
2021-06-15,2021,6,Accra,5.55,-0.22,19.82
2021-06-15,2021,6,Accra,5.55,-0.22,2.55
2021-06-15,2021,6,Tema,5.62,-0.02,33.77
2021-07-15,2021,7,Accra,5.55,-0.22,19.82
2021-07-15,2021,7,Accra,5.55,-0.22,2.71
2021-07-15,2021,7,Tema,5.62,-0.02,29.16
2021-07-15,2021,7,Tema,5.62,-0.02,5.83
2021-08-15,2021,8,Accra,5.55,-0.22,17.95
2021-08-15,2021,8,Accra,5.55,-0.22,2.71
2021-08-15,2021,8,Tema,5.62,-0.02,36.46
2021-08-15,2021,8,Tema,5.62,-0.02,5.83
2021-09-15,2021,9,Accra,5.55,-0.22,19.2
2021-09-15,2021,9,Accra,5.55,-0.22,2.5
