date,year,month,city,latitude,longitude,cedi_price/(KG)
2007-07-15,2007,7,Accra,5.55,-0.22,0.34
2007-08-15,2007,8,Accra,5.55,-0.22,0.33
2007-09-15,2007,9,Accra,5.55,-0.22,0.31
2007-10-15,2007,10,Accra,5.55,-0.22,0.33
2007-11-15,2007,11,Accra,5.55,-0.22,0.35
2007-12-15,2007,12,Accra,5.55,-0.22,0.37
2008-01-15,2008,1,Accra,5.55,-0.22,0.4
2008-02-15,2008,2,Accra,5.55,-0.22,0.43
2008-03-15,2008,3,Accra,5.55,-0.22,0.46
2008-04-15,2008,4,Accra,5.55,-0.22,0.45
2008-05-15,2008,5,Accra,5.55,-0.22,0.47
2008-06-15,2008,6,Accra,5.55,-0.22,0.64
2008-07-15,2008,7,Accra,5.55,-0.22,0.67
2008-08-15,2008,8,Accra,5.55,-0.22,0.67
2008-09-15,2008,9,Accra,5.55,-0.22,0.71
2008-10-15,2008,10,Accra,5.55,-0.22,0.75
2008-11-15,2008,11,Accra,5.55,-0.22,0.78
2008-12-15,2008,12,Accra,5.55,-0.22,0.75
2009-01-15,2009,1,Accra,5.55,-0.22,0.71
2009-02-15,2009,2,Accra,5.55,-0.22,0.67
2009-03-15,2009,3,Accra,5.55,-0.22,0.66
2009-04-15,2009,4,Accra,5.55,-0.22,0.65
2009-05-15,2009,5,Accra,5.55,-0.22,0.72
2009-06-15,2009,6,Accra,5.55,-0.22,0.74
2009-07-15,2009,7,Accra,5.55,-0.22,0.77
2009-08-15,2009,8,Accra,5.55,-0.22,0.76
2009-09-15,2009,9,Accra,5.55,-0.22,0.78
2009-10-15,2009,10,Accra,5.55,-0.22,0.78
2009-11-15,2009,11,Accra,5.55,-0.22,0.78
2009-12-15,2009,12,Accra,5.55,-0.22,0.82
2010-01-15,2010,1,Accra,5.55,-0.22,0.82
2010-02-15,2010,2,Accra,5.55,-0.22,0.79
2010-03-15,2010,3,Accra,5.55,-0.22,0.81
2010-04-15,2010,4,Accra,5.55,-0.22,0.8
2010-05-15,2010,5,Accra,5.55,-0.22,0.81
2010-06-15,2010,6,Accra,5.55,-0.22,0.78
2010-07-15,2010,7,Accra,5.55,-0.22,0.8
2010-08-15,2010,8,Accra,5.55,-0.22,0.76
2010-09-15,2010,9,Accra,5.55,-0.22,0.75
2010-10-15,2010,10,Accra,5.55,-0.22,0.76
2010-11-15,2010,11,Accra,5.55,-0.22,0.75
