date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Accra,5.55,-0.22,1.05
2019-08-15,2019,8,Tema,5.62,-0.02,2.19
2019-09-15,2019,9,Accra,5.55,-0.22,1.05
2019-09-15,2019,9,Tema,5.62,-0.02,2.41
2019-10-15,2019,10,Accra,5.55,-0.22,1.05
2019-10-15,2019,10,Tema,5.62,-0.02,2.44
2019-11-15,2019,11,Accra,5.55,-0.22,2.46
2019-11-15,2019,11,Tema,5.62,-0.02,2.44
2019-12-15,2019,12,Accra,5.55,-0.22,2.46
2019-12-15,2019,12,Tema,5.62,-0.02,2.44
2020-01-15,2020,1,Accra,5.55,-0.22,2.16
2020-01-15,2020,1,Tema,5.62,-0.02,2.44
2020-02-15,2020,2,Accra,5.55,-0.22,0.15
2020-02-15,2020,2,Accra,5.55,-0.22,11.67
2020-02-15,2020,2,Tema,5.62,-0.02,0.18
2020-02-15,2020,2,Tema,5.62,-0.02,12.0
2020-03-15,2020,3,Accra,5.55,-0.22,2.75
2020-03-15,2020,3,Tema,5.62,-0.02,2.48
2020-04-15,2020,4,Accra,5.55,-0.22,2.57
2020-04-15,2020,4,Accra,5.55,-0.22,4.15
2020-04-15,2020,4,Tema,5.62,-0.02,5.78
2020-05-15,2020,5,Accra,5.55,-0.22,0.57
2020-05-15,2020,5,Accra,5.55,-0.22,6.36
2020-05-15,2020,5,Tema,5.62,-0.02,0.18
2020-05-15,2020,5,Tema,5.62,-0.02,10.26
2020-06-15,2020,6,Accra,5.55,-0.22,1.36
2020-06-15,2020,6,Tema,5.62,-0.02,1.79
2020-07-15,2020,7,Accra,5.55,-0.22,0.15
2020-07-15,2020,7,Accra,5.55,-0.22,11.67
2020-07-15,2020,7,Tema,5.62,-0.02,0.18
2020-07-15,2020,7,Tema,5.62,-0.02,12.0
2020-08-15,2020,8,Accra,5.55,-0.22,0.16
2020-08-15,2020,8,Accra,5.55,-0.22,10.33
2020-08-15,2020,8,Tema,5.62,-0.02,0.18
2020-08-15,2020,8,Tema,5.62,-0.02,12.0
2020-09-15,2020,9,Accra,5.55,-0.22,0.28
2020-09-15,2020,9,Accra,5.55,-0.22,10.33
2020-09-15,2020,9,Tema,5.62,-0.02,0.18
2020-09-15,2020,9,Tema,5.62,-0.02,12.0
2020-10-15,2020,10,Accra,5.55,-0.22,1.26
2020-10-15,2020,10,Tema,5.62,-0.02,5.93
2020-11-15,2020,11,Accra,5.55,-0.22,1.34
2020-11-15,2020,11,Tema,5.62,-0.02,5.93
2020-12-15,2020,12,Accra,5.55,-0.22,1.35
2020-12-15,2020,12,Tema,5.62,-0.02,5.93
2021-01-15,2021,1,Accra,5.55,-0.22,2.44
2021-01-15,2021,1,Accra,5.55,-0.22,2.34
2021-01-15,2021,1,Tema,5.62,-0.02,2.56
2021-01-15,2021,1,Tema,5.62,-0.02,3.99
2021-02-15,2021,2,Accra,5.55,-0.22,5.05
2021-02-15,2021,2,Accra,5.55,-0.22,9.32
2021-02-15,2021,2,Tema,5.62,-0.02,6.45
2021-02-15,2021,2,Tema,5.62,-0.02,18.06
2021-03-15,2021,3,Accra,5.55,-0.22,0.93
2021-03-15,2021,3,Accra,5.55,-0.22,4.8
2021-03-15,2021,3,Tema,5.62,-0.02,3.05
2021-03-15,2021,3,Tema,5.62,-0.02,22.22
2021-04-15,2021,4,Accra,5.55,-0.22,1.07
2021-04-15,2021,4,Accra,5.55,-0.22,8.5
2021-04-15,2021,4,Tema,5.62,-0.02,2.72
2021-04-15,2021,4,Tema,5.62,-0.02,15.28
2021-05-15,2021,5,Accra,5.55,-0.22,1.16
2021-05-15,2021,5,Accra,5.55,-0.22,7.5
2021-05-15,2021,5,Tema,5.62,-0.02,9.81
2021-06-15,2021,6,Accra,5.55,-0.22,1.48
2021-06-15,2021,6,Accra,5.55,-0.22,2.37
2021-06-15,2021,6,Tema,5.62,-0.02,3.47
2021-06-15,2021,6,Tema,5.62,-0.02,10.0
2021-07-15,2021,7,Accra,5.55,-0.22,1.23
2021-07-15,2021,7,Accra,5.55,-0.22,11.77
2021-07-15,2021,7,Tema,5.62,-0.02,1.88
