Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3092,2020,1,2020-01-15,Tema,Tema Metropolis,210,5.62,-0.02,52 ,aggregate,Wholesale,7.69
3174,2020,1,2020-01-15,Accra,Accra Metropolis,209,5.55,-0.22,52 ,aggregate,Wholesale,19.97
3839,2021,1,2021-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,6.9
3855,2021,1,2021-01-15,Tema,Tema Metropolis,210,5.62,-0.02,52 ,aggregate,Wholesale,69.77
3969,2021,1,2021-01-15,Accra,Accra Metropolis,209,5.55,-0.22,52 ,aggregate,Wholesale,14.85
3970,2021,1,2021-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,3.31
4605,2022,1,2022-01-15,Accra,Accra Metropolis,209,5.55,-0.22,52 ,aggregate,Wholesale,52.25
4606,2022,1,2022-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,3.2
4697,2022,1,2022-01-15,Tema,Tema Metropolis,210,5.62,-0.02,52 ,aggregate,Wholesale,92.8
4704,2022,1,2022-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,7.11
5036,2023,1,2023-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,8.89
5091,2023,1,2023-01-15,Tema,Tema Metropolis,210,5.62,-0.02,52 ,aggregate,Wholesale,122.47
5149,2023,1,2023-01-15,Accra,Accra Metropolis,209,5.55,-0.22,52 ,aggregate,Wholesale,49.93
5150,2023,1,2023-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,3.63
6994,2020,2,2020-02-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,8.89
6995,2020,2,2020-02-15,Tema,Tema Metropolis,210,5.62,-0.02,52 ,aggregate,Wholesale,86.2
7003,2020,2,2020-02-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,3.73
7023,2020,2,2020-02-15,Accra,Accra Metropolis,209,5.55,-0.22,52 ,aggregate,Wholesale,85.62
7422,2021,2,2021-02-15,Accra,Accra Metropolis,209,5.55,-0.22,52 ,aggregate,Wholesale,224.64
7423,2021,2,2021-02-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,4.02
