Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3142,2020,1,2020-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,5.07
3143,2020,1,2020-01-15,Accra,Accra Metropolis,209,5.55,-0.22,250 ,aggregate,Wholesale,193.33
3904,2021,1,2021-01-15,Accra,Accra Metropolis,209,5.55,-0.22,250 ,aggregate,Wholesale,360.69
3905,2021,1,2021-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,4.15
3947,2021,1,2021-01-15,Tema,Tema Metropolis,210,5.62,-0.02,250 ,aggregate,Wholesale,553.93
3948,2021,1,2021-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,4.32
4353,2022,1,2022-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,5.38
4354,2022,1,2022-01-15,Accra,Accra Metropolis,209,5.55,-0.22,250 ,aggregate,Wholesale,606.03
4618,2022,1,2022-01-15,Tema,Tema Metropolis,210,5.62,-0.02,250 ,aggregate,Wholesale,2483.66
4619,2022,1,2022-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,15.02
5111,2023,1,2023-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,3.85
5125,2023,1,2023-01-15,Accra,Accra Metropolis,209,5.55,-0.22,250 ,aggregate,Wholesale,701.18
5147,2023,1,2023-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,13.65
5162,2023,1,2023-01-15,Tema,Tema Metropolis,210,5.62,-0.02,250 ,aggregate,Wholesale,2980.39
6969,2020,2,2020-02-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,3.81
6970,2020,2,2020-02-15,Tema,Tema Metropolis,210,5.62,-0.02,250 ,aggregate,Wholesale,886.35
7006,2020,2,2020-02-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,3.78
7007,2020,2,2020-02-15,Accra,Accra Metropolis,209,5.55,-0.22,250 ,aggregate,Wholesale,442.37
7434,2021,2,2021-02-15,Tema,Tema Metropolis,210,5.62,-0.02,250 ,aggregate,Wholesale,537.8
7435,2021,2,2021-02-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,4.32
7445,2021,2,2021-02-15,Accra,Accra Metropolis,209,5.55,-0.22,250 ,aggregate,Wholesale,440.98
7446,2021,2,2021-02-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,3.51
7918,2022,2,2022-02-15,Accra,Accra Metropolis,209,5.55,-0.22,250 ,aggregate,Wholesale,606.03
7919,2022,2,2022-02-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,2.42
7934,2022,2,2022-02-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,9.93
7935,2022,2,2022-02-15,Tema,Tema Metropolis,210,5.62,-0.02,250 ,aggregate,Wholesale,2483.66
