Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
1930,2008,1,2008-01-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,actual,Wholesale,69.0
1944,2008,1,2008-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,70.0
1996,2009,1,2009-01-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,actual,Wholesale,218.0
2039,2009,1,2009-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,102.6
2116,2010,1,2010-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,122.6
2136,2010,1,2010-01-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,actual,Wholesale,245.0
2232,2011,1,2011-01-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,actual,Wholesale,175.0
2249,2011,1,2011-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,133.5
2283,2012,1,2012-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,199.25
2420,2013,1,2013-01-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,actual,Wholesale,425.0
2448,2013,1,2013-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,331.25
2469,2014,1,2014-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,264.0
2501,2014,1,2014-01-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,actual,Wholesale,230.0
2564,2015,1,2015-01-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,actual,Wholesale,10.0
2569,2015,1,2015-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,348.0
2697,2016,1,2016-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,420.0
2838,2017,1,2017-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,485.0
2853,2018,1,2018-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,275.0
2922,2019,1,2019-01-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,actual,Wholesale,677.5
2928,2019,1,2019-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,311.9
3144,2020,1,2020-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,6.0
3145,2020,1,2020-01-15,Accra,Accra Metropolis,209,5.55,-0.22,250 ,aggregate,Wholesale,243.33
3162,2020,1,2020-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,9.72
3163,2020,1,2020-01-15,Tema,Tema Metropolis,210,5.62,-0.02,250 ,aggregate,Wholesale,239.0
3250,2020,1,2020-01-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,495.49
3902,2021,1,2021-01-15,Accra,Accra Metropolis,209,5.55,-0.22,250 ,aggregate,Wholesale,367.86
3903,2021,1,2021-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,3.93
3945,2021,1,2021-01-15,Tema,Tema Metropolis,210,5.62,-0.02,250 ,aggregate,Wholesale,452.0
3946,2021,1,2021-01-15,Tema,Tema Metropolis,210,5.62,-0.02,,aggregate,Retail,11.11
4356,2022,1,2022-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,5.99
4364,2022,1,2022-01-15,Accra,Accra Metropolis,209,5.55,-0.22,250 ,aggregate,Wholesale,804.62
5123,2023,1,2023-01-15,Accra,Accra Metropolis,209,5.55,-0.22,250 ,aggregate,Wholesale,856.07
5124,2023,1,2023-01-15,Accra,Accra Metropolis,209,5.55,-0.22,,aggregate,Retail,4.31
5393,2008,2,2008-02-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,actual,Wholesale,130.0
5397,2008,2,2008-02-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,80.41
5472,2009,2,2009-02-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,actual,Wholesale,192.5
5476,2009,2,2009-02-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,110.0
5564,2010,2,2010-02-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,actual,Wholesale,208.75
5568,2010,2,2010-02-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,145.0
5660,2011,2,2011-02-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,actual,Wholesale,180.0
5665,2011,2,2011-02-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,136.0
5755,2012,2,2012-02-15,Tema,Tema Metropolis,210,5.62,-0.02,100 ,actual,Wholesale,212.5
5760,2012,2,2012-02-15,Accra,Accra Metropolis,209,5.55,-0.22,100 ,actual,Wholesale,210.0
