Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
1928,2008,1,2008-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,16.0
2012,2009,1,2009-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,13.8
2168,2010,1,2010-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,32.8
2234,2011,1,2011-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,38.67
2277,2012,1,2012-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,60.0
2422,2013,1,2013-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,58.0
2499,2014,1,2014-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,49.0
2563,2015,1,2015-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,60.0
2659,2016,1,2016-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,74.0
2776,2017,1,2017-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,150.0
3091,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,1.4
3110,2020,1,2020-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,1.41
3265,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,"actual,aggregate",Wholesale,225.25
3689,2021,1,2021-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,1.28
3837,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.36
3838,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,aggregate,Wholesale,232.14
4698,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,aggregate,Wholesale,225.33
4699,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.83
4950,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,4.83
4951,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,aggregate,Wholesale,297.27
5400,2008,2,2008-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,15.0
5471,2009,2,2009-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,14.0
5562,2010,2,2010-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,32.5
5658,2011,2,2011-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,56.0
5753,2012,2,2012-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,60.0
5911,2013,2,2013-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,57.25
6021,2014,2,2014-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,58.75
6120,2015,2,2015-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,60.0
6197,2016,2,2016-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,70.0
6236,2017,2,2017-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,145.0
6609,2020,2,2020-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,"actual,aggregate",Wholesale,169.0
6993,2020,2,2020-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.83
7362,2021,2,2021-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.83
7502,2021,2,2021-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,aggregate,Wholesale,208.0
7966,2022,2,2022-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.29
7967,2022,2,2022-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,aggregate,Wholesale,208.0
8346,2023,2,2023-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,7.12
8586,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,6.24
8587,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,aggregate,Wholesale,1056.76
8886,2008,3,2008-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,14.33
9019,2009,3,2009-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,14.0
9039,2010,3,2010-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,27.75
9154,2011,3,2011-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,70.0
9256,2012,3,2012-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,52.0
9392,2013,3,2013-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,57.25
9406,2014,3,2014-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,68.0
9569,2015,3,2015-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,91 ,actual,Wholesale,60.0
