Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
1994,2008,1,2008-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,40.0
2010,2009,1,2009-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,51.6
2162,2010,1,2010-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,59.2
2191,2011,1,2011-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,60.0
2275,2012,1,2012-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,89.0
2424,2013,1,2013-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,118.0
2498,2014,1,2014-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,110.0
2561,2015,1,2015-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,180.0
2661,2016,1,2016-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,128.0
2774,2017,1,2017-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,127.5
3087,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,1.95
3107,2020,1,2020-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,1.68
3108,2020,1,2020-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,136.9
3263,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,"actual,aggregate",Wholesale,163.11
3693,2021,1,2021-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,3.1
3700,2021,1,2021-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,248.37
3732,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,aggregate,Wholesale,286.15
3739,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.51
4680,2022,1,2022-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,298.21
4681,2022,1,2022-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,3.42
4715,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.85
4716,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,aggregate,Wholesale,286.15
4942,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,9.12
4943,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,aggregate,Wholesale,847.86
4957,2023,1,2023-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,6.78
4958,2023,1,2023-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,630.78
5384,2008,2,2008-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,40.5
5469,2009,2,2009-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,56.0
5560,2010,2,2010-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,58.0
5656,2011,2,2011-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,60.0
5746,2012,2,2012-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,82.0
5913,2013,2,2013-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,113.5
6023,2014,2,2014-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,100.0
6133,2015,2,2015-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,140.0
6176,2016,2,2016-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,120.0
6243,2017,2,2017-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,130.0
6607,2020,2,2020-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,"actual,aggregate",Wholesale,172.17
6827,2020,2,2020-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,159.04
6840,2020,2,2020-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,2.12
6987,2020,2,2020-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.14
7354,2021,2,2021-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.51
7355,2021,2,2021-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,aggregate,Wholesale,286.15
7369,2021,2,2021-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,236.54
7392,2021,2,2021-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,2.99
7958,2022,2,2022-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.33
7959,2022,2,2022-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,aggregate,Wholesale,310.0
8007,2022,2,2022-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,3.42
8018,2022,2,2022-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,318.09
8339,2023,2,2023-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,7.78
8340,2023,2,2023-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,616.4
8473,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,8.15
8483,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,aggregate,Wholesale,611.74
8913,2008,3,2008-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,42.0
9016,2009,3,2009-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,60.0
9040,2010,3,2010-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,58.0
9120,2011,3,2011-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,60.0
9242,2012,3,2012-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,80.0
9372,2013,3,2013-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,113.0
9408,2014,3,2014-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,100.0
9567,2015,3,2015-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,100.0
9625,2016,3,2016-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,140.0
9717,2017,3,2017-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,130.0
9933,2020,3,2020-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,"actual,aggregate",Wholesale,163.11
10089,2020,3,2020-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,1.95
10215,2020,3,2020-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,1.67
10216,2020,3,2020-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,136.9
10621,2021,3,2021-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.51
10622,2021,3,2021-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,aggregate,Wholesale,286.15
10726,2021,3,2021-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,3.42
10727,2021,3,2021-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,278.33
11084,2022,3,2022-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,357.85
11085,2022,3,2022-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,4.28
11173,2022,3,2022-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,4.62
11174,2022,3,2022-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,aggregate,Wholesale,310.0
11867,2023,3,2023-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,601.26
11868,2023,3,2023-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,7.57
11987,2023,3,2023-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,aggregate,Wholesale,647.38
12019,2023,3,2023-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,7.7
12253,2008,4,2008-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,47.0
12268,2009,4,2009-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,60.0
12376,2010,4,2010-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,59.0
12543,2011,4,2011-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,58.5
12564,2012,4,2012-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,80.0
12659,2013,4,2013-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,100.0
12831,2015,4,2015-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,140.0
12928,2016,4,2016-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,140.0
13040,2017,4,2017-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,actual,Wholesale,138.0
13567,2020,4,2020-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,138.73
13577,2020,4,2020-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,1.7
13799,2020,4,2020-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,1.94
13800,2020,4,2020-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,aggregate,Wholesale,164.31
14000,2021,4,2021-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,275.97
14002,2021,4,2021-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,3.42
14046,2021,4,2021-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,aggregate,Wholesale,286.15
14047,2021,4,2021-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.57
14442,2022,4,2022-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,433.66
14443,2022,4,2022-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,5.09
14605,2022,4,2022-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,5.37
14606,2022,4,2022-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,aggregate,Wholesale,500.77
14982,2023,4,2023-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,93 ,aggregate,Wholesale,643.8
14983,2023,4,2023-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,7.39
15131,2023,4,2023-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,93 ,aggregate,Wholesale,777.21
15132,2023,4,2023-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,8.47
