Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3098,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,20.0
3121,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.24
3792,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,20.0
3793,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,4.48
4666,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,138.89
4667,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,5.26
4974,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,7.51
4975,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,753.97
6829,2020,2,2020-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,10.0
6830,2020,2,2020-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,160.0
6848,2020,2,2020-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,14.4
6849,2020,2,2020-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,73 ,aggregate,Wholesale,209.07
7329,2021,2,2021-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,133.33
7330,2021,2,2021-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,5.26
7406,2021,2,2021-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,73 ,aggregate,Wholesale,157.33
7978,2022,2,2022-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,416.67
8401,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,19.87
8402,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,500.94
10092,2020,3,2020-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.24
10093,2020,3,2020-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,20.0
10720,2021,3,2021-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,138.89
10721,2021,3,2021-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,5.26
11199,2022,3,2022-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,416.67
11200,2022,3,2022-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,5.26
11913,2023,3,2023-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,972.22
13574,2020,4,2020-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,4.04
13575,2020,4,2020-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,233.6
13582,2020,4,2020-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,6.38
14023,2021,4,2021-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,5.26
14024,2021,4,2021-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,138.89
14375,2022,4,2022-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,416.67
14387,2022,4,2022-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,6.01
14967,2023,4,2023-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,29.67
14968,2023,4,2023-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.19
16958,2020,5,2020-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,6.83
16959,2020,5,2020-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,73 ,aggregate,Wholesale,160.0
17092,2020,5,2020-05-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,10.16
