Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3119,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.97
3120,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,33.33
3794,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,107.22
3795,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.17
4668,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
4669,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.02
4972,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,9.72
4973,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,400.0
7331,2021,2,2021-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.02
7976,2022,2,2022-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,4.17
7977,2022,2,2022-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
8399,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,6.75
8400,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,400.0
10091,2020,3,2020-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,33.33
10111,2020,3,2020-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.97
10722,2021,3,2021-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
10723,2021,3,2021-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.02
11201,2022,3,2022-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
11202,2022,3,2022-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,7.54
11914,2023,3,2023-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,400.0
11915,2023,3,2023-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,17.54
13572,2020,4,2020-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,10.0
13573,2020,4,2020-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,171.64
13580,2020,4,2020-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,14.35
13581,2020,4,2020-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,16 ,aggregate,Wholesale,196.27
14021,2021,4,2021-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.02
14022,2021,4,2021-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
14377,2022,4,2022-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
14378,2022,4,2022-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,7.54
14969,2023,4,2023-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,6.56
17008,2020,5,2020-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,192.0
17020,2020,5,2020-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,10.0
17090,2020,5,2020-05-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,14.93
17091,2020,5,2020-05-15,Yendi,Yendi Municipal,1739,9.45,-0.01,16 ,aggregate,Wholesale,196.27
17634,2021,5,2021-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
17635,2021,5,2021-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.02
17974,2022,5,2022-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,7.54
17975,2022,5,2022-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
18530,2023,5,2023-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,5.0
20091,2020,6,2020-06-15,Yendi,Yendi Municipal,1739,9.45,-0.01,16 ,aggregate,Wholesale,207.47
20125,2020,6,2020-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,192.0
20355,2021,6,2021-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,7.54
20356,2021,6,2021-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
20885,2022,6,2022-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,7.54
20886,2022,6,2022-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
23776,2021,7,2021-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
23777,2021,7,2021-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.02
24330,2022,7,2022-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,7.54
24351,2022,7,2022-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
25153,2023,7,2023-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,1666.67
25154,2023,7,2023-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,5.0
26394,2019,8,2019-08-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.97
26431,2019,8,2019-08-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,33.33
27466,2021,8,2021-08-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.02
27467,2021,8,2021-08-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
28379,2022,8,2022-08-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,7.54
28380,2022,8,2022-08-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
29932,2019,9,2019-09-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.97
29933,2019,9,2019-09-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,33.33
30789,2021,9,2021-09-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.02
30790,2021,9,2021-09-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
32800,2019,10,2019-10-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.97
32801,2019,10,2019-10-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,33.33
33513,2020,10,2020-10-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.17
33514,2020,10,2020-10-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,33.33
34035,2021,10,2021-10-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,117.65
34036,2021,10,2021-10-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.02
34431,2022,10,2022-10-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,400.0
34498,2022,10,2022-10-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,6.01
35668,2019,11,2019-11-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.97
35671,2019,11,2019-11-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,16 ,aggregate,Wholesale,33.33
