Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
1953,2008,1,2008-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,20.25
2008,2009,1,2009-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,28.0
2149,2010,1,2010-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,30.0
2237,2011,1,2011-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,29.0
2273,2012,1,2012-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,64.5
2426,2013,1,2013-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,40.25
2496,2014,1,2014-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,81.2
2559,2015,1,2015-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,140.0
2663,2016,1,2016-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,112.0
2772,2017,1,2017-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,246.25
3085,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.62
3261,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,"actual,aggregate",Wholesale,113.92
3675,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.26
3676,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,146.55
3696,2021,1,2021-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,190.0
3697,2021,1,2021-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,4.04
4683,2022,1,2022-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,201.79
4684,2022,1,2022-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,4.44
4710,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.03
4711,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,178.57
4928,2023,1,2023-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,8.13
4938,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,10.36
4939,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,517.86
4956,2023,1,2023-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,406.67
5388,2008,2,2008-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,22.5
5467,2009,2,2009-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,23.0
5558,2010,2,2010-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,28.75
5654,2011,2,2011-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,24.6
5747,2012,2,2012-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,54.0
5924,2013,2,2013-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,29.0
6025,2014,2,2014-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,76.0
6125,2015,2,2015-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,100.0
6174,2016,2,2016-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,120.0
6265,2017,2,2017-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,241.25
6332,2018,2,2018-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,100 ,actual,Wholesale,132.0
6605,2020,2,2020-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,"actual,aggregate",Wholesale,111.61
6841,2020,2,2020-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,139.33
6861,2020,2,2020-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,3.26
6985,2020,2,2020-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.47
7363,2021,2,2021-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.14
7395,2021,2,2021-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,190.0
7396,2021,2,2021-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,4.07
7602,2021,2,2021-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,142.86
7946,2022,2,2022-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,201.79
7954,2022,2,2022-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.49
7955,2022,2,2022-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,142.86
8335,2023,2,2023-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,9.74
8336,2023,2,2023-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,377.32
8382,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,9.32
8383,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,365.63
8911,2008,3,2008-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,24.33
9014,2009,3,2009-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,29.5
9037,2010,3,2010-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,30.5
9124,2011,3,2011-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,29.0
9212,2012,3,2012-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,48.6
9370,2013,3,2013-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,27.0
9410,2014,3,2014-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,64.0
9565,2015,3,2015-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,90.0
9627,2016,3,2016-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,120.0
9716,2017,3,2017-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,240.0
9935,2020,3,2020-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,"actual,aggregate",Wholesale,113.92
10090,2020,3,2020-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.62
10279,2020,3,2020-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,100 ,actual,Wholesale,246.0
10671,2021,3,2021-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,160.71
10705,2021,3,2021-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.49
10707,2021,3,2021-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,181.62
10731,2021,3,2021-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,4.07
11038,2022,3,2022-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,148.81
11065,2022,3,2022-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,4.44
11087,2022,3,2022-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,201.79
11335,2022,3,2022-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.84
11869,2023,3,2023-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,368.77
11870,2023,3,2023-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,7.94
11894,2023,3,2023-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,373.56
11895,2023,3,2023-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,10.12
12251,2008,4,2008-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,24.5
12267,2009,4,2009-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,30.0
12374,2010,4,2010-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,30.12
12536,2011,4,2011-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,32.75
12551,2012,4,2012-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,48.5
12648,2013,4,2013-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,34.0
12813,2014,4,2014-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,64.0
12829,2015,4,2015-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,100.0
12947,2016,4,2016-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,112.0
13037,2017,4,2017-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,240.0
13579,2020,4,2020-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,122.64
13596,2020,4,2020-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,2.84
13795,2020,4,2020-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.33
13796,2020,4,2020-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,113.63
14003,2021,4,2021-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,183.0
14004,2021,4,2021-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,4.1
14050,2021,4,2021-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,160.71
14051,2021,4,2021-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.49
14445,2022,4,2022-04-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,203.33
14602,2022,4,2022-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,7.81
14615,2022,4,2022-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,154.76
15158,2023,4,2023-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,328.98
15159,2023,4,2023-04-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,6.78
15632,2008,5,2008-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,31.0
15782,2009,5,2009-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,30.0
15830,2010,5,2010-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,28.4
15925,2011,5,2011-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,35.0
15996,2012,5,2012-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,55.5
16095,2013,5,2013-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,36.0
16220,2014,5,2014-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,76.8
16371,2015,5,2015-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,110.0
16477,2016,5,2016-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,100.0
16501,2017,5,2017-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,240.0
16957,2020,5,2020-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,117.65
16974,2020,5,2020-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.46
17066,2020,5,2020-05-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,2.85
17067,2020,5,2020-05-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,123.24
17582,2021,5,2021-05-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,4.07
17583,2021,5,2021-05-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,184.5
17663,2021,5,2021-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,160.71
17664,2021,5,2021-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.49
17990,2022,5,2022-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.84
17991,2022,5,2022-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,154.76
18022,2022,5,2022-05-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,4.44
18023,2022,5,2022-05-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,201.79
18487,2023,5,2023-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,6.78
18488,2023,5,2023-05-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,328.98
19025,2008,6,2008-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,34.37
19109,2009,6,2009-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,40.0
19227,2010,6,2010-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,30.75
19347,2011,6,2011-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,39.0
19418,2012,6,2012-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,59.6
19481,2013,6,2013-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,83.0
19572,2014,6,2014-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,120.0
19653,2015,6,2015-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,120.0
19842,2016,6,2016-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,100.0
19923,2017,6,2017-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,240.0
20088,2020,6,2020-06-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,123.0
20116,2020,6,2020-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,122.5
20373,2021,6,2021-06-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,183.0
20701,2021,6,2021-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,160.71
20776,2021,6,2021-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.75
20854,2022,6,2022-06-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,201.79
20855,2022,6,2022-06-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,4.44
20883,2022,6,2022-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.84
20901,2022,6,2022-06-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,154.76
21959,2007,7,2007-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,24.0
22067,2008,7,2008-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,48.5
22137,2009,7,2009-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,40.0
22191,2010,7,2010-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,32.2
22282,2011,7,2011-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,47.25
22425,2012,7,2012-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,56.0
22525,2013,7,2013-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,95.0
22690,2015,7,2015-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,125.0
22765,2016,7,2016-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,100.0
22889,2017,7,2017-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,actual,Wholesale,243.33
23056,2020,7,2020-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.47
23057,2020,7,2020-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,116.07
23106,2020,7,2020-07-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,139.33
23107,2020,7,2020-07-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,3.23
23800,2021,7,2021-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,50 ,aggregate,Wholesale,160.71
23801,2021,7,2021-07-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.91
23835,2021,7,2021-07-15,Yendi,Yendi Municipal,1739,9.45,-0.01,50 ,aggregate,Wholesale,205.0
