Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3113,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.54
3114,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,52 ,aggregate,Wholesale,35.29
3650,2021,1,2021-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,2.39
3685,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,52 ,aggregate,Wholesale,28.12
3686,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,4.55
4675,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,52 ,aggregate,Wholesale,20.0
4689,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.17
4964,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,8.33
4965,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,52 ,aggregate,Wholesale,40.0
6822,2020,2,2020-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,5.42
6823,2020,2,2020-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,52 ,aggregate,Wholesale,260.0
7338,2021,2,2021-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.17
7996,2022,2,2022-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,52 ,aggregate,Wholesale,26.67
7997,2022,2,2022-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,4.44
8369,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,10.04
8392,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,52 ,aggregate,Wholesale,48.87
10222,2020,3,2020-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.54
