Unnamed: 0,year,month,date,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
3080,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,7.77
3081,2020,1,2020-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,250 ,aggregate,Wholesale,253.25
3101,2020,1,2020-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,250 ,aggregate,Wholesale,280.0
3668,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.79
3669,2021,1,2021-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,250 ,aggregate,Wholesale,292.99
3737,2021,1,2021-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,250 ,aggregate,Wholesale,320.0
3738,2021,1,2021-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,1.75
4601,2022,1,2022-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,2.18
4690,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,250 ,aggregate,Wholesale,638.32
4693,2022,1,2022-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,3.81
4897,2023,1,2023-01-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,2.85
4932,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,9.83
4933,2023,1,2023-01-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,250 ,aggregate,Wholesale,1282.05
6837,2020,2,2020-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,2.54
6863,2020,2,2020-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,250 ,aggregate,Wholesale,416.67
7345,2021,2,2021-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,1.27
7356,2021,2,2021-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,250 ,aggregate,Wholesale,288.46
7400,2021,2,2021-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,2.25
7985,2022,2,2022-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,1.91
7986,2022,2,2022-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,250 ,aggregate,Wholesale,478.74
8350,2023,2,2023-02-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,4.78
8376,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,12.78
8377,2023,2,2023-02-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,250 ,aggregate,Wholesale,980.53
10105,2020,3,2020-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,7.77
10106,2020,3,2020-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,250 ,aggregate,Wholesale,253.25
10210,2020,3,2020-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,250 ,aggregate,Wholesale,380.0
10711,2021,3,2021-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,250 ,aggregate,Wholesale,288.46
10712,2021,3,2021-03-15,Tamale,Tamale North Sub Metro,220,9.4,-0.83,,aggregate,Retail,1.27
11040,2022,3,2022-03-15,Yendi,Yendi Municipal,1739,9.45,-0.01,,aggregate,Retail,2.69
