Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
1977,2008,1,2008-01-15,Kumasi,6.68,-1.62,0.07
1985,2008,1,2008-01-15,Obuasi,6.2,-1.67,0.09
2018,2009,1,2009-01-15,Kumasi,6.68,-1.62,0.21
2026,2009,1,2009-01-15,Obuasi,6.2,-1.67,0.1
2085,2010,1,2010-01-15,Ejura,7.38,-1.37,0.15
2155,2010,1,2010-01-15,Obuasi,6.2,-1.67,0.14
2169,2010,1,2010-01-15,Kumasi,6.68,-1.62,0.16
2212,2011,1,2011-01-15,Ejura,7.38,-1.37,0.15
2217,2011,1,2011-01-15,Kumasi,6.68,-1.62,0.18
2226,2011,1,2011-01-15,Obuasi,6.2,-1.67,0.1
2323,2012,1,2012-01-15,Obuasi,6.2,-1.67,0.15
2332,2012,1,2012-01-15,Ejura,7.38,-1.37,0.16
2362,2012,1,2012-01-15,Kumasi,6.68,-1.62,0.24
2387,2013,1,2013-01-15,Obuasi,6.2,-1.67,0.38
2404,2013,1,2013-01-15,Ejura,7.38,-1.37,0.32
2409,2013,1,2013-01-15,Kumasi,6.68,-1.62,0.46
2507,2014,1,2014-01-15,Kumasi,6.68,-1.62,0.41
2512,2014,1,2014-01-15,Ejura,7.38,-1.37,0.22
2546,2014,1,2014-01-15,Obuasi,6.2,-1.67,0.29
2608,2015,1,2015-01-15,Obuasi,6.2,-1.67,0.27
2644,2015,1,2015-01-15,Ejura,7.38,-1.37,0.27
2650,2015,1,2015-01-15,Kumasi,6.68,-1.62,0.26
2726,2016,1,2016-01-15,Ejura,7.38,-1.37,0.31
2732,2016,1,2016-01-15,Kumasi,6.68,-1.62,0.54
2741,2016,1,2016-01-15,Obuasi,6.2,-1.67,0.33
2804,2017,1,2017-01-15,Obuasi,6.2,-1.67,0.66
2813,2017,1,2017-01-15,Kumasi,6.68,-1.62,1.21
2819,2017,1,2017-01-15,Ejura,7.38,-1.37,0.84
