Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3224,2020,1,2020-01-15,Kumasi,6.68,-1.62,0.78
3705,2021,1,2021-01-15,Ejura,7.38,-1.37,1.94
3781,2021,1,2021-01-15,Kumasi,6.68,-1.62,1.98
4242,2022,1,2022-01-15,Ejura,7.38,-1.37,4.2
4282,2022,1,2022-01-15,Kumasi,6.68,-1.62,4.17
4829,2023,1,2023-01-15,Kumasi,6.68,-1.62,3.71
6763,2020,2,2020-02-15,Kumasi,6.68,-1.62,3.71
7806,2022,2,2022-02-15,Kumasi,6.68,-1.62,3.37
8247,2023,2,2023-02-15,Kumasi,6.68,-1.62,3.44
9970,2020,3,2020-03-15,Kumasi,6.68,-1.62,2.93
10884,2021,3,2021-03-15,Kumasi,6.68,-1.62,3.35
11144,2022,3,2022-03-15,Kumasi,6.68,-1.62,2.53
12016,2023,3,2023-03-15,Kumasi,6.68,-1.62,4.28
13320,2020,4,2020-04-15,Ejura,7.38,-1.37,2.25
13365,2020,4,2020-04-15,Kumasi,6.68,-1.62,4.64
14175,2021,4,2021-04-15,Kumasi,6.68,-1.62,3.2
14358,2021,4,2021-04-15,Ejura,7.38,-1.37,2.67
14586,2022,4,2022-04-15,Kumasi,6.68,-1.62,4.56
15489,2023,4,2023-04-15,Kumasi,6.68,-1.62,4.3
17196,2020,5,2020-05-15,Kumasi,6.68,-1.62,4.03
17716,2021,5,2021-05-15,Kumasi,6.68,-1.62,4.81
18055,2022,5,2022-05-15,Kumasi,6.68,-1.62,5.1
18551,2023,5,2023-05-15,Kumasi,6.68,-1.62,3.09
20159,2020,6,2020-06-15,Kumasi,6.68,-1.62,6.04
20181,2020,6,2020-06-15,Ejura,7.38,-1.37,3.8
20520,2021,6,2021-06-15,Kumasi,6.68,-1.62,4.81
20976,2022,6,2022-06-15,Kumasi,6.68,-1.62,5.1
21701,2023,6,2023-06-15,Kumasi,6.68,-1.62,3.09
23344,2020,7,2020-07-15,Kumasi,6.68,-1.62,3.71
23986,2021,7,2021-07-15,Kumasi,6.68,-1.62,4.81
24560,2022,7,2022-07-15,Kumasi,6.68,-1.62,5.1
24977,2023,7,2023-07-15,Kumasi,6.68,-1.62,8.4
26298,2019,8,2019-08-15,Kumasi,6.68,-1.62,0.78
27013,2020,8,2020-08-15,Kumasi,6.68,-1.62,3.71
29558,2019,9,2019-09-15,Kumasi,6.68,-1.62,0.78
30290,2020,9,2020-09-15,Kumasi,6.68,-1.62,3.34
32629,2019,10,2019-10-15,Kumasi,6.68,-1.62,0.78
33340,2020,10,2020-10-15,Kumasi,6.68,-1.62,1.44
36048,2019,11,2019-11-15,Kumasi,6.68,-1.62,0.78
36607,2020,11,2020-11-15,Kumasi,6.68,-1.62,1.44
37141,2021,11,2021-11-15,Ejura,7.38,-1.37,1.34
39046,2019,12,2019-12-15,Kumasi,6.68,-1.62,0.78
39604,2020,12,2020-12-15,Kumasi,6.68,-1.62,1.44
40222,2021,12,2021-12-15,Ejura,7.38,-1.37,1.34
