Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3218,2020,1,2020-01-15,Kumasi,6.68,-1.62,1.37
3219,2020,1,2020-01-15,Kumasi,6.68,-1.62,0.03
3354,2020,1,2020-01-15,Obuasi,6.2,-1.67,2.36
3755,2021,1,2021-01-15,Kumasi,6.68,-1.62,2.41
3756,2021,1,2021-01-15,Kumasi,6.68,-1.62,4.58
3766,2021,1,2021-01-15,Obuasi,6.2,-1.67,3.83
4158,2022,1,2022-01-15,Obuasi,6.2,-1.67,3.09
4246,2022,1,2022-01-15,Ejura,7.38,-1.37,4.25
4267,2022,1,2022-01-15,Kumasi,6.68,-1.62,3.89
4268,2022,1,2022-01-15,Kumasi,6.68,-1.62,8.06
4771,2023,1,2023-01-15,Ejura,7.38,-1.37,5.55
4838,2023,1,2023-01-15,Obuasi,6.2,-1.67,3.78
4854,2023,1,2023-01-15,Kumasi,6.68,-1.62,5.4
4855,2023,1,2023-01-15,Kumasi,6.68,-1.62,6.17
6683,2020,2,2020-02-15,Ejura,7.38,-1.37,7.71
6686,2020,2,2020-02-15,Obuasi,6.2,-1.67,31.15
6757,2020,2,2020-02-15,Kumasi,6.68,-1.62,14.44
6758,2020,2,2020-02-15,Kumasi,6.68,-1.62,2.7
7051,2021,2,2021-02-15,Kumasi,6.68,-1.62,2.7
7052,2021,2,2021-02-15,Kumasi,6.68,-1.62,3.54
7176,2021,2,2021-02-15,Obuasi,6.2,-1.67,2.09
7208,2021,2,2021-02-15,Ejura,7.38,-1.37,4.15
7225,2021,2,2021-02-15,Ejura,7.38,-1.37,2.88
7800,2022,2,2022-02-15,Kumasi,6.68,-1.62,3.17
7801,2022,2,2022-02-15,Kumasi,6.68,-1.62,8.34
8213,2023,2,2023-02-15,Obuasi,6.2,-1.67,3.78
8241,2023,2,2023-02-15,Kumasi,6.68,-1.62,4.91
8242,2023,2,2023-02-15,Kumasi,6.68,-1.62,2.81
8700,2023,2,2023-02-15,Ejura,7.38,-1.37,5.55
9975,2020,3,2020-03-15,Kumasi,6.68,-1.62,0.04
10001,2020,3,2020-03-15,Ejura,7.38,-1.37,0.12
10002,2020,3,2020-03-15,Ejura,7.38,-1.37,3.6
10006,2020,3,2020-03-15,Kumasi,6.68,-1.62,2.38
10060,2020,3,2020-03-15,Obuasi,6.2,-1.67,3.55
10756,2021,3,2021-03-15,Obuasi,6.2,-1.67,3.66
10912,2021,3,2021-03-15,Kumasi,6.68,-1.62,1.84
10915,2021,3,2021-03-15,Kumasi,6.68,-1.62,3.92
11067,2022,3,2022-03-15,Kumasi,6.68,-1.62,7.85
11068,2022,3,2022-03-15,Kumasi,6.68,-1.62,3.89
11283,2022,3,2022-03-15,Obuasi,6.2,-1.67,3.46
11589,2023,3,2023-03-15,Ejura,7.38,-1.37,5.55
11991,2023,3,2023-03-15,Kumasi,6.68,-1.62,5.02
11992,2023,3,2023-03-15,Kumasi,6.68,-1.62,5.53
12048,2023,3,2023-03-15,Obuasi,6.2,-1.67,5.02
13325,2020,4,2020-04-15,Ejura,7.38,-1.37,3.93
13326,2020,4,2020-04-15,Ejura,7.38,-1.37,3.73
13341,2020,4,2020-04-15,Obuasi,6.2,-1.67,6.13
13370,2020,4,2020-04-15,Kumasi,6.68,-1.62,6.26
13371,2020,4,2020-04-15,Kumasi,6.68,-1.62,6.75
14151,2021,4,2021-04-15,Kumasi,6.68,-1.62,1.84
14152,2021,4,2021-04-15,Kumasi,6.68,-1.62,3.92
14257,2021,4,2021-04-15,Obuasi,6.2,-1.67,4.12
14354,2021,4,2021-04-15,Ejura,7.38,-1.37,4.25
14590,2022,4,2022-04-15,Obuasi,6.2,-1.67,1.8
14622,2022,4,2022-04-15,Kumasi,6.68,-1.62,7.85
14623,2022,4,2022-04-15,Kumasi,6.68,-1.62,3.89
15277,2023,4,2023-04-15,Obuasi,6.2,-1.67,1.34
15298,2023,4,2023-04-15,Kumasi,6.68,-1.62,6.53
15414,2023,4,2023-04-15,Ejura,7.38,-1.37,3.86
