Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
1982,2008,1,2008-01-15,Kumasi,6.68,-1.62,0.37
2023,2009,1,2009-01-15,Kumasi,6.68,-1.62,0.56
2158,2010,1,2010-01-15,Kumasi,6.68,-1.62,0.59
2223,2011,1,2011-01-15,Kumasi,6.68,-1.62,0.52
2336,2012,1,2012-01-15,Kumasi,6.68,-1.62,0.85
2390,2013,1,2013-01-15,Kumasi,6.68,-1.62,0.96
2549,2014,1,2014-01-15,Kumasi,6.68,-1.62,0.9
2605,2015,1,2015-01-15,Kumasi,6.68,-1.62,1.41
2738,2016,1,2016-01-15,Kumasi,6.68,-1.62,1.5
2807,2017,1,2017-01-15,Kumasi,6.68,-1.62,1.47
2888,2018,1,2018-01-15,Kumasi,6.68,-1.62,2.14
2945,2019,1,2019-01-15,Kumasi,6.68,-1.62,2.6
3183,2020,1,2020-01-15,Kumasi,6.68,-1.62,3.37
3240,2020,1,2020-01-15,Kumasi,6.68,-1.62,2.91
3362,2020,1,2020-01-15,Obuasi,6.2,-1.67,2.7
3678,2021,1,2021-01-15,Kumasi,6.68,-1.62,4.52
3679,2021,1,2021-01-15,Kumasi,6.68,-1.62,3.66
3774,2021,1,2021-01-15,Obuasi,6.2,-1.67,2.7
3797,2021,1,2021-01-15,Ejura,7.38,-1.37,3.79
3798,2021,1,2021-01-15,Ejura,7.38,-1.37,2.82
4209,2022,1,2022-01-15,Obuasi,6.2,-1.67,2.7
4250,2022,1,2022-01-15,Kumasi,6.68,-1.62,4.8
4270,2022,1,2022-01-15,Kumasi,6.68,-1.62,4.72
4424,2022,1,2022-01-15,Ejura,7.38,-1.37,4.27
4444,2022,1,2022-01-15,Ejura,7.38,-1.37,3.5
4796,2023,1,2023-01-15,Kumasi,6.68,-1.62,8.14
4797,2023,1,2023-01-15,Kumasi,6.68,-1.62,8.14
4822,2023,1,2023-01-15,Ejura,7.38,-1.37,9.77
4823,2023,1,2023-01-15,Ejura,7.38,-1.37,9.77
4852,2023,1,2023-01-15,Obuasi,6.2,-1.67,2.7
5435,2008,2,2008-02-15,Kumasi,6.68,-1.62,0.39
5527,2009,2,2009-02-15,Kumasi,6.68,-1.62,0.53
5609,2010,2,2010-02-15,Kumasi,6.68,-1.62,0.49
5649,2011,2,2011-02-15,Kumasi,6.68,-1.62,0.6
5802,2012,2,2012-02-15,Kumasi,6.68,-1.62,0.83
5936,2013,2,2013-02-15,Kumasi,6.68,-1.62,1.01
5968,2014,2,2014-02-15,Kumasi,6.68,-1.62,0.91
6083,2015,2,2015-02-15,Kumasi,6.68,-1.62,1.4
6145,2016,2,2016-02-15,Kumasi,6.68,-1.62,1.49
6283,2017,2,2017-02-15,Kumasi,6.68,-1.62,1.48
6363,2018,2,2018-02-15,Kumasi,6.68,-1.62,2.14
6406,2019,2,2019-02-15,Kumasi,6.68,-1.62,2.14
6629,2020,2,2020-02-15,Ejura,7.38,-1.37,2.78
6630,2020,2,2020-02-15,Ejura,7.38,-1.37,2.4
6661,2020,2,2020-02-15,Kumasi,6.68,-1.62,3.1
6690,2020,2,2020-02-15,Obuasi,6.2,-1.67,2.7
6730,2020,2,2020-02-15,Kumasi,6.68,-1.62,3.7
7065,2021,2,2021-02-15,Kumasi,6.68,-1.62,3.66
7091,2021,2,2021-02-15,Kumasi,6.68,-1.62,4.52
7183,2021,2,2021-02-15,Obuasi,6.2,-1.67,2.7
7371,2021,2,2021-02-15,Ejura,7.38,-1.37,2.89
7380,2021,2,2021-02-15,Ejura,7.38,-1.37,3.81
7769,2022,2,2022-02-15,Kumasi,6.68,-1.62,4.66
7770,2022,2,2022-02-15,Kumasi,6.68,-1.62,4.66
8183,2023,2,2023-02-15,Obuasi,6.2,-1.67,3.9
8713,2023,2,2023-02-15,Ejura,7.38,-1.37,10.01
8714,2023,2,2023-02-15,Ejura,7.38,-1.37,8.88
8758,2023,2,2023-02-15,Kumasi,6.68,-1.62,8.34
8759,2023,2,2023-02-15,Kumasi,6.68,-1.62,9.42
8924,2008,3,2008-03-15,Kumasi,6.68,-1.62,0.42
8980,2009,3,2009-03-15,Kumasi,6.68,-1.62,0.49
9094,2010,3,2010-03-15,Kumasi,6.68,-1.62,0.51
9211,2011,3,2011-03-15,Kumasi,6.68,-1.62,0.6
9269,2012,3,2012-03-15,Kumasi,6.68,-1.62,0.8
9345,2013,3,2013-03-15,Kumasi,6.68,-1.62,0.96
9450,2014,3,2014-03-15,Kumasi,6.68,-1.62,0.92
9598,2015,3,2015-03-15,Kumasi,6.68,-1.62,1.35
9694,2016,3,2016-03-15,Kumasi,6.68,-1.62,1.51
9728,2017,3,2017-03-15,Kumasi,6.68,-1.62,1.44
9818,2018,3,2018-03-15,Kumasi,6.68,-1.62,2.26
9848,2019,3,2019-03-15,Kumasi,6.68,-1.62,2.22
9961,2020,3,2020-03-15,Kumasi,6.68,-1.62,3.4
9991,2020,3,2020-03-15,Ejura,7.38,-1.37,2.34
10004,2020,3,2020-03-15,Ejura,7.38,-1.37,2.68
10052,2020,3,2020-03-15,Obuasi,6.2,-1.67,2.7
10309,2020,3,2020-03-15,Kumasi,6.68,-1.62,2.67
10749,2021,3,2021-03-15,Obuasi,6.2,-1.67,2.7
10847,2021,3,2021-03-15,Kumasi,6.68,-1.62,3.66
10849,2021,3,2021-03-15,Kumasi,6.68,-1.62,4.52
11148,2022,3,2022-03-15,Kumasi,6.68,-1.62,4.66
11149,2022,3,2022-03-15,Kumasi,6.68,-1.62,5.14
11393,2022,3,2022-03-15,Obuasi,6.2,-1.67,2.7
11803,2023,3,2023-03-15,Ejura,7.38,-1.37,10.09
11804,2023,3,2023-03-15,Ejura,7.38,-1.37,8.81
12036,2023,3,2023-03-15,Kumasi,6.68,-1.62,7.62
12037,2023,3,2023-03-15,Kumasi,6.68,-1.62,8.84
12212,2008,4,2008-04-15,Kumasi,6.68,-1.62,0.42
12321,2009,4,2009-04-15,Kumasi,6.68,-1.62,0.53
12359,2010,4,2010-04-15,Kumasi,6.68,-1.62,0.55
12481,2011,4,2011-04-15,Kumasi,6.68,-1.62,0.6
12600,2012,4,2012-04-15,Kumasi,6.68,-1.62,0.83
12700,2013,4,2013-04-15,Kumasi,6.68,-1.62,0.96
12896,2015,4,2015-04-15,Kumasi,6.68,-1.62,1.28
12988,2016,4,2016-04-15,Kumasi,6.68,-1.62,1.5
13087,2017,4,2017-04-15,Kumasi,6.68,-1.62,1.49
13130,2018,4,2018-04-15,Kumasi,6.68,-1.62,2.25
13142,2019,4,2019-04-15,Kumasi,6.68,-1.62,2.22
13334,2020,4,2020-04-15,Ejura,7.38,-1.37,2.84
13335,2020,4,2020-04-15,Ejura,7.38,-1.37,2.42
13346,2020,4,2020-04-15,Obuasi,6.2,-1.67,2.7
13404,2020,4,2020-04-15,Kumasi,6.68,-1.62,2.93
13405,2020,4,2020-04-15,Kumasi,6.68,-1.62,3.45
14163,2021,4,2021-04-15,Kumasi,6.68,-1.62,3.67
14164,2021,4,2021-04-15,Kumasi,6.68,-1.62,4.52
14239,2021,4,2021-04-15,Obuasi,6.2,-1.67,2.7
14334,2021,4,2021-04-15,Ejura,7.38,-1.37,3.82
14341,2021,4,2021-04-15,Ejura,7.38,-1.37,2.8
14389,2022,4,2022-04-15,Kumasi,6.68,-1.62,6.1
14400,2022,4,2022-04-15,Kumasi,6.68,-1.62,6.34
14643,2022,4,2022-04-15,Obuasi,6.2,-1.67,2.7
15031,2023,4,2023-04-15,Ejura,7.38,-1.37,10.09
15032,2023,4,2023-04-15,Ejura,7.38,-1.37,8.81
15297,2023,4,2023-04-15,Obuasi,6.2,-1.67,5.11
15550,2023,4,2023-04-15,Kumasi,6.68,-1.62,7.6
15551,2023,4,2023-04-15,Kumasi,6.68,-1.62,8.84
15683,2008,5,2008-05-15,Kumasi,6.68,-1.62,0.47
15716,2009,5,2009-05-15,Kumasi,6.68,-1.62,0.51
15857,2010,5,2010-05-15,Kumasi,6.68,-1.62,0.57
15975,2011,5,2011-05-15,Kumasi,6.68,-1.62,0.6
16041,2012,5,2012-05-15,Kumasi,6.68,-1.62,0.84
16157,2013,5,2013-05-15,Kumasi,6.68,-1.62,0.94
16236,2014,5,2014-05-15,Kumasi,6.68,-1.62,1.01
16311,2015,5,2015-05-15,Kumasi,6.68,-1.62,1.28
16422,2016,5,2016-05-15,Kumasi,6.68,-1.62,1.49
16532,2017,5,2017-05-15,Kumasi,6.68,-1.62,1.54
16590,2018,5,2018-05-15,Kumasi,6.68,-1.62,2.11
16600,2019,5,2019-05-15,Kumasi,6.68,-1.62,2.22
17161,2020,5,2020-05-15,Obuasi,6.2,-1.67,2.7
17218,2020,5,2020-05-15,Kumasi,6.68,-1.62,3.54
17219,2020,5,2020-05-15,Kumasi,6.68,-1.62,3.7
17229,2020,5,2020-05-15,Ejura,7.38,-1.37,2.9
17705,2021,5,2021-05-15,Kumasi,6.68,-1.62,3.67
17706,2021,5,2021-05-15,Kumasi,6.68,-1.62,4.52
17751,2021,5,2021-05-15,Obuasi,6.2,-1.67,2.7
17808,2022,5,2022-05-15,Obuasi,6.2,-1.67,2.7
18100,2022,5,2022-05-15,Kumasi,6.68,-1.62,6.34
18102,2022,5,2022-05-15,Kumasi,6.68,-1.62,6.1
18539,2023,5,2023-05-15,Kumasi,6.68,-1.62,8.36
18540,2023,5,2023-05-15,Kumasi,6.68,-1.62,10.0
18629,2023,5,2023-05-15,Obuasi,6.2,-1.67,5.11
18848,2023,5,2023-05-15,Ejura,7.38,-1.37,8.81
18849,2023,5,2023-05-15,Ejura,7.38,-1.37,10.09
