Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3222,2020,1,2020-01-15,Kumasi,6.68,-1.62,2.38
3223,2020,1,2020-01-15,Kumasi,6.68,-1.62,0.52
3356,2020,1,2020-01-15,Obuasi,6.2,-1.67,2.43
3768,2021,1,2021-01-15,Obuasi,6.2,-1.67,5.05
3780,2021,1,2021-01-15,Kumasi,6.68,-1.62,3.01
3808,2021,1,2021-01-15,Kumasi,6.68,-1.62,1.39
4243,2022,1,2022-01-15,Ejura,7.38,-1.37,0.99
4244,2022,1,2022-01-15,Ejura,7.38,-1.37,8.89
4283,2022,1,2022-01-15,Kumasi,6.68,-1.62,0.95
4284,2022,1,2022-01-15,Kumasi,6.68,-1.62,9.39
4772,2023,1,2023-01-15,Ejura,7.38,-1.37,1.48
4830,2023,1,2023-01-15,Kumasi,6.68,-1.62,1.78
6624,2020,2,2020-02-15,Ejura,7.38,-1.37,0.14
6761,2020,2,2020-02-15,Kumasi,6.68,-1.62,12.0
6762,2020,2,2020-02-15,Kumasi,6.68,-1.62,0.15
7038,2021,2,2021-02-15,Kumasi,6.68,-1.62,4.23
7046,2021,2,2021-02-15,Kumasi,6.68,-1.62,8.49
7347,2021,2,2021-02-15,Ejura,7.38,-1.37,10.17
7348,2021,2,2021-02-15,Ejura,7.38,-1.37,3.8
7804,2022,2,2022-02-15,Kumasi,6.68,-1.62,3.78
7805,2022,2,2022-02-15,Kumasi,6.68,-1.62,0.94
8245,2023,2,2023-02-15,Kumasi,6.68,-1.62,5.12
8246,2023,2,2023-02-15,Kumasi,6.68,-1.62,2.45
8702,2023,2,2023-02-15,Ejura,7.38,-1.37,1.48
9971,2020,3,2020-03-15,Kumasi,6.68,-1.62,4.43
9999,2020,3,2020-03-15,Ejura,7.38,-1.37,1.39
10058,2020,3,2020-03-15,Obuasi,6.2,-1.67,2.43
10885,2021,3,2021-03-15,Kumasi,6.68,-1.62,0.6
10907,2021,3,2021-03-15,Kumasi,6.68,-1.62,7.69
11143,2022,3,2022-03-15,Kumasi,6.68,-1.62,8.81
11246,2022,3,2022-03-15,Kumasi,6.68,-1.62,1.21
11591,2023,3,2023-03-15,Ejura,7.38,-1.37,1.47
