Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
3038,2020,1,2020-01-15,Techiman,7.58,-1.93,2.28
3039,2020,1,2020-01-15,Techiman,7.58,-1.93,1.03
3287,2020,1,2020-01-15,Sunyani,7.33,-2.33,1.76
3375,2020,1,2020-01-15,Kintampo,8.06,-1.73,1.51
3525,2021,1,2021-01-15,Sunyani,7.33,-2.33,0.8
3977,2021,1,2021-01-15,Techiman,7.58,-1.93,15.85
3992,2021,1,2021-01-15,Techiman,7.58,-1.93,2.03
4289,2022,1,2022-01-15,Sunyani,7.33,-2.33,8.93
6478,2020,2,2020-02-15,Kintampo,8.06,-1.73,6.67
6479,2020,2,2020-02-15,Kintampo,8.06,-1.73,6.25
6495,2020,2,2020-02-15,Sunyani,7.33,-2.33,10.0
6496,2020,2,2020-02-15,Sunyani,7.33,-2.33,5.0
7207,2021,2,2021-02-15,Sunyani,7.33,-2.33,2.04
7481,2021,2,2021-02-15,Techiman,7.58,-1.93,3.61
8047,2023,2,2023-02-15,Techiman,7.58,-1.93,2.7
8048,2023,2,2023-02-15,Techiman,7.58,-1.93,29.1
8093,2023,2,2023-02-15,Sunyani,7.33,-2.33,1.81
9901,2020,3,2020-03-15,Sunyani,7.33,-2.33,2.09
10032,2020,3,2020-03-15,Kintampo,8.06,-1.73,1.78
10319,2020,3,2020-03-15,Techiman,7.58,-1.93,2.14
10542,2021,3,2021-03-15,Sunyani,7.33,-2.33,2.05
10831,2021,3,2021-03-15,Techiman,7.58,-1.93,9.19
10832,2021,3,2021-03-15,Techiman,7.58,-1.93,4.66
11195,2022,3,2022-03-15,Techiman,7.58,-1.93,6.72
11307,2022,3,2022-03-15,Sunyani,7.33,-2.33,1.89
13211,2020,4,2020-04-15,Techiman,7.58,-1.93,30.67
13222,2020,4,2020-04-15,Techiman,7.58,-1.93,30.89
13299,2020,4,2020-04-15,Sunyani,7.33,-2.33,17.67
13310,2020,4,2020-04-15,Sunyani,7.33,-2.33,25.42
13430,2020,4,2020-04-15,Kintampo,8.06,-1.73,17.24
13431,2020,4,2020-04-15,Kintampo,8.06,-1.73,18.18
14157,2021,4,2021-04-15,Sunyani,7.33,-2.33,1.89
14213,2021,4,2021-04-15,Kintampo,8.06,-1.73,7.87
14214,2021,4,2021-04-15,Kintampo,8.06,-1.73,3.46
14271,2021,4,2021-04-15,Techiman,7.58,-1.93,9.81
14440,2022,4,2022-04-15,Sunyani,7.33,-2.33,4.1
14483,2022,4,2022-04-15,Techiman,7.58,-1.93,5.0
14495,2022,4,2022-04-15,Techiman,7.58,-1.93,7.83
15376,2023,4,2023-04-15,Techiman,7.58,-1.93,1.08
15377,2023,4,2023-04-15,Techiman,7.58,-1.93,33.55
15419,2023,4,2023-04-15,Sunyani,7.33,-2.33,2.09
17209,2020,5,2020-05-15,Kintampo,8.06,-1.73,12.55
17210,2020,5,2020-05-15,Kintampo,8.06,-1.73,11.39
17234,2020,5,2020-05-15,Techiman,7.58,-1.93,32.9
17235,2020,5,2020-05-15,Techiman,7.58,-1.93,31.04
17329,2020,5,2020-05-15,Sunyani,7.33,-2.33,11.98
17335,2020,5,2020-05-15,Sunyani,7.33,-2.33,12.5
17398,2021,5,2021-05-15,Techiman,7.58,-1.93,9.13
17735,2021,5,2021-05-15,Sunyani,7.33,-2.33,1.96
18181,2022,5,2022-05-15,Sunyani,7.33,-2.33,3.25
18225,2022,5,2022-05-15,Techiman,7.58,-1.93,6.44
18226,2022,5,2022-05-15,Techiman,7.58,-1.93,3.53
18462,2023,5,2023-05-15,Kintampo,8.06,-1.73,1.31
18723,2023,5,2023-05-15,Sunyani,7.33,-2.33,1.59
18729,2023,5,2023-05-15,Techiman,7.58,-1.93,27.98
18739,2023,5,2023-05-15,Techiman,7.58,-1.93,1.0
20230,2020,6,2020-06-15,Kintampo,8.06,-1.73,18.18
20258,2020,6,2020-06-15,Sunyani,7.33,-2.33,10.91
20286,2020,6,2020-06-15,Techiman,7.58,-1.93,20.59
20501,2021,6,2021-06-15,Techiman,7.58,-1.93,5.06
20502,2021,6,2021-06-15,Techiman,7.58,-1.93,4.46
20592,2021,6,2021-06-15,Sunyani,7.33,-2.33,3.43
20669,2021,6,2021-06-15,Kintampo,8.06,-1.73,3.54
20670,2021,6,2021-06-15,Kintampo,8.06,-1.73,7.87
21010,2022,6,2022-06-15,Kintampo,8.06,-1.73,2.58
21031,2022,6,2022-06-15,Sunyani,7.33,-2.33,3.25
21092,2022,6,2022-06-15,Techiman,7.58,-1.93,4.14
21093,2022,6,2022-06-15,Techiman,7.58,-1.93,6.64
21363,2023,6,2023-06-15,Techiman,7.58,-1.93,27.71
21364,2023,6,2023-06-15,Techiman,7.58,-1.93,2.11
21496,2023,6,2023-06-15,Kintampo,8.06,-1.73,1.84
23221,2020,7,2020-07-15,Kintampo,8.06,-1.73,6.25
23222,2020,7,2020-07-15,Kintampo,8.06,-1.73,6.67
23237,2020,7,2020-07-15,Sunyani,7.33,-2.33,3.85
23262,2020,7,2020-07-15,Sunyani,7.33,-2.33,5.0
23903,2021,7,2021-07-15,Sunyani,7.33,-2.33,3.25
23944,2021,7,2021-07-15,Techiman,7.58,-1.93,4.32
24026,2021,7,2021-07-15,Kintampo,8.06,-1.73,3.71
24512,2022,7,2022-07-15,Kintampo,8.06,-1.73,2.58
24567,2022,7,2022-07-15,Techiman,7.58,-1.93,2.6
24654,2022,7,2022-07-15,Sunyani,7.33,-2.33,7.58
24887,2023,7,2023-07-15,Sunyani,7.33,-2.33,1.4
24951,2023,7,2023-07-15,Techiman,7.58,-1.93,2.59
26717,2019,8,2019-08-15,Techiman,7.58,-1.93,2.88
26718,2019,8,2019-08-15,Techiman,7.58,-1.93,1.24
26778,2019,8,2019-08-15,Sunyani,7.33,-2.33,3.79
26946,2020,8,2020-08-15,Kintampo,8.06,-1.73,4.02
26947,2020,8,2020-08-15,Kintampo,8.06,-1.73,5.37
26991,2020,8,2020-08-15,Sunyani,7.33,-2.33,4.61
26992,2020,8,2020-08-15,Sunyani,7.33,-2.33,4.5
27713,2021,8,2021-08-15,Kintampo,8.06,-1.73,5.21
27756,2021,8,2021-08-15,Techiman,7.58,-1.93,2.76
27785,2021,8,2021-08-15,Sunyani,7.33,-2.33,3.48
28120,2022,8,2022-08-15,Sunyani,7.33,-2.33,3.48
28223,2022,8,2022-08-15,Techiman,7.58,-1.93,2.83
29361,2019,9,2019-09-15,Sunyani,7.33,-2.33,2.14
29485,2019,9,2019-09-15,Techiman,7.58,-1.93,3.22
29493,2019,9,2019-09-15,Techiman,7.58,-1.93,1.23
30467,2020,9,2020-09-15,Sunyani,7.33,-2.33,8.99
30469,2020,9,2020-09-15,Kintampo,8.06,-1.73,6.77
30470,2020,9,2020-09-15,Kintampo,8.06,-1.73,7.53
30516,2020,9,2020-09-15,Sunyani,7.33,-2.33,10.12
30539,2021,9,2021-09-15,Kintampo,8.06,-1.73,5.21
30561,2021,9,2021-09-15,Techiman,7.58,-1.93,2.96
30603,2021,9,2021-09-15,Sunyani,7.33,-2.33,3.48
31317,2022,9,2022-09-15,Sunyani,7.33,-2.33,7.58
31488,2022,9,2022-09-15,Techiman,7.58,-1.93,6.72
32991,2019,10,2019-10-15,Techiman,7.58,-1.93,2.61
32992,2019,10,2019-10-15,Techiman,7.58,-1.93,1.23
33073,2019,10,2019-10-15,Sunyani,7.33,-2.33,1.9
33220,2020,10,2020-10-15,Techiman,7.58,-1.93,1.15
33221,2020,10,2020-10-15,Techiman,7.58,-1.93,3.08
33354,2020,10,2020-10-15,Sunyani,7.33,-2.33,3.2
33384,2020,10,2020-10-15,Kintampo,8.06,-1.73,1.36
33385,2020,10,2020-10-15,Kintampo,8.06,-1.73,2.7
33868,2021,10,2021-10-15,Sunyani,7.33,-2.33,2.84
34165,2022,10,2022-10-15,Techiman,7.58,-1.93,3.23
34359,2022,10,2022-10-15,Sunyani,7.33,-2.33,3.91
34412,2022,10,2022-10-15,Kintampo,8.06,-1.73,2.62
35936,2019,11,2019-11-15,Techiman,7.58,-1.93,1.08
35937,2019,11,2019-11-15,Techiman,7.58,-1.93,2.29
35953,2019,11,2019-11-15,Sunyani,7.33,-2.33,1.39
36561,2020,11,2020-11-15,Kintampo,8.06,-1.73,1.36
36562,2020,11,2020-11-15,Kintampo,8.06,-1.73,2.7
36571,2020,11,2020-11-15,Sunyani,7.33,-2.33,3.2
36738,2020,11,2020-11-15,Techiman,7.58,-1.93,1.0
36739,2020,11,2020-11-15,Techiman,7.58,-1.93,3.08
37109,2021,11,2021-11-15,Sunyani,7.33,-2.33,2.84
38824,2019,12,2019-12-15,Kintampo,8.06,-1.73,1.31
38901,2019,12,2019-12-15,Techiman,7.58,-1.93,0.98
38902,2019,12,2019-12-15,Techiman,7.58,-1.93,2.33
38939,2019,12,2019-12-15,Sunyani,7.33,-2.33,1.5
39520,2020,12,2020-12-15,Techiman,7.58,-1.93,1.2
39521,2020,12,2020-12-15,Techiman,7.58,-1.93,2.59
39601,2020,12,2020-12-15,Sunyani,7.33,-2.33,1.49
