Unnamed: 0,year,month,date,city,latitude,longitude,cedi_price/(KG)
1958,2008,1,2008-01-15,Techiman,7.58,-1.93,0.6
1974,2008,1,2008-01-15,Sunyani,7.33,-2.33,0.55
2033,2009,1,2009-01-15,Sunyani,7.33,-2.33,0.85
2055,2009,1,2009-01-15,Techiman,7.58,-1.93,0.89
2105,2010,1,2010-01-15,Sunyani,7.33,-2.33,0.85
2107,2010,1,2010-01-15,Techiman,7.58,-1.93,0.83
2194,2011,1,2011-01-15,Sunyani,7.33,-2.33,0.83
2201,2011,1,2011-01-15,Techiman,7.58,-1.93,0.71
2316,2012,1,2012-01-15,Sunyani,7.33,-2.33,1.4
2357,2012,1,2012-01-15,Techiman,7.58,-1.93,1.34
2370,2013,1,2013-01-15,Sunyani,7.33,-2.33,1.49
2377,2013,1,2013-01-15,Techiman,7.58,-1.93,1.5
2532,2014,1,2014-01-15,Techiman,7.58,-1.93,1.7
2540,2014,1,2014-01-15,Sunyani,7.33,-2.33,1.5
2617,2015,1,2015-01-15,Sunyani,7.33,-2.33,2.7
2620,2015,1,2015-01-15,Techiman,7.58,-1.93,1.7
2719,2016,1,2016-01-15,Sunyani,7.33,-2.33,3.32
2744,2016,1,2016-01-15,Techiman,7.58,-1.93,4.56
2796,2017,1,2017-01-15,Sunyani,7.33,-2.33,2.8
2823,2017,1,2017-01-15,Techiman,7.58,-1.93,4.3
2893,2018,1,2018-01-15,Sunyani,7.33,-2.33,1.92
2901,2018,1,2018-01-15,Techiman,7.58,-1.93,2.36
2951,2019,1,2019-01-15,Sunyani,7.33,-2.33,2.96
2958,2019,1,2019-01-15,Techiman,7.58,-1.93,2.49
3234,2020,1,2020-01-15,Sunyani,7.33,-2.33,3.38
3282,2020,1,2020-01-15,Techiman,7.58,-1.93,2.65
3304,2020,1,2020-01-15,Sunyani,7.33,-2.33,3.64
3324,2020,1,2020-01-15,Techiman,7.58,-1.93,3.33
3367,2020,1,2020-01-15,Kintampo,8.06,-1.73,2.53
3390,2020,1,2020-01-15,Kintampo,8.06,-1.73,2.85
3512,2021,1,2021-01-15,Sunyani,7.33,-2.33,5.03
3513,2021,1,2021-01-15,Sunyani,7.33,-2.33,4.67
3549,2021,1,2021-01-15,Kintampo,8.06,-1.73,3.16
3557,2021,1,2021-01-15,Kintampo,8.06,-1.73,2.87
3626,2021,1,2021-01-15,Techiman,7.58,-1.93,3.94
3627,2021,1,2021-01-15,Techiman,7.58,-1.93,3.57
4138,2022,1,2022-01-15,Kintampo,8.06,-1.73,3.97
4139,2022,1,2022-01-15,Kintampo,8.06,-1.73,4.16
4173,2022,1,2022-01-15,Sunyani,7.33,-2.33,5.07
4188,2022,1,2022-01-15,Sunyani,7.33,-2.33,4.71
4369,2022,1,2022-01-15,Techiman,7.58,-1.93,3.76
4370,2022,1,2022-01-15,Techiman,7.58,-1.93,4.38
4738,2023,1,2023-01-15,Kintampo,8.06,-1.73,7.23
4739,2023,1,2023-01-15,Kintampo,8.06,-1.73,7.23
4776,2023,1,2023-01-15,Techiman,7.58,-1.93,7.92
4777,2023,1,2023-01-15,Techiman,7.58,-1.93,7.92
5427,2008,2,2008-02-15,Sunyani,7.33,-2.33,0.58
5461,2008,2,2008-02-15,Techiman,7.58,-1.93,0.6
5528,2009,2,2009-02-15,Sunyani,7.33,-2.33,0.85
5546,2009,2,2009-02-15,Techiman,7.58,-1.93,0.7
5621,2010,2,2010-02-15,Sunyani,7.33,-2.33,0.85
5639,2010,2,2010-02-15,Techiman,7.58,-1.93,0.85
5699,2011,2,2011-02-15,Sunyani,7.33,-2.33,0.8
5740,2011,2,2011-02-15,Techiman,7.58,-1.93,0.67
5792,2012,2,2012-02-15,Sunyani,7.33,-2.33,1.4
5835,2012,2,2012-02-15,Techiman,7.58,-1.93,1.26
5879,2013,2,2013-02-15,Techiman,7.58,-1.93,1.5
5881,2013,2,2013-02-15,Sunyani,7.33,-2.33,1.5
5937,2014,2,2014-02-15,Techiman,7.58,-1.93,1.7
5956,2014,2,2014-02-15,Sunyani,7.33,-2.33,1.5
6034,2015,2,2015-02-15,Techiman,7.58,-1.93,2.0
6041,2015,2,2015-02-15,Sunyani,7.33,-2.33,2.7
6158,2016,2,2016-02-15,Sunyani,7.33,-2.33,2.8
6209,2016,2,2016-02-15,Techiman,7.58,-1.93,4.7
